5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,AFRICA,ABU GHARADIG,20.0,140.0,5000.0,ONSHORE,232.0,9350.0,4500.0,GAS DRIVE,9350.0,CRETACEOUS,240.0,0.1,21.0,40.5,166.0,13.81,850.0,19.0
1P ,AFRICA,ABU GHARADIG,20.0,140.0,5000.0,ONSHORE,250.0,9650.0,4600.0,GAS DRIVE,9650.0,CRETACEOUS,500.0,0.07,16.0,40.0,214.0,4.74,800.0,14.0
1P ,AFRICA,NIGER DELTA,17.0,89.0,4201.0,ONSHORE,191.6086925633698,6000.0,3122.0,AQUIFER DRIVE,2000.0,NEOGENE,110.0,0.6,20.0,19.0,160.0,0.7,1000.0,55.0
1P ,AFRICA,NIGER DELTA,22.0,0.0,241930.0,OFFSHORE,141.29953391604337,6000.0,6600.0,AQUIFER DRIVE,7772.0,NEOGENE,200.0,0.6,18.0,46.0,2100.0,0.26,1230.0,47.62
1P ,MIDDLE EAST,ZAGROS,450.0,0.0,108200.0,ONSHORE,190.0,6000.0,4452.278384742951,AQUIFER DRIVE,7500.0,NEOGENE/PALEOGENE,1200.0,0.36,19.0,32.6,57300.0,0.58,950.0,44.3
1P ,MIDDLE EAST,SOUTH OMAN SALT,24.0,62.0,5000.0,ONSHORE,212.0,6000.0,11600.0,GAS DRIVE,12140.0,CAMBRIAN/PROTEROZOIC,1230.0,0.68,17.0,48.0,1321.0,0.7,410.0,7.0
1P ,MIDDLE EAST,THE GULF,22.0,0.0,300000.0,OFFSHORE,137.4598916709441,6000.0,1637.277450504429,GAS DRIVE,2900.0,CRETACEOUS,20.0,0.6,30.0,27.0,17000.0,0.7,300.0,25.0
1P ,EUROPE,NORTH SEA CENTRAL,22.0,0.0,90886.0,OFFSHORE,172.0,6300.0,2850.0,GAS DRIVE,6102.0,PALEOGENE,328.0,0.8,35.0,19.5,1000.0,7.0,246.0,44.0
1P ,LATIN AMERICA,CAMPOS,66.0,0.0,158957.0,OFFSHORE,191.01797837181604,6000.0,4147.704513169603,GAS DRIVE,8202.0,PALEOGENE,200.0,0.6,26.0,27.0,1930.0,26.5,600.0,35.0
1P ,LATIN AMERICA,CAMPOS,22.0,0.0,9911.0,OFFSHORE,218.47388173340727,6000.0,4863.0,GAS DRIVE,10433.0,CRETACEOUS,390.0,0.25,17.0,28.0,497.0,26.4,365.0,21.0
1P ,EUROPE,PANNONIAN,22.0,20.0,3524.0,ONSHORE,250.0,6000.0,3656.0,GAS DRIVE,7513.0,NEOGENE,230.0,0.47,18.0,29.8,57.5,0.84,544.0,40.5
1P ,EUROPE,PANNONIAN,340.0,140.0,73223.0,ONSHORE,208.0,6000.0,2828.0,GAS DRIVE,5348.0,NEOGENE,1300.0,0.6,25.0,41.0,1592.0,0.7,482.0,41.95
1P ,NORTH AMERICA,NORTH SLOPE,51.0,135.0,119992.0,ONSHORE,160.0,6000.0,3215.0,GAS DRIVE,6600.0,JURASSIC,50.0,0.95,20.0,39.0,1000.0,0.45,769.0,45.0
