,Feature,Value
5,210_Permeability (air average) (mD),0.18368962348109621
7,225_Viscosity (oil average) (cp),0.14429120127227074
3,176_Net/gross ratio (average),0.10094692254939988
6,218_API gravity (average) (deg. API),0.09398661308933746
9,293_Original in-place oil equivalent (MMBOE),0.06587949190658567
4,204_Porosity (matrix average) (%),0.050499440369034095
2,77_Pressure (original) (psi),0.04051295000855462
8,252_GOR (initial average) (SCF/STB),0.04046669085742569
1,75_Temperature (original) (deg. F),0.038131142823688076
0,52_Well spacing (average) (ac),0.028598086040917278
10,EORIOR,0.027038574791251734
147,161_Reservoir architecture (main)_JIGSAW-PUZZLE,0.013724142566461376
116,82_Drive mechanism (main)_AQUIFER DRIVE,0.009714746688860902
142,153_Depositional system (main)_22DESERT,0.009605509403049946
144,153_Depositional system (main)_24COASTAL,0.009052394200656363
109,11_Basin name_VOLGA-URAL,0.008207871181706463
54,11_Basin name_JEANNE D ARC,0.008142508380754416
111,11_Basin name_WESTERN CANADA,0.006056421778653343
123,149_Reservoir period_CRETACEOUS,0.006011215035065506
151,161_Reservoir architecture (main)_LAYER-CAKE,0.005833513102391211
15,10_Region_LATIN AMERICA,0.005726820278334337
145,153_Depositional system (main)_25DEEP MARINE,0.005723236696839992
73,11_Basin name_NEUQUEN,0.005514779878578577
17,10_Region_NORTH AMERICA,0.004954601417630126
121,149_Reservoir period_CARBONIFEROUS,0.0047282196194194945
135,149_Reservoir period_PALEOGENE,0.004380217620784895
12,10_Region_ASIA-PACIFIC,0.004378654439839594
129,149_Reservoir period_JURASSIC,0.004008071098034975
150,161_Reservoir architecture (main)_LABYRINTH,0.0037512013375404006
118,82_Drive mechanism (main)_GAS DRIVE,0.003360538837619188
113,72_Onshore or offshore_OFFSHORE,0.0031875464269634566
131,149_Reservoir period_NEOGENE,0.0031610956790080564
76,11_Basin name_NORTH SEA CENTRAL,0.002809037944275064
114,72_Onshore or offshore_ONSHORE,0.002630071861420307
128,149_Reservoir period_DEVONIAN,0.0025153055872405195
137,149_Reservoir period_PERMIAN,0.0024616411201407694
141,153_Depositional system (main)_21FLUVIAL,0.002390287372001806
55,11_Basin name_JIANGHAN,0.0021200847408593213
41,11_Basin name_EASTERN VENEZUELA,0.0020943977857537295
16,10_Region_MIDDLE EAST,0.002009949015574082
14,10_Region_FORMER SOVIET UNION,0.0019628891315446027
143,153_Depositional system (main)_23LACUSTRINE,0.0017933347846290108
130,149_Reservoir period_JURASSIC/TRIASSIC,0.0015897624371653122
13,10_Region_EUROPE,0.0015653225549269972
11,10_Region_AFRICA,0.0013970838577492845
134,149_Reservoir period_ORDOVICIAN/CAMBRIAN,0.0013436591600396233
72,11_Basin name_NATUNA WEST,0.0012316539866208983
87,11_Basin name_POWDER RIVER,0.0012135048925966123
94,11_Basin name_SIBERIAN WESTERN,0.001208267718541091
50,11_Basin name_GULF OF MEXICO NORTHERN ONSHORE,0.001206685221697413
68,11_Basin name_MID-NORWAY SHELF,0.0011460629748770478
59,11_Basin name_LLANOS,0.0010966341914391746
30,11_Basin name_CAMPOS,0.0010756436679947574
23,11_Basin name_ASSAM,0.0010503186953106664
96,11_Basin name_SONGLIAO,0.0009648844276221454
47,11_Basin name_GIPPSLAND,0.0009607904919003498
20,11_Basin name_AMADEUS,0.0009474112606995864
78,11_Basin name_NORTH SLOPE,0.0009039837603122334
63,11_Basin name_MARACAIBO,0.0008762519473486394
18,11_Basin name_ABU GHARADIG,0.0008398789261729215
51,11_Basin name_GULF OF SUEZ,0.0006605417113050058
