,Feature,Value
11,OOIP,9.47975316542056
9,API Gravity,8.522029543135906
5,Swi,8.4042340971843
16,Deposition System,7.679680662801548
8,Permeability,7.403695741720458
4,Porosity,6.1817560201207415
3,Gross Pay,5.837559272022127
1,Well Spacing,5.10855456665953
12,Initial GOR,5.01475659717981
10,Viscosity,5.0061618095473905
15,Geologic Play,4.874709125844778
6,Oil FVFi,4.346937075424445
2,Net Pay Pay,4.263120783135035
13,Pressure Initial,3.843558398747378
7,Temp,3.377683115498152
20,Trap Type,2.686099289242884
17,Diagenetic Overprint,1.922304766366693
0,Lithology Code,1.1923795960255106
14,Major Gas Cap,1.1742193172323057
22,Shale Breaks_1.0,1.0644954253694645
21,Fractured Faulted_1.0,0.9764707859316215
18,Structural Comp,0.8554176983641562
19,Heterogeniety,0.784423147025232
