iter	Passed	Remaining
0	9	9119
1	16	8076
2	24	8154
3	29	7381
4	35	7032
5	40	6717
6	49	7001
7	54	6808
8	61	6813
9	72	7135
10	84	7566
11	89	7383
12	97	7439
13	112	7890
14	123	8113
15	129	7954
16	134	7784
17	138	7552
18	143	7414
19	153	7524
20	159	7414
21	171	7627
22	177	7531
23	181	7397
24	186	7279
25	198	7443
26	205	7407
27	210	7323
28	218	7325
29	227	7342
30	231	7250
31	237	7181
32	243	7124
33	248	7063
34	253	6988
35	260	6975
36	266	6923
37	271	6875
38	276	6816
39	283	6805
40	287	6729
41	293	6690
42	297	6617
43	308	6711
44	314	6666
45	319	6634
46	324	6575
47	328	6507
48	332	6449
49	336	6397
50	341	6348
51	344	6275
52	349	6237
53	353	6189
54	356	6133
55	362	6108
56	366	6067
57	370	6013
58	373	5962
59	377	5912
60	385	5932
61	393	5947
62	396	5901
63	401	5873
64	406	5846
65	412	5837
66	416	5806
67	421	5775
68	425	5739
69	431	5731
70	435	5702
71	445	5745
72	452	5744
73	460	5763
74	464	5730
75	469	5702
76	477	5718
77	484	5727
78	490	5714
79	494	5682
80	498	5655
81	502	5623
82	505	5585
83	510	5564
84	515	5546
85	518	5505
86	521	5467
87	526	5459
88	530	5429
89	537	5431
90	545	5445
91	554	5469
92	559	5452
93	564	5440
94	567	5407
95	571	5381
96	575	5357
97	579	5335
98	582	5304
99	586	5276
100	590	5254
101	593	5228
102	598	5212
103	602	5189
104	606	5165
105	610	5144
106	613	5119
107	617	5100
108	621	5080
109	625	5057
110	628	5035
111	631	5010
112	635	4987
113	639	4969
114	644	4958
115	647	4937
116	651	4917
117	655	4898
118	660	4891
119	668	4900
120	671	4880
121	676	4867
122	680	4851
123	683	4829
124	689	4825
125	695	4823
126	699	4808
127	705	4807
128	710	4797
129	715	4787
130	718	4764
131	722	4753
132	727	4745
133	732	4732
134	735	4715
135	738	4694
136	742	4675
137	747	4668
138	750	4647
139	756	4647
140	760	4633
141	765	4625
142	769	4612
143	774	4603
144	777	4585
145	781	4571
146	784	4554
147	790	4548
148	799	4564
149	806	4571
150	812	4566
151	815	4550
152	819	4539
153	825	4532
154	829	4523
155	833	4507
156	836	4492
157	840	4477
158	844	4464
159	847	4447
160	851	4435
161	854	4422
162	858	4410
163	863	4399
164	865	4380
165	869	4366
166	872	4354
167	877	4346
168	885	4355
169	890	4345
170	895	4342
171	898	4326
172	902	4316
173	909	4316
174	912	4302
175	917	4294
176	921	4282
177	925	4272
178	929	4261
179	934	4256
180	938	4245
181	942	4238
182	947	4230
183	952	4222
184	954	4207
185	957	4191
186	960	4175
187	963	4162
188	969	4158
189	972	4144
190	976	4137
191	981	4130
192	987	4130
193	990	4114
194	993	4102
195	997	4093
196	1001	4083
197	1005	4073
198	1009	4062
199	1012	4050
200	1018	4049
201	1023	4043
202	1028	4038
203	1033	4031
204	1038	4027
205	1042	4019
206	1046	4009
207	1051	4002
208	1055	3994
209	1059	3983
210	1062	3974
211	1070	3977
212	1074	3971
213	1080	3968
214	1085	3961
215	1088	3949
216	1091	3939
217	1095	3928
218	1097	3915
219	1101	3903
220	1105	3895
221	1108	3885
222	1112	3874
223	1116	3868
224	1119	3857
225	1123	3849
226	1127	3840
227	1132	3834
228	1136	3825
229	1139	3813
230	1143	3808
231	1148	3801
232	1154	3800
233	1159	3796
234	1163	3786
235	1167	3781
236	1171	3769
237	1175	3763
238	1178	3752
239	1183	3748
240	1188	3741
241	1191	3732
242	1197	3729
243	1201	3723
244	1204	3713
245	1208	3703
246	1215	3704
247	1218	3694
248	1221	3684
249	1225	3675
250	1228	3664
251	1233	3660
252	1237	3654
253	1240	3642
254	1243	3631
255	1249	3629
256	1255	3629
257	1259	3622
258	1265	3619
259	1267	3608
260	1272	3604
261	1275	3593
262	1280	3588
263	1283	3577
264	1285	3565
265	1288	3555
266	1292	3548
267	1295	3539
268	1300	3533
269	1303	3524
270	1307	3516
271	1310	3508
272	1314	3501
273	1317	3492
274	1321	3484
275	1329	3487
276	1333	3481
277	1337	3473
278	1340	3463
279	1343	3455
280	1346	3445
281	1349	3436
282	1354	3430
283	1357	3423
284	1362	3417
285	1366	3412
286	1370	3405
287	1375	3400
288	1378	3392
289	1381	3382
290	1384	3373
291	1387	3364
292	1390	3355
293	1393	3347
294	1396	3336
295	1399	3328
296	1402	3318
297	1405	3310
298	1410	3307
299	1414	3300
300	1417	3291
301	1420	3283
302	1424	3276
303	1428	3269
304	1431	3261
305	1434	3253
306	1437	3245
307	1440	3236
308	1443	3228
309	1447	3222
310	1451	3216
311	1454	3207
312	1457	3199
313	1461	3192
314	1465	3185
315	1467	3177
316	1471	3169
317	1474	3161
318	1476	3152
319	1479	3144
320	1483	3137
321	1486	3130
322	1490	3123
323	1493	3115
324	1495	3106
325	1498	3098
326	1501	3091
327	1506	3086
328	1510	3081
329	1514	3073
330	1519	3071
331	1522	3064
332	1526	3056
333	1529	3049
334	1533	3044
335	1538	3039
336	1541	3032
337	1544	3025
338	1548	3020
339	1552	3013
340	1555	3005
341	1558	2998
342	1561	2990
343	1563	2981
344	1567	2976
345	1570	2968
346	1573	2961
347	1577	2955
348	1580	2948
349	1584	2941
350	1587	2934
351	1590	2927
352	1593	2920
353	1596	2913
