,Feature,Value
0,Original Oil,0.35439006270752643
3,TAREA,0.16596243352274903
2,THK,0.1205894885960276
9,RSI,0.041839270900565585
1,SS,0.039895588168361966
8,TI,0.036620372632899675
6,PERMEABILITY,0.03643272441998694
11,BOI,0.03452815704788504
10,API,0.0339476376796181
7,Pi,0.029903668737366433
5,SW,0.02642755824025518
4,POROSITY,0.024075983241856523
23,DRIVE_DEP,0.014278807776966752
27,DRIVE_WTR,0.006201897183686221
17,CHRONOZONE_PL,0.004816689435152989
24,DRIVE_PAR,0.004390790634100906
16,CHRONOZONE_MUU,0.004121056906554966
21,CHRONOZONE_PU,0.003279085447224498
25,DRIVE_SLG,0.003207082469815203
13,CHRONOZONE_MLU,0.0031249944899441355
18,CHRONOZONE_PLL,0.0030716486350485794
22,DRIVE_COM,0.0029945495475947864
26,DRIVE_UNK,0.00233364065639098
15,CHRONOZONE_MUM,0.0012983775142934647
20,CHRONOZONE_PLU-LL,0.0010724134287977785
12,CHRONOZONE_MLM,0.0005561519836324451
14,CHRONOZONE_MMM,0.0004267069406587773
19,CHRONOZONE_PLM,0.00021316105503911545
