iter	Passed	Remaining
0	10	10065
1	22	11270
2	34	11538
3	41	10369
4	48	9653
5	60	10097
6	70	9988
7	81	10144
8	90	9975
9	101	10028
10	119	10785
11	133	10985
12	160	12189
13	168	11881
14	178	11698
15	184	11336
16	195	11306
17	205	11227
18	213	11001
19	221	10876
20	230	10756
21	244	10876
22	252	10729
23	260	10579
24	272	10629
25	277	10388
26	284	10262
27	293	10171
28	301	10082
29	310	10044
30	322	10076
31	331	10020
32	337	9900
33	344	9792
34	350	9668
35	362	9714
36	372	9690
37	382	9683
38	387	9538
39	396	9510
40	404	9464
41	415	9482
42	423	9426
43	431	9376
44	439	9322
45	445	9235
46	457	9268
47	468	9286
48	477	9274
49	486	9242
50	495	9215
51	504	9195
52	515	9216
53	525	9210
54	532	9152
55	542	9151
56	552	9147
57	562	9143
58	575	9176
59	583	9143
60	593	9138
61	601	9105
62	610	9083
63	620	9071
64	629	9048
65	635	8993
66	643	8966
67	651	8930
68	656	8861
69	665	8836
70	677	8866
71	686	8843
72	694	8825
73	705	8822
74	712	8785
75	722	8783
76	733	8787
77	741	8759
78	748	8720
79	754	8673
80	761	8638
81	771	8640
82	780	8624
83	786	8573
84	797	8586
85	802	8532
86	807	8470
87	813	8427
88	821	8407
89	828	8381
90	834	8340
91	843	8320
92	850	8297
93	859	8285
94	865	8245
95	872	8219
96	884	8231
97	891	8207
98	898	8176
99	904	8143
100	913	8135
101	920	8105
102	927	8073
103	934	8051
104	941	8026
105	946	7979
106	953	7961
107	962	7953
108	967	7910
109	976	7904
110	987	7911
111	994	7887
112	1001	7859
113	1008	7834
114	1015	7812
115	1021	7783
116	1027	7757
117	1035	7736
118	1043	7727
119	1050	7706
120	1058	7691
121	1066	7674
122	1075	7666
123	1080	7631
124	1085	7598
125	1090	7567
126	1103	7585
127	1110	7564
128	1118	7548
129	1125	7531
130	1135	7532
131	1141	7508
132	1147	7481
133	1154	7462
134	1160	7438
135	1166	7412
136	1170	7372
137	1175	7343
138	1181	7320
139	1186	7289
140	1194	7276
141	1198	7241
142	1204	7219
143	1208	7186
144	1214	7161
145	1223	7158
146	1228	7130
147	1233	7101
148	1239	7076
149	1243	7047
150	1250	7029
151	1254	7000
152	1260	6977
153	1267	6961
154	1274	6946
155	1280	6928
156	1287	6913
157	1294	6897
158	1297	6864
159	1304	6847
160	1312	6839
161	1319	6823
162	1324	6802
