,Feature,Value
5,210_Permeability (air average) (mD),0.17849941290709212
7,225_Viscosity (oil average) (cp),0.12294208372257104
3,176_Net/gross ratio (average),0.10810601928424163
6,218_API gravity (average) (deg. API),0.08480749764403064
9,293_Original in-place oil equivalent (MMBOE),0.06779173875658266
2,77_Pressure (original) (psi),0.06313642183224898
4,204_Porosity (matrix average) (%),0.05619646539193116
8,252_GOR (initial average) (SCF/STB),0.044248497185384955
1,75_Temperature (original) (deg. F),0.037691388624809495
10,EORIOR,0.029636542760975795
0,52_Well spacing (average) (ac),0.027485864617745364
63,11_Basin name_NORTH SEA CENTRAL,0.015386216899173667
132,161_Reservoir architecture (main)_JIGSAW-PUZZLE,0.013468449425425888
136,161_Reservoir architecture (main)_LAYER-CAKE,0.009511064391980184
17,10_Region_NORTH AMERICA,0.00884024460428224
106,82_Drive mechanism (main)_GAS DRIVE,0.006035961163494202
129,153_Depositional system (main)_24COASTAL,0.005930641260884146
104,82_Drive mechanism (main)_AQUIFER DRIVE,0.0059168816040642315
46,11_Basin name_JEANNE D ARC,0.005825522315241888
117,149_Reservoir period_NEOGENE,0.0051217514990335175
61,11_Basin name_NEUQUEN,0.005101448187245434
12,10_Region_ASIA-PACIFIC,0.004928513727066754
130,153_Depositional system (main)_25DEEP MARINE,0.004831989991309525
13,10_Region_EUROPE,0.004669013721228537
15,10_Region_LATIN AMERICA,0.00464105147396298
115,149_Reservoir period_JURASSIC,0.004331642804016386
111,149_Reservoir period_CRETACEOUS,0.004017217206515833
44,11_Basin name_GULF OF MEXICO NORTHERN ONSHORE,0.003982854658445714
126,153_Depositional system (main)_21FLUVIAL,0.0038250890565510037
109,149_Reservoir period_CARBONIFEROUS,0.003320432950732877
11,10_Region_AFRICA,0.0032079016747305323
14,10_Region_FORMER SOVIET UNION,0.0029758950521234563
121,149_Reservoir period_PALEOGENE,0.0026599011804117095
37,11_Basin name_EASTERN VENEZUELA,0.0025137670622596294
96,11_Basin name_VOLGA-URAL,0.0022123242604182476
78,11_Basin name_SABAH,0.0021095013247640396
102,72_Onshore or offshore_ONSHORE,0.0021041844855056078
81,11_Basin name_SIBERIAN WESTERN,0.002061253328028884
135,161_Reservoir architecture (main)_LABYRINTH,0.00198879050306701
137,161_Reservoir architecture (main)_TANK LIKE,0.0019329295149531607
57,11_Basin name_MID-NORWAY SHELF,0.0019091640114460259
123,149_Reservoir period_PERMIAN,0.0018840589443579962
83,11_Basin name_SONGLIAO,0.001848700693719334
18,11_Basin name_ABU GHARADIG,0.0017015149205976032
47,11_Basin name_JIANGHAN,0.0014034108336970148
53,11_Basin name_MARACAIBO,0.0012758758825293288
128,153_Depositional system (main)_23LACUSTRINE,0.0012615858140648812
101,72_Onshore or offshore_OFFSHORE,0.0011881669267532102
127,153_Depositional system (main)_22DESERT,0.0010987229672653608
120,149_Reservoir period_ORDOVICIAN/CAMBRIAN,0.0010327133353371888
72,11_Basin name_PHITSANULOK,0.0009789708737134774
