,Feature,Value
8,Permeability,0.09337691115885197
5,Swi,0.07336748756618763
1,Well Spacing,0.0699027707969459
4,Porosity,0.06405601288579003
13,Pressure Initial,0.061199959188592015
9,API Gravity,0.0558070225226978
6,Oil FVFi,0.046544780197965666
11,OOIP,0.046324696391865115
3,Gross Pay,0.04440366261289666
12,Initial GOR,0.04191005783339641
10,Viscosity,0.04106838336123993
7,Temp,0.03966109327739489
16,Deposition System,0.0389884530712175
2,Net Pay Pay,0.03898204546490698
15,Geologic Play,0.03768916615663259
20,Trap Type,0.03756570485536663
17,Diagenetic Overprint,0.03589310057294153
22,Shale Breaks_1.0,0.034005550727705974
14,Major Gas Cap,0.030255744614749776
19,Heterogeniety,0.02235518520257216
18,Structural Comp,0.017271278826211333
21,Fractured Faulted_1.0,0.016066831067117274
0,Lithology Code,0.013304101646754204
