,Feature,Value
9,API Gravity,0.12584517484473415
8,Permeability,0.10185475565779237
5,Swi,0.09145221968181098
11,OOIP,0.06894405860481978
16,Deposition System,0.06483547083088505
10,Viscosity,0.06479068039305567
4,Porosity,0.060322189857473646
6,Oil FVFi,0.05491613961682255
12,Initial GOR,0.05263031245810409
3,Gross Pay,0.04622555638076574
15,Geologic Play,0.043021646764908154
1,Well Spacing,0.041867784960958776
2,Net Pay Pay,0.04112577022351928
7,Temp,0.037399719603934636
13,Pressure Initial,0.034319588105782894
17,Diagenetic Overprint,0.023609414614360336
22,Shale Breaks_1.0,0.009386460197644338
20,Trap Type,0.007876511454295299
18,Structural Comp,0.007398351001743942
19,Heterogeniety,0.006317188302803586
21,Fractured Faulted_1.0,0.006142832595792083
14,Major Gas Cap,0.006033706347802172
0,Lithology Code,0.003684467500190609
