iter	Passed	Remaining
0	7	7078
1	7	3934
2	8	2846
3	9	2296
4	9	1980
5	10	1768
6	11	1615
7	12	1498
8	12	1410
9	13	1336
10	14	1282
11	15	1236
12	15	1190
13	16	1152
14	17	1119
15	17	1091
16	18	1068
17	19	1043
18	19	1024
19	20	1007
20	21	996
21	22	980
22	22	965
23	23	952
24	24	939
25	24	927
26	25	917
27	26	908
28	26	899
29	27	890
30	28	882
31	28	874
32	29	868
33	30	862
34	31	857
35	31	850
36	32	845
37	33	839
38	33	834
39	34	828
40	35	826
41	36	822
42	36	818
43	37	813
44	38	809
45	38	806
46	39	803
47	40	799
48	41	796
49	41	792
50	42	788
51	43	785
52	43	783
53	44	780
54	45	778
55	45	775
56	46	772
57	47	770
58	48	768
59	48	765
60	49	766
61	50	763
62	51	760
63	51	758
64	52	757
65	53	755
66	54	752
67	54	751
68	55	749
69	56	748
70	56	745
71	57	743
72	58	741
73	59	739
74	59	737
75	60	734
76	61	732
77	61	730
78	62	728
79	63	726
80	63	724
81	64	722
82	65	720
83	65	719
84	66	717
85	67	715
86	68	713
87	68	711
88	69	710
89	70	708
90	70	707
91	71	705
92	72	703
93	72	701
94	73	700
95	74	699
96	74	697
97	75	696
98	76	694
99	77	693
100	77	693
101	78	692
102	79	691
103	80	690
104	80	689
105	81	687
106	82	685
107	82	684
108	83	683
109	84	681
110	84	680
111	85	679
112	86	678
113	87	677
114	87	676
115	88	674
116	89	673
117	89	672
118	90	670
119	91	670
120	92	669
121	92	667
122	93	666
123	94	665
124	94	664
125	95	662
126	96	661
127	96	660
128	97	659
129	98	658
130	99	657
131	99	656
132	100	655
133	101	654
134	102	653
135	102	652
136	103	651
137	104	650
138	104	649
139	105	648
140	106	647
141	107	646
142	107	645
143	108	644
144	109	643
145	109	642
146	110	640
147	111	639
148	111	638
149	112	637
150	113	636
151	113	635
152	114	634
153	115	633
154	115	632
155	116	631
156	117	630
157	118	629
158	118	628
159	119	627
160	120	626
161	120	625
162	121	624
163	122	623
164	122	621
165	123	620
166	124	619
167	124	618
168	125	617
169	126	616
170	126	615
171	127	614
172	128	613
173	129	612
174	129	611
175	130	611
176	131	610
177	131	609
178	132	608
179	133	608
180	134	607
181	134	606
182	135	605
183	136	604
184	137	603
185	137	602
186	138	601
187	139	600
188	139	599
189	140	598
190	141	597
191	141	596
192	142	595
193	143	595
194	143	594
195	144	593
196	145	592
197	145	591
198	146	590
199	147	589
200	148	589
201	148	588
202	149	587
203	150	586
204	150	585
205	151	584
206	152	583
207	153	582
208	153	581
209	154	580
210	155	579
211	155	578
212	156	577
213	157	577
214	157	576
215	158	575
216	159	574
217	159	573
218	160	572
219	161	571
220	162	571
221	162	570
222	163	569
223	164	569
224	164	568
225	165	567
226	166	566
227	167	565
228	167	565
229	168	564
230	169	563
231	169	562
232	170	561
233	171	561
234	172	560
235	172	559
236	173	558
237	174	557
238	174	556
239	175	555
240	176	555
241	177	555
242	177	554
243	178	553
244	179	552
245	180	551
246	180	551
247	181	550
248	182	549
249	182	548
250	183	547
251	184	546
252	184	545
253	185	544
254	186	544
255	186	543
256	187	542
257	188	541
258	189	541
259	189	540
260	190	539
261	191	538
262	192	538
263	192	537
264	193	536
265	194	535
266	194	534
267	195	534
268	196	533
269	196	532
270	197	531
271	198	530
272	198	529
273	199	529
274	200	528
275	201	527
276	201	526
277	202	525
278	203	525
279	203	524
280	204	523
281	205	522
282	206	522
283	206	521
284	207	520
285	208	519
286	208	518
287	209	517
288	210	517
289	210	516
290	211	515
291	212	514
292	213	514
293	213	513
294	214	512
295	215	511
296	215	510
297	216	510
298	217	509
299	218	508
300	218	508
301	219	507
302	220	507
303	221	506
304	221	505
305	222	504
306	223	504
307	224	503
308	224	502
309	225	501
310	226	500
311	226	500
312	227	499
313	228	498
314	228	497
315	229	496
316	230	496
317	231	495
318	231	494
319	232	493
320	233	493
321	233	492
322	234	491
323	235	490
324	235	489
325	236	488
326	237	488
327	237	487
328	238	486
329	239	485
330	239	484
331	240	483
332	241	483
333	241	482
334	242	481
335	243	480
336	243	479
337	244	478
338	245	478
339	245	477
340	246	476
341	247	475
342	247	474
343	248	473
344	249	472
345	249	471
346	250	471
347	250	470
348	251	469
349	252	468
350	253	467
351	253	467
352	254	466
353	255	465
354	255	464
355	256	463
356	256	462
357	257	462
358	258	461
359	258	460
360	259	459
361	260	458
362	260	457
363	261	457
364	262	456
365	262	455
366	263	454
367	264	453
368	264	453
369	265	452
370	266	451
371	266	450
372	267	449
373	268	449
374	268	448
375	269	447
376	270	446
377	270	445
378	271	445
379	272	444
380	273	443
381	273	442
382	274	441
383	274	441
384	275	440
385	276	439
386	277	438
387	277	437
388	278	437
389	278	436
390	279	435
391	280	434
392	280	433
393	281	433
394	282	432
395	282	431
396	283	430
397	284	429
398	284	428
399	285	428
400	286	427
401	286	426
402	287	425
403	288	425
404	288	424
405	289	423
406	290	422
407	290	422
408	291	421
409	292	420
410	292	419
411	293	418
412	294	418
413	294	417
414	295	416
415	296	415
416	296	414
417	297	414
418	298	413
419	298	412
420	299	411
421	300	410
422	300	410
423	301	409
424	301	408
425	302	407
426	303	407
427	304	406
428	304	405
429	305	404
430	306	403
431	306	403
432	307	402
433	308	401
434	308	400
435	309	400
436	309	399
437	310	398
438	311	397
439	311	396
440	312	396
441	313	395
442	313	394
443	314	393
444	315	393
445	315	392
446	316	391
447	317	390
448	317	390
449	318	389
450	319	388
451	320	388
452	320	387
453	321	386
454	322	385
455	322	385
456	323	384
457	324	383
458	324	382
459	325	382
460	326	381
461	326	380
462	327	380
463	328	379
464	329	378
465	329	377
466	330	377
467	331	376
468	331	375
469	332	374
470	333	374
471	333	373
472	334	372
473	335	371
474	335	371
475	336	370
476	337	369
477	337	369
478	338	368
479	339	367
480	339	366
481	340	365
482	341	365
483	341	364
484	342	363
485	343	363
486	343	362
487	344	361
488	345	360
489	345	360
490	346	359
491	347	358
492	347	357
493	348	357
494	349	356
495	350	355
496	350	354
497	351	354
498	352	353
499	352	352
500	353	352
501	354	351
502	354	350
503	355	349
504	356	349
505	356	348
506	357	347
507	358	346
508	358	346
509	359	345
510	360	344
511	360	343
512	361	343
513	362	342
514	362	341
515	363	341
516	364	340
517	364	339
518	365	338
519	366	338
520	366	337
521	367	336
522	368	335
523	368	335
524	369	334
525	370	333
526	371	333
527	371	332
528	372	331
529	373	330
530	373	330
531	374	329
532	375	328
533	376	328
534	376	327
535	377	326
536	378	326
537	379	325
538	379	324
539	380	324
540	381	323
541	381	322
542	382	321
543	383	321
544	383	320
545	384	319
546	385	319
547	385	318
548	386	317
549	387	317
550	388	316
551	388	315
552	389	314
553	390	314
554	391	313
555	391	312
556	392	312
557	393	311
558	393	310
559	394	310
560	395	309
561	396	308
562	396	308
563	397	307
564	398	306
565	398	305
566	399	305
567	400	304
568	401	303
569	401	303
570	402	302
571	403	301
572	403	300
573	404	300
574	405	299
575	405	298
576	406	298
577	407	297
578	407	296
579	408	295
580	409	295
581	410	294
582	410	293
583	411	293
584	412	292
585	412	291
586	413	290
587	414	290
588	414	289
589	415	288
590	416	288
591	416	287
592	417	286
593	418	285
594	418	285
595	419	284
596	420	283
597	420	282
598	421	282
599	422	281
600	422	280
601	423	280
602	424	279
603	425	278
604	425	277
605	426	277
606	427	276
607	427	275
608	428	275
609	429	274
610	429	273
611	430	272
612	431	272
613	431	271
614	432	270
615	433	270
616	433	269
617	434	268
618	435	267
619	436	267
620	436	266
621	437	265
622	438	265
623	438	264
624	439	263
625	440	263
626	440	262
627	441	261
628	442	260
629	443	260
630	443	259
631	444	258
632	445	258
633	445	257
634	446	256
635	447	256
636	448	255
637	448	254
638	449	253
639	450	253
640	450	252
641	451	251
642	452	251
643	452	250
644	453	249
645	454	248
646	454	248
647	455	247
648	456	246
649	457	246
650	457	245
651	458	244
652	459	244
653	459	243
654	460	242
655	461	241
656	461	241
657	462	240
658	463	239
659	463	238
660	464	238
661	465	237
662	465	236
663	466	236
664	467	235
665	468	234
666	468	234
667	469	233
668	470	232
669	470	231
670	471	231
671	472	230
672	473	229
673	473	229
674	474	228
675	475	227
676	475	227
677	476	226
678	477	225
679	477	224
680	478	224
681	479	223
682	480	222
683	480	222
684	481	221
685	482	220
686	482	219
687	483	219
688	484	218
689	484	217
690	485	217
691	486	216
692	487	215
693	487	215
694	488	214
695	489	213
696	489	212
697	490	212
698	491	211
699	491	210
700	492	210
701	493	209
702	494	208
703	494	208
704	495	207
705	496	206
706	496	205
707	497	205
708	498	204
709	498	203
710	499	203
711	500	202
712	501	201
713	501	201
714	502	200
715	503	199
