,Feature,Value
0,Original Oil,36.91426796824867
3,TAREA,18.79845777216222
2,THK,11.70132172085299
8,TI,3.7335883704182335
11,BOI,3.32598906969757
7,Pi,3.2219778078709616
6,PERMEABILITY,3.213413024795654
9,RSI,3.0956394867382917
1,SS,2.896284128299781
10,API,2.8855225051333866
23,DRIVE_DEP,2.440000327301664
4,POROSITY,2.130485283925497
5,SW,1.9212962678785628
25,DRIVE_SLG,0.7005371849466369
27,DRIVE_WTR,0.5464479329665164
24,DRIVE_PAR,0.4356753647146377
22,DRIVE_COM,0.38900075782840127
26,DRIVE_UNK,0.2821816826877325
13,CHRONOZONE_MLU,0.2817169946159372
21,CHRONOZONE_PU,0.2679883953236885
17,CHRONOZONE_PL,0.2661017709273049
16,CHRONOZONE_MUU,0.16537121582910774
20,CHRONOZONE_PLU-LL,0.13741382742605784
18,CHRONOZONE_PLL,0.13717412813908736
15,CHRONOZONE_MUM,0.07119903599514057
14,CHRONOZONE_MMM,0.019196523053065948
12,CHRONOZONE_MLM,0.013194384652835187
19,CHRONOZONE_PLM,0.00855706757037926
