,Feature,Value
0,Original Oil,0.5245013665824465
3,TAREA,0.1999122852891252
2,THK,0.09774838958567034
1,SS,0.029513022690435636
23,DRIVE_DEP,0.026041396666917103
9,RSI,0.02394448075101852
8,TI,0.02234058516955611
6,PERMEABILITY,0.012265599589560737
7,Pi,0.011684381326200862
25,DRIVE_SLG,0.011605656451663799
11,BOI,0.01115869610421556
10,API,0.010471127562514112
5,SW,0.007102331939343223
4,POROSITY,0.0061016988746382134
26,DRIVE_UNK,0.002584019996436658
27,DRIVE_WTR,0.0012775641814784836
15,CHRONOZONE_MUM,0.0009362413286111367
13,CHRONOZONE_MLU,0.0004721340169040471
18,CHRONOZONE_PLL,0.00026316084986231927
20,CHRONOZONE_PLU-LL,7.586104340140906e-05
16,CHRONOZONE_MUU,0.0
17,CHRONOZONE_PL,0.0
19,CHRONOZONE_PLM,0.0
21,CHRONOZONE_PU,0.0
22,DRIVE_COM,0.0
24,DRIVE_PAR,0.0
12,CHRONOZONE_MLM,0.0
14,CHRONOZONE_MMM,0.0
