,Feature,Value
0,Original Oil,0.3792208545293384
2,TAREA,0.20218927236905263
1,THK,0.15149139211154633
5,RSI,0.06838906143601915
4,SW,0.04794141231058296
6,API,0.04564104076883133
3,POROSITY,0.04126234104739286
13,DRIVE_DEP,0.0118641341047435
17,DRIVE_WTR,0.007743721632942187
14,DRIVE_PAR,0.006937989684925898
9,CHRONOZONE_PL,0.00690960110188224
8,CHRONOZONE_MUU,0.006119049031477888
11,CHRONOZONE_PU,0.005949088799271976
10,CHRONOZONE_PLL,0.0053677886847267675
12,DRIVE_COM,0.0040114809514627085
15,DRIVE_SLG,0.0038520988630620836
7,CHRONOZONE_MLU,0.0036146021796234547
16,DRIVE_UNK,0.0014950703931175973
