iter	Passed	Remaining
0	9	9303
1	18	9124
2	38	12954
3	45	11275
4	54	10876
5	62	10323
6	70	9974
7	79	9903
8	88	9730
9	94	9393
10	100	9072
11	106	8760
12	117	8955
13	131	9275
14	141	9316
15	148	9109
16	154	8928
17	160	8745
18	168	8721
19	175	8619
20	181	8477
21	194	8665
22	203	8650
23	212	8647
24	219	8546
25	235	8834
26	240	8677
27	248	8619
28	254	8511
29	267	8636
30	273	8534
31	286	8675
32	291	8552
33	297	8454
34	303	8360
35	314	8418
36	346	9014
37	353	8951
38	360	8871
39	369	8875
40	377	8819
41	384	8759
42	390	8690
43	396	8616
44	401	8527
45	411	8523
46	422	8565
47	430	8546
48	436	8480
49	442	8400
50	448	8343
51	454	8292
52	460	8220
53	465	8159
54	474	8159
55	482	8131
56	489	8100
57	500	8129
58	506	8085
59	512	8030
60	519	8002
61	525	7957
62	532	7926
63	546	7988
64	553	7962
65	561	7945
66	567	7903
67	573	7859
68	580	7828
69	585	7781
70	591	7734
71	598	7709
72	603	7667
73	610	7639
74	616	7607
75	623	7575
76	628	7537
77	634	7505
78	642	7487
79	648	7458
80	653	7418
81	659	7379
82	665	7354
83	672	7333
84	678	7306
85	685	7281
86	690	7248
87	696	7222
88	702	7189
89	710	7184
90	717	7165
91	723	7136
92	730	7121
93	737	7106
94	744	7093
95	750	7071
96	760	7079
97	772	7111
98	778	7088
99	785	7067
100	790	7033
101	795	7001
102	804	7003
103	810	6983
104	819	6984
105	825	6965
106	833	6952
107	839	6932
108	845	6909
109	850	6884
110	856	6862
111	863	6844
112	868	6817
113	874	6793
114	880	6772
115	887	6759
116	893	6740
117	899	6722
118	905	6704
119	912	6691
120	917	6667
121	923	6649
122	930	6632
123	937	6620
124	942	6599
125	948	6578
126	955	6565
127	961	6550
128	967	6534
129	973	6516
130	978	6489
131	984	6470
132	988	6446
133	993	6422
134	998	6399
135	1004	6380
136	1010	6363
137	1014	6338
138	1019	6317
139	1024	6296
140	1030	6279
141	1036	6261
142	1041	6240
143	1046	6223
144	1051	6200
145	1057	6185
146	1062	6163
147	1067	6143
148	1072	6123
149	1077	6104
150	1082	6087
151	1088	6071
152	1094	6058
153	1100	6044
154	1105	6028
155	1111	6015
156	1117	5998
157	1122	5979
158	1127	5961
159	1131	5941
160	1136	5923
161	1141	5906
162	1147	5891
163	1152	5875
164	1158	5862
165	1163	5845
166	1168	5829
167	1173	5811
168	1178	5795
169	1184	5782
170	1189	5766
171	1194	5748
172	1199	5731
173	1203	5713
174	1208	5696
175	1213	5679
176	1217	5661
177	1224	5653
178	1229	5638
179	1234	5622
180	1239	5610
181	1245	5595
182	1250	5581
183	1255	5566
184	1260	5553
185	1265	5537
186	1270	5524
187	1276	5511
188	1282	5503
189	1287	5488
190	1293	5477
191	1299	5469
192	1304	5454
193	1310	5442
194	1315	5432
195	1320	5417
196	1326	5405
197	1330	5391
198	1336	5380
199	1342	5370
200	1347	5358
201	1352	5344
202	1358	5332
203	1363	5321
204	1368	5308
205	1374	5299
206	1379	5285
207	1384	5272
208	1389	5260
209	1395	5249
210	1400	5235
211	1405	5222
212	1409	5207
213	1414	5195
214	1418	5180
215	1424	5170
216	1430	5160
217	1435	5147
218	1442	5145
219	1448	5134
220	1453	5124
221	1458	5112
222	1464	5102
223	1470	5094
224	1475	5081
225	1480	5069
226	1484	5056
227	1490	5048
228	1495	5033
229	1500	5023
230	1505	5013
231	1512	5006
232	1517	4996
233	1523	4987
234	1528	4976
235	1533	4964
236	1538	4952
237	1543	4941
238	1548	4929
239	1552	4916
240	1557	4905
241	1562	4894
242	1569	4887
243	1574	4879
244	1580	4869
245	1585	4859
246	1591	4851
247	1597	4842
248	1603	4834
249	1608	4825
250	1614	4816
251	1619	4805
252	1624	4796
253	1629	4787
254	1634	4776
255	1639	4764
256	1644	4754
257	1650	4746
258	1655	4736
259	1662	4730
260	1667	4721
261	1672	4712
262	1678	4702
263	1683	4693
264	1688	4683
265	1693	4672
266	1698	4662
267	1703	4652
268	1709	4644
269	1713	4632
270	1718	4622
271	1723	4613
272	1729	4604
273	1734	4595
274	1739	4587
275	1744	4575
276	1748	4564
277	1755	4558
278	1759	4547
279	1764	4536
280	1768	4524
281	1773	4514
282	1777	4504
283	1782	4493
284	1787	4484
285	1792	4475
286	1797	4465
287	1802	4456
288	1807	4446
289	1812	4437
290	1817	4429
291	1822	4418
292	1827	4409
293	1832	4401
294	1836	4389
295	1842	4381
296	1846	4371
297	1851	4361
298	1856	4353
299	1861	4342
300	1866	4333
301	1870	4322
302	1875	4315
303	1881	4306
304	1885	4297
305	1890	4287
306	1895	4278
307	1900	4268
308	1904	4258
309	1909	4249
310	1913	4239
311	1918	4230
312	1922	4220
313	1927	4211
314	1932	4202
315	1936	4192
316	1941	4183
317	1946	4174
318	1951	4165
319	1955	4155
320	1959	4145
321	1965	4137
322	1969	4128
323	1975	4121
324	1980	4112
325	1984	4102
326	1988	4093
327	1993	4084
328	1999	4078
329	2003	4068
330	2009	4061
331	2015	4054
332	2020	4047
333	2026	4040
334	2030	4031
335	2035	4022
336	2040	4014
337	2045	4006
338	2049	3995
339	2054	3987
340	2057	3976
341	2062	3967
342	2066	3957
343	2071	3950
344	2075	3941
345	2079	3931
346	2084	3922
347	2090	3916
348	2096	3909
349	2101	3902
350	2106	3894
351	2110	3884
352	2114	3875
353	2119	3867
354	2123	3858
355	2129	3852
356	2136	3847
357	2141	3840
358	2147	3834
359	2152	3827
360	2157	3818
361	2163	3812
362	2168	3804
363	2172	3795
364	2176	3786
365	2180	3777
366	2185	3768
367	2188	3759
368	2193	3750
369	2198	3742
370	2202	3733
371	2205	3723
372	2209	3714
373	2213	3704
374	2217	3695
375	2221	3687
376	2226	3679
377	2231	3671
378	2235	3663
379	2239	3654
380	2244	3646
381	2248	3637
382	2251	3627
383	2256	3619
384	2260	3610
385	2265	3603
386	2269	3595
387	2273	3586
388	2278	3578
389	2282	3570
390	2286	3561
391	2290	3553
392	2294	3544
393	2298	3535
394	2303	3528
395	2308	3520
396	2313	3513
397	2317	3505
398	2320	3495
399	2324	3486
400	2328	3478
401	2333	3471
402	2338	3464
403	2342	3456
404	2346	3446
405	2350	3438
406	2354	3430
407	2357	3421
408	2361	3412
409	2364	3403
410	2369	3395
411	2373	3387
412	2377	3379
413	2381	3371
414	2385	3362
415	2389	3354
416	2393	3346
417	2397	3338
418	2401	3330
419	2406	3322
420	2410	3314
421	2414	3306
422	2417	3298
423	2421	3289
424	2426	3282
425	2429	3273
426	2433	3265
427	2438	3258
428	2442	3250
429	2446	3242
430	2450	3234
431	2454	3226
432	2457	3218
433	2461	3210
434	2466	3203
435	2470	3195
436	2475	3188
437	2478	3180
438	2482	3172
439	2487	3165
440	2490	3156
441	2494	3148
442	2498	3141
443	2503	3134
444	2507	3127
445	2512	3120
446	2516	3113
447	2521	3106
448	2525	3099
449	2529	3091
450	2533	3084
451	2537	3076
452	2542	3069
453	2546	3062
454	2549	3054
455	2553	3046
456	2558	3040
457	2562	3032
458	2565	3024
459	2570	3017
460	2574	3010
461	2578	3002
462	2582	2994
463	2587	2988
464	2591	2981
465	2595	2974
466	2599	2967
467	2603	2959
468	2607	2952
469	2611	2944
470	2615	2938
471	2620	2930
472	2624	2923
473	2628	2916
474	2631	2909
475	2637	2902
476	2640	2895
477	2645	2888
478	2649	2881
479	2653	2874
480	2657	2867
481	2661	2860
482	2666	2854
483	2670	2847
484	2675	2841
485	2680	2835
486	2684	2827
487	2688	2820
488	2691	2813
489	2696	2806
490	2701	2800
491	2704	2792
492	2708	2785
493	2712	2778
494	2717	2771
495	2720	2764
496	2724	2757
497	2728	2750
498	2732	2743
499	2736	2736
500	2740	2729
501	2744	2723
502	2748	2715
503	2752	2709
