,Feature,Value
5,Permeability,0.11485008795848492
2,Swi,0.09472686162521562
0,Well Spacing,0.08775382950549995
6,API Gravity,0.07314727126237726
3,Oil FVFi,0.06643408949777131
8,OOIP,0.0614876510285434
1,Gross Pay,0.05582462357507822
4,Temp,0.05581713422196397
12,Diagenetic Overprint,0.05313976967046012
11,Deposition System,0.04901264284876904
7,Viscosity,0.04897591265123588
17,Shale Breaks_1.0,0.046889430816441084
10,Geologic Play,0.046267138696588744
15,Trap Type,0.03737107514351832
9,Major Gas Cap,0.02941423330775379
14,Heterogeniety,0.027781961712549937
16,Fractured Faulted_1.0,0.0261929302854834
13,Structural Comp,0.02491335619226501
