,Feature,Value
5,Permeability,0.1547814360868776
2,Swi,0.10812526688273258
7,Viscosity,0.0980893166692766
8,OOIP,0.09040113004492485
0,Well Spacing,0.0844655999128401
6,API Gravity,0.0823757214631597
10,Geologic Play,0.07438244868981676
11,Deposition System,0.06639761905702223
1,Gross Pay,0.05934209976233348
4,Temp,0.05420725594932156
3,Oil FVFi,0.04326198373123553
12,Diagenetic Overprint,0.029785496770392595
13,Structural Comp,0.02111535093426497
15,Trap Type,0.018193176955028676
17,Shale Breaks_1.0,0.007547250687587523
9,Major Gas Cap,0.0032693175513547517
14,Heterogeniety,0.0024418425770129037
16,Fractured Faulted_1.0,0.0018176862748174403
