,Feature,Value
5,Permeability,0.14413123001127734
2,Swi,0.11848302995952192
8,OOIP,0.09942494659433676
6,API Gravity,0.08229770075199694
7,Viscosity,0.07882375120662251
11,Deposition System,0.07215544264628458
10,Geologic Play,0.07140118257936562
0,Well Spacing,0.06854717789171332
3,Oil FVFi,0.06718074866280246
1,Gross Pay,0.05698170844328814
4,Temp,0.05335270352203787
12,Diagenetic Overprint,0.02485106035905144
15,Trap Type,0.014719336940756523
17,Shale Breaks_1.0,0.014288083175119433
13,Structural Comp,0.012136157989047627
14,Heterogeniety,0.008763034233613375
9,Major Gas Cap,0.006917708533160626
16,Fractured Faulted_1.0,0.00554499650000356
