iter	Passed	Remaining
0	1	91
1	3	125
2	4	105
3	8	152
4	9	144
5	12	150
6	13	139
7	14	133
8	15	123
9	16	114
10	19	122
11	20	114
12	24	125
13	25	120
14	31	135
15	32	129
16	33	123
17	34	117
18	35	113
19	36	108
20	36	103
21	38	101
22	40	99
23	41	96
24	42	94
25	44	91
26	46	90
27	48	89
28	50	88
29	51	86
30	53	84
31	54	81
32	56	80
33	58	79
34	61	78
35	64	78
36	65	76
37	67	74
38	68	71
39	68	68
40	70	66
41	71	64
42	73	63
43	74	60
44	75	58
45	77	57
46	80	56
47	82	55
48	83	52
49	85	51
50	86	48
51	86	46
52	87	44
53	89	43
54	90	41
55	92	39
56	93	37
57	95	36
58	96	34
59	98	32
60	99	30
61	100	29
62	102	27
63	103	25
64	104	24
65	105	22
66	106	20
67	107	18
68	108	17
69	110	15
70	110	14
71	112	12
72	113	10
73	114	9
74	115	7
75	115	6
76	116	4
77	116	2
78	117	1
79	118	0
77	135	3
78	137	1
79	138	0
192	7
77	194	4
78	195	2
79	197	0
