1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,35_Well count (total all wells),38_Well count (total producer),46_Well count (current active producer),52_Well spacing (average) (ac),58_Production year (current),62_Production rate (current oil equivalent) (BOEPD),65_Water-cut (current) (%),66_Production year (peak),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),76_Temperature depth (ft TVDSS),77_Pressure (original) (psi),78_Pressure depth (ft TVDSS),80_Pressure year (current),81_Pressure (current) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction (macro-scale),164_Fluid flow restriction (meso-scale),170_Gross reservoir thickness (average) (ft),173_Net reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),213_Permeability (well test average) (mD),218_API gravity (average) (deg. API),222_Specific gravity (gas average),225_Viscosity (oil average) (cp),230_Mobility index (average) (mD/cp),236_Oil_impurities (average),242_Methane (average) (%),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),266_Pour point temperature (average) (deg. F),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),300_EUR oil equivalent (MMBOE),301_Remaining EUR oil (MMBO),302_Remaining EUR gas (BCFG),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),310_Recovery to date (of in-place oil) (%),311_Recovery to date (of in-place gas) (%),313_Recovery (best-fit ultimate oil) (%),314_Reservoir performance index (decimal fraction),315_EUR oil per production well (MMBO),319_Secondary recovery start date,320_Secondary recovery methods,324_EOR start date,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management)
25 DE MAYO-MEDANITO SE,QUINTUCO,1P ,ARGENTINA,LATIN AMERICA,NEUQUEN,-37.9935,-67.9567,OIL,2012,SECONDARY RECOVERY,DECLINE,,,,22.24,,,,,,ONSHORE,-1059.71,,,1863.3,,,,GAS DRIVE,2111:LATERAL FACIES CHANGE,3487.53,2427.82,1.5,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATE/EVAPORITE,LATERAL FACIES CHANGE,656.17,,,,CARBONATES,GRAINSTONE/RUDSTONE,OOLITE,,INTERCRYSTALLINE,13.5,,,33,,,,3.14,,0,149.91,,,,48.2,,,,191.21,,,,,,,,,,,1977-01,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT,INFILL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,ESP,,
A.J.BERMUDEZ,UNNAMED,1P ,MEXICO,LATIN AMERICA,CHIAPAS-TABASCO,17.9833,-93.1,OIL,2008,SECONDARY RECOVERY,MATURE,432,430,109,333,2007,128571,,1979,630952,ONSHORE,-62,262,15223,7714,15223,2007,2647,AQUIFER DRIVE,112:TRANSPRESSIONAL ANTICLINE,12529,12467,12,3900,CRETACEOUS/JURASSIC,14:FORESLOPE-BASIN,LAYER-CAKE,BLOCK-BOUNDING FAULT,NONE,,,,,CARBONATES,BRECCIA,BRECCIA,TYPE II,VUGGY,4,87,,30,0.67,10,8.7,1.6,,3.5,1370,,1.8,4700,8.6,270000,20,11020,,1488,,,38,,24.88,,,,9.8,1977,CONTINUOUS WATER INJECTION/GAS INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/SAND CONTROL,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,GAS LIFT,SLOTTED LINER,
AB TEYMUR,ILAM,1P ,IRAN,MIDDLE EAST,ZAGROS,31.2097,48.4957,OIL,2000,DEVELOPING,DEVELOPING,,Area,,0,2000,,,,,ONSHORE,-40,210,10298,5860,10298,1997,5000,GAS DRIVE,1112:FORELAND ANTICLINE,10046,10006,5,1434,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE,NONE,353.35,229.66,0.65,70,CARBONATES,WACKESTONE/PACKSTONE,,TYPE III,MICROPOROSITY,,,,25,,2,,0,,0,340,,1.25,1670,,,19,12000,1200,,,,10,,0.75,,,,,,,,,STIMULATION,,ACIDIZATION,,,,
AB TEYMUR,SARVAK 1,1P ,IRAN,MIDDLE EAST,ZAGROS,31.2097,48.4957,OIL,2000,DEVELOPING,DEVELOPING,,27,,0,2000,,,,,ONSHORE,-40,219,12054,5660,12054,1997,4800,GAS DRIVE,1112:FORELAND ANTICLINE,10703,10663,8,1237,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE,NONE,853.02,623.36,0.75,190,CARBONATES,WACKESTONE/PACKSTONE,,TYPE III,MICROPOROSITY,,,,24,,27,,3.5,,0,330,,1.15,1650,,,19,12100,1200,,,,10,,0.22,,,,,,,,,STIMULATION,,ACIDIZATION,,,,
ABADI,UPPER PLOVER,3P ,INDONESIA,ASIA-PACIFIC,BONAPARTE,-9.1238,130.5,GAS-CONDENSATE, ,DEVELOPING,,7,,,0,,,,,,OFFSHORE,1968.5,,,5536.09,12795.28,,,GAS DRIVE,1211:TILTED FAULT-BLOCK,10170.6,12139.11,2,,JURASSIC,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT,RESERVOIR BODY BOUNDARY,410.1,,,,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,10,303.97,,51,,,,0,,9.6,,14.25,,,,,,,10485.11,,,,,,,,,,,,,,,OTHER RESERVOIR MANAGEMENT,,,,,,SIDETRACKING
ABKATUN,BRECCIA,1P ,MEXICO,LATIN AMERICA,CAMPECHE,19.21,-91.9833,OIL, ,SECONDARY RECOVERY,DECLINE,,119,19,120,2005,44000,55,1983,511000,OFFSHORE,131.23,284,11844,5598,11844,2004,3058,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9580.05,9711.29,15,2789,CRETACEOUS,14:FORESLOPE-BASIN,LAYER-CAKE,BLOCK-BOUNDING FAULT,NON-FRACTURED ZONE,305,,,,CARBONATES,BRECCIA,BRECCIA,TYPE II,VUGGY,9,3.1,48,28,,,,0,,0,710,,1.53,2466,,,,5514,2454,,,,45,,39.68,,,,,1991,CONTINUOUS WATER INJECTION,,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,GAS LIFT,,WATER PLUGGING
ABQAIQ,ARAB D,1P ,SAUDI ARABIA,MIDDLE EAST,THE GULF,26.08,49.81,OIL, ,SECONDARY RECOVERY,DECLINE,,259,,235,2006,410000,32,1973,1000000,ONSHORE,-500,217,,3395,6500,1954,2450,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,6050,5550,7,1550,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,EVAPORITE,NONE,220,,,56.08,CARBONATES,PACKSTONE/GRAINSTONE,ALGAE/FORAMINIFERA,TYPE IV,INTERPARTICLE,21,410,,37,,0.4,1025,1.4,,3.7,850,,1.53,2545,,,,19000,,,,,,,64.21,,,,,1954,CONTINUOUS WATER INJECTION/GAS INJECTION,,,DRILLING/STIMULATION,HORIZONTAL WELL,ACIDIZATION,,,,
ABQAIQ,HANIFA,1P ,SAUDI ARABIA,MIDDLE EAST,THE GULF,26.08,49.81,OIL,2006,SECONDARY RECOVERY,DECLINE,,,,235,2006,,32,,,ONSHORE,-500,217,,3395,6500,1954,2450,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,6380,5880,7,950,JURASSIC,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE,NONE,328,,,,CARBONATES,MUDSTONE/WACKESTONE,ALGAE/FORAMINIFERA,TYPE III,MICROPOROSITY,17,1,17.2,37,,0.4,2.5,1.4,,3.7,850,,1.53,2545,,,,5700,,,,,,,,,,,,1994,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT,HORIZONTAL WELL,ACIDIZATION,,ROD PUMP/GAS LIFT,,
ABU GHARADIG,ABU ROASH C,1P ,EGYPT,AFRICA,ABU GHARADIG,29.7422,28.4925,OIL,1998,PRIMARY RECOVERY,MATURE,,20,12,140,1998,3600,10,,,ONSHORE,-312,232,9350,4500,9350,1992,1500,GAS DRIVE,1211:TILTED FAULT-BLOCK,9660,9350,15,,CRETACEOUS,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT,LATERAL SHALE-OUT,240,24,0.1,,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,21,140,,40.5,,13.81,10.13,0,,0,850,,1.5,2500,-0.4,83750,21,166,32,,,,19,,15.06,,,,,,,,,ARTIFICIAL LIFT,,,,ROD PUMP,,
ABU GHARADIG,ABU ROASH E,1P ,EGYPT,AFRICA,ABU GHARADIG,29.7422,28.4925,OIL, ,PRIMARY RECOVERY,MATURE,,20,12,140,1998,1300,10,,,ONSHORE,-312,250,9650,4600,9650,1992,1800,GAS DRIVE,1211:TILTED FAULT-BLOCK,9960,9650,15,,CRETACEOUS,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT,LATERAL SHALE-OUT,500,35,0.07,,SANDSTONE,,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,16,140,,40,,4.74,29.53,0,,0,800,,1.5,2700,32,90000,25,214,30,,,,14,,12.15,,,,,,,,,ARTIFICIAL LIFT,,,,ROD PUMP,,
