1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,35_Well count (total all wells),38_Well count (total producer),46_Well count (current active producer),52_Well spacing (average) (ac),58_Production year (current),62_Production rate (current oil equivalent) (BOEPD),65_Water-cut (current) (%),66_Production year (peak),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),76_Temperature depth (ft TVDSS),77_Pressure (original) (psi),78_Pressure depth (ft TVDSS),80_Pressure year (current),81_Pressure (current) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),173_Net reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),213_Permeability (well test average) (mD),218_API gravity (average) (deg. API),222_Specific gravity (gas average),225_Viscosity (oil average) (cp),230_Mobility index (average) (mD/cp),236_Oil_impurities (average),242_Methane (average) (%),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),266_Pour point temperature (average) (deg. F),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),300_EUR oil equivalent (MMBOE),301_Remaining EUR oil (MMBO),302_Remaining EUR gas (BCFG),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),310_Recovery to date (of in-place oil) (%),311_Recovery to date (of in-place gas) (%),313_Recovery (best-fit ultimate oil) (%),314_Reservoir performance index (decimal fraction),315_EUR oil per production well (MMBO),319_Secondary recovery start date,320_Secondary recovery methods,324_EOR start date,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management)
25 DE MAYO-MEDANITO SE,QUINTUCO,1P ,ARGENTINA,LATIN AMERICA,NEUQUEN,-37.9935,-67.9567,OIL,2012.0,SECONDARY RECOVERY,DECLINE,,,,22.24,,,,,,ONSHORE,-1059.71,147.15166557249228,,1863.3,,,,GAS DRIVE,2111:LATERAL FACIES CHANGE,3487.53,2427.82,1.5,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATE/EVAPORITELATERAL FACIES CHANGE,656.17,,,,CARBONATES,GRAINSTONE/RUDSTONE,OOLITE,,INTERCRYSTALLINE,13.5,,,33.0,,,,3.1399999999999997,,0.0,149.91,,,,48.2,,,,191.21,,,,,,,,,,,1977-01,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT,INFILL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,ESP,,
A.J.BERMUDEZ,UNNAMED,1P ,MEXICO,LATIN AMERICA,CHIAPAS-TABASCO,17.9833,-93.1,OIL,2008.0,SECONDARY RECOVERY,MATURE,432.0,430.00,109.0,333.0,2007.0,128571.0,,1979.0,630952.0,ONSHORE,-62.0,262.0,15223.0,7714.0,15223.0,2007.0,2647.0,AQUIFER DRIVE,112:TRANSPRESSIONAL ANTICLINE,12529.0,12467.0,12.0,3900.0,CRETACEOUS/JURASSIC,14:FORESLOPE-BASIN,LAYER-CAKE,BLOCK-BOUNDING FAULTNONE,,,,,CARBONATES,BRECCIA,BRECCIA,TYPE II,VUGGY,4.0,87.0,,30.0,0.67,10.0,8.7,1.6,,3.5,1370.0,,1.8,4700.0,8.6,270000.0,20.0,11020.0,,1488.0,,,38.0,,24.88,,,,9.8,1977,CONTINUOUS WATER INJECTION/GAS INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/SAND CONTROL,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,GAS LIFT,SLOTTED LINER,
AB TEYMUR,ILAM,1P ,IRAN,MIDDLE EAST,ZAGROS,31.2097,48.4957,OIL,2000.0,DEVELOPING,DEVELOPING,,Area,,0.0,2000.0,,,,,ONSHORE,-40.0,210.0,10298.0,5860.0,10298.0,1997.0,5000.0,GAS DRIVE,1112:FORELAND ANTICLINE,10046.0,10006.0,5.0,1434.0,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATENONE,353.35,229.66,0.65,70.0,CARBONATES,WACKESTONE/PACKSTONE,,TYPE III,MICROPOROSITY,,,,25.0,,2.0,,0.0,,0.0,340.0,,1.25,1670.0,,,19.0,12000.0,1200.0,,,,10.0,,0.75,,,,,,,,,STIMULATION,,ACIDIZATION,,,,
AB TEYMUR,SARVAK 1,1P ,IRAN,MIDDLE EAST,ZAGROS,31.2097,48.4957,OIL,2000.0,DEVELOPING,DEVELOPING,,27.00,,0.0,2000.0,,,,,ONSHORE,-40.0,219.0,12054.0,5660.0,12054.0,1997.0,4800.0,GAS DRIVE,1112:FORELAND ANTICLINE,10703.0,10663.0,8.0,1237.0,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATENONE,853.02,623.36,0.75,190.0,CARBONATES,WACKESTONE/PACKSTONE,,TYPE III,MICROPOROSITY,,,,24.0,,27.0,,3.5,,0.0,330.0,,1.15,1650.0,,,19.0,12100.0,1200.0,,,,10.0,,0.22,,,,,,,,,STIMULATION,,ACIDIZATION,,,,
ABKATUN,BRECCIA,1P ,MEXICO,LATIN AMERICA,CAMPECHE,19.21,-91.9833,OIL, ,SECONDARY RECOVERY,DECLINE,,119.00,19.0,120.0,2005.0,44000.0,55.0,1983.0,511000.0,OFFSHORE,131.23,284.0,11844.0,5598.0,11844.0,2004.0,3058.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9580.05,9711.29,15.0,2789.0,CRETACEOUS,14:FORESLOPE-BASIN,LAYER-CAKE,BLOCK-BOUNDING FAULTNON-FRACTURED ZONE,305.0,,,,CARBONATES,BRECCIA,BRECCIA,TYPE II,VUGGY,9.0,3.1,48.0,28.0,,,,0.0,,0.0,710.0,,1.53,2466.0,,,,5514.0,2454.0,,,,45.0,,39.68,,,,,1991,CONTINUOUS WATER INJECTION,,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,GAS LIFT,,WATER PLUGGING
ABQAIQ,ARAB D,1P ,SAUDI ARABIA,MIDDLE EAST,THE GULF,26.08,49.81,OIL, ,SECONDARY RECOVERY,DECLINE,,259.00,,235.0,2006.0,410000.0,32.0,1973.0,1000000.0,ONSHORE,-500.0,217.0,,3395.0,6500.0,1954.0,2450.0,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,6050.0,5550.0,7.0,1550.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,EVAPORITENONE,220.0,,,56.08,CARBONATES,PACKSTONE/GRAINSTONE,ALGAE/FORAMINIFERA,TYPE IV,INTERPARTICLE,21.0,410.0,,37.0,,0.4,1025.0,1.4,,3.7,850.0,,1.53,2545.0,,,,19000.0,,,,,,,64.21,,,,,1954,CONTINUOUS WATER INJECTION/GAS INJECTION,,,DRILLING/STIMULATION,HORIZONTAL WELL,ACIDIZATION,,,,
ABQAIQ,HANIFA,1P ,SAUDI ARABIA,MIDDLE EAST,THE GULF,26.08,49.81,OIL,2006.0,SECONDARY RECOVERY,DECLINE,,,,235.0,2006.0,,32.0,,,ONSHORE,-500.0,217.0,,3395.0,6500.0,1954.0,2450.0,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,6380.0,5880.0,7.0,950.0,JURASSIC,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATENONE,328.0,,,,CARBONATES,MUDSTONE/WACKESTONE,ALGAE/FORAMINIFERA,TYPE III,MICROPOROSITY,17.0,1.0,17.2,37.0,,0.4,2.5,1.4,,3.7,850.0,,1.53,2545.0,,,,5700.0,,,,,,,,,,,,1994,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT,HORIZONTAL WELL,ACIDIZATION,,ROD PUMP/GAS LIFT,,
AHWAZ,ILAM (SIRRI A),1P ,IRAN,MIDDLE EAST,ZAGROS,31.2095,48.949,OIL,2010.0,SECONDARY RECOVERY,SECONDARY PEAK OR PLATEAU,,450.00,450.0,0.0,2010.0,1000000.0,,1977.0,108200.0,ONSHORE,-80.0,220.0,11200.0,5947.0,10991.0,1996.0,4620.0,GAS DRIVE,1112:FORELAND ANTICLINE,10080.0,10000.0,20.0,1800.0,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATENONE,560.0,358.4,0.64,88.09,CARBONATES,PACKSTONE/GRAINSTONE,PELOID,TYPE III,MICROPOROSITY,14.0,,,29.0,,1.28,,3.67,,0.0,782.0,,1.41,3188.0,,,24.0,11000.0,2000.0,,,,18.0,,,,,,,1993,GAS INJECTION,,,STIMULATION/ARTIFICIAL LIFT,,ACID FRACTURING,,ESP/GAS LIFT,,
AHWAZ,SARVAK,1P ,IRAN,MIDDLE EAST,ZAGROS,31.2095,48.949,OIL,2010.0,SECONDARY RECOVERY,SECONDARY PEAK OR PLATEAU,,450.00,450.0,0.0,2010.0,1000000.0,,1977.0,108200.0,ONSHORE,-80.0,245.0,11200.0,6381.0,12304.0,1996.0,5140.0,GAS DRIVE,1112:FORELAND ANTICLINE,10680.0,10600.0,20.0,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATENONE,2400.0,854.7,0.37,199.65,CARBONATES,PACKSTONE/GRAINSTONE,PELOID,TYPE III,MICROPOROSITY,9.0,,,25.8,,1.3,,7.41,,0.0,438.0,,1.27,1988.0,,,30.0,20000.0,6000.0,,,,30.0,,,,,,,1993,GAS INJECTION,,,STIMULATION/ARTIFICIAL LIFT,,ACID FRACTURING,,ESP/GAS LIFT,,
AIN ZALAH,QAMCHUQA,1P ,IRAQ,MIDDLE EAST,ZAGROS,36.7333,42.4833,OIL,1980.0,SECONDARY RECOVERY,DECLINE,,,,556.0,1980.0,5753.0,,1953.0,,ONSHORE,-1500.0,185.0,5780.0,3180.0,5780.0,1961.0,3152.0,AQUIFER DRIVE,113:INVERSION ANTICLINE,7550.0,6050.0,10.0,525.0,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,TANK LIKE, NONE,540.0,330.0,0.61,100.59,CARBONATES,WACKESTONE/PACKSTONE,,TYPE II,INTERCRYSTALLINE,1.3,1.0,,30.7,0.74,,,2.5,,0.03,250.0,,1.15,1078.0,-25.6,39542.0,20.0,975.0,295.0,100.0,,,30.0,,20.0,,,,10.2,1983,CONTINUOUS WATER INJECTION,,,STIMULATION,,ACIDIZATION,,,,
