blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueEliteMonsters,blueHeralds,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueWins
28,2,1,9,6,0,0,17039,195,36,0
12,1,0,5,5,0,0,16265,174,43,0
15,0,0,7,11,1,0,16221,186,46,0
43,1,0,4,5,1,1,17954,201,55,0
75,4,0,6,6,0,0,18543,210,57,0
18,0,0,5,3,1,0,18161,225,42,1
18,3,1,7,6,1,0,16967,225,53,1
13,1,1,4,5,1,0,16805,220,39,1
20,3,1,4,4,0,0,16611,231,28,0
33,2,1,11,11,1,1,18507,157,40,0
18,1,1,7,1,1,0,19102,238,53,1
15,3,1,4,4,0,0,17896,224,51,1
17,1,0,3,7,0,0,16974,209,53,0
14,1,1,10,2,0,0,20862,263,56,1
21,4,1,5,4,0,0,17378,213,49,1
13,1,0,4,13,0,0,16945,203,43,0
17,2,0,4,6,0,0,17562,238,56,0
78,4,0,4,3,2,1,19219,238,67,0
33,3,0,6,9,0,0,17223,208,45,1
17,1,0,4,8,0,0,16047,204,44,0
18,1,0,8,6,1,0,17854,209,44,1
105,5,1,8,6,1,0,17436,217,53,0
18,5,0,3,8,1,0,17974,233,52,0
22,7,1,9,4,1,0,18076,228,40,1
17,4,1,5,2,2,1,17406,218,51,1
12,3,0,6,4,0,0,16989,203,32,0
15,2,1,5,4,0,0,16355,201,45,0
40,2,0,6,4,0,0,19076,204,56,1
24,3,0,3,4,0,0,17082,235,52,0
12,4,0,2,8,1,0,19276,217,84,0
20,2,1,5,6,1,1,17716,203,48,0
18,2,0,3,6,1,1,16832,213,48,0
28,3,0,4,11,0,0,17362,222,48,0
36,1,0,10,6,0,0,20118,231,44,1
18,3,0,9,6,1,0,17806,204,36,1
12,2,1,5,5,0,0,16493,233,16,1
18,4,1,3,4,1,1,19090,252,60,0
41,0,0,1,10,0,0,15498,187,32,0
14,4,1,11,2,0,0,19703,251,48,1
19,1,1,8,4,1,0,18790,218,54,1
15,2,0,2,3,1,1,16429,180,44,1
16,1,0,5,5,0,0,17366,206,56,0
