@@@ Well-test report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@           Special edition for SPE GeoEnergy Hackathon 2021          @@@
Well name: E02
Perforation interval: 2146 to 2224
Fluid in place: brine
Initial pressure:      207.362
Temperature:      346.643
time(day)	 water_rate(m3/d)	 BHP(bars)
0.000001	     200.001	  207.211395
0.000002	     200.000	  207.211108
0.000004	     200.000	  207.210815
0.000006	     200.000	  207.210438
0.000009	     200.000	  207.209954
0.000013	     200.000	  207.209332
0.000018	     200.000	  207.208538
0.000024	     200.000	  207.207528
0.000032	     200.000	  207.206250
0.000043	     200.000	  207.204644
0.000056	     200.000	  207.202640
0.000074	     200.000	  207.200161
0.000098	     200.000	  207.197127
0.000128	     200.000	  207.193453
0.000167	     200.000	  207.189063
0.000218	     200.000	  207.183897
0.000285	     200.000	  207.177918
0.000372	     200.000	  207.171133
0.000484	     200.000	  207.163593
0.000630	     200.000	  207.155404
0.000820	     200.000	  207.146704
0.001067	     200.000	  207.137667
0.001388	     200.000	  207.128441
0.001806	     200.000	  207.119177
0.002349	     200.000	  207.109977
0.003054	     200.000	  207.100913
0.003972	     200.000	  207.092020
0.005164	     200.000	  207.083304
0.006715	     200.000	  207.074750
0.008730	     200.000	  207.066334
0.011350	     200.000	  207.058026
0.014756	     200.000	  207.049805
0.019184	     200.000	  207.041641
0.024940	     200.000	  207.033533
0.032423	     200.000	  207.025453
0.042151	     200.000	  207.017394
0.054797	     200.000	  207.009344
0.071237	     200.000	  207.001333
0.092609	     200.000	  206.993214
0.120393	     200.000	  206.985121
0.156512	     200.000	  206.976952
0.203466	     200.000	  206.968751
0.264507	     200.000	  206.960559
0.343860	     200.000	  206.952322
0.447019	     200.000	  206.944270
0.581126	     200.000	  206.936221
0.755465	     200.000	  206.928311
0.982106	     200.000	  206.920408
1.276738	     200.000	  206.912486
1.659761	     200.000	  206.904352
2.157690	     200.000	  206.896014
2.804998	     200.000	  206.887333
3.646498	     200.000	  206.878238
4.740449	     200.000	  206.868755
6.162584	     200.000	  206.859019
8.011361	     200.000	  206.849563
10.000000	     200.000	  206.840635
10.000001	       0.000	  207.012494
10.000002	      -0.000	  207.013145
10.000004	      -0.000	  207.013438
10.000006	      -0.000	  207.013815
10.000009	      -0.000	  207.014299
10.000013	      -0.000	  207.014921
10.000018	      -0.000	  207.015715
10.000024	      -0.000	  207.016725
10.000032	      -0.000	  207.018003
10.000043	      -0.000	  207.019609
10.000056	      -0.000	  207.021613
10.000074	      -0.000	  207.024091
10.000098	      -0.000	  207.027126
10.000128	      -0.000	  207.030799
10.000167	      -0.000	  207.035187
10.000218	      -0.000	  207.040353
10.000285	      -0.000	  207.046330
10.000372	      -0.000	  207.053115
10.000484	      -0.000	  207.060655
10.000630	      -0.000	  207.068846
10.000820	      -0.000	  207.077543
10.001067	      -0.000	  207.086581
10.001388	      -0.000	  207.095798
10.001806	      -0.000	  207.105050
10.002349	      -0.000	  207.114231
10.003054	      -0.000	  207.123303
10.003972	      -0.000	  207.132205
10.005164	      -0.000	  207.140934
10.006715	      -0.000	  207.149475
10.008730	      -0.000	  207.157884
10.011350	      -0.000	  207.166188
10.014756	      -0.000	  207.174413
10.019184	      -0.000	  207.182563
10.024940	      -0.000	  207.190660
10.032423	      -0.000	  207.198708
10.042151	      -0.000	  207.206732
10.054797	      -0.000	  207.214732
10.071237	      -0.000	  207.222737
10.092609	      -0.000	  207.230730
10.120393	      -0.000	  207.238786
10.156512	      -0.000	  207.246906
10.203466	      -0.000	  207.255048
10.264507	      -0.000	  207.263141
10.343860	      -0.000	  207.271193
10.447019	      -0.000	  207.279085
10.581126	      -0.000	  207.286852
10.755465	      -0.000	  207.294401
10.982106	      -0.000	  207.301863
11.276738	      -0.000	  207.309288
11.659761	      -0.000	  207.316817
12.157690	      -0.000	  207.324407
12.804998	      -0.000	  207.332372
13.646498	      -0.000	  207.340163
14.740449	      -0.000	  207.348235
16.162584	      -0.000	  207.356383
18.011361	      -0.000	  207.364515
