@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: E03
depth(m)	 transit time (micron/sec)
2027.9900	  234.568691
2028.4132	  232.559050
2028.8364	  222.612878
2029.2596	  236.378002
2029.6828	  229.244282
2030.1060	  228.218678
2030.5292	  227.546658
2030.9524	  227.783643
2031.3757	  231.619795
2031.7989	  227.592447
2032.2221	  234.150790
2032.6453	  229.402808
2033.0685	  233.220418
2033.4917	  231.266446
2033.9149	  243.244916
2034.3381	  247.488997
2034.7613	  252.238026
2035.1845	  236.865871
2035.6077	  243.708893
2036.0309	  238.929449
2036.4541	  234.904242
2036.8773	  244.202956
2037.3005	  239.585884
2037.7237	  244.701842
2038.1470	  242.208869
2038.5702	  239.542694
2038.9934	  246.394816
2039.4166	  246.867446
2039.8398	  237.427661
2040.2630	  240.137561
2040.6862	  242.358835
2041.1094	  240.791397
2041.5326	  245.959178
2041.9558	  245.897618
2042.3790	  245.767556
2042.8022	  238.606301
2043.2254	  237.119033
2043.6486	  244.456709
2044.0718	  237.996673
2044.4951	  234.228183
2044.9183	  255.690499
2045.3415	  244.190680
2045.7647	  238.963446
2046.1879	  239.058712
2046.6111	  241.863832
2047.0343	  244.855145
2047.4575	  241.968030
2047.8807	  254.376989
2048.3039	  252.108119
2048.7271	  246.540791
2049.1503	  249.913123
2049.5735	  251.630100
2049.9967	  241.703737
2050.4199	  248.380878
2050.8431	  248.606417
2051.2664	  248.346784
2051.6896	  249.769139
2052.1128	  244.015232
2052.5360	  250.646261
2052.9592	  242.753032
2053.3824	  245.147566
2053.8056	  243.870871
2054.2288	  242.370893
2054.6520	  249.317221
2055.0752	  246.970346
2055.4984	  254.572706
2055.9216	  244.080742
2056.3448	  242.240558
2056.7680	  243.658548
2057.1912	  241.139715
2057.6144	  239.222277
2058.0377	  243.976847
2058.4609	  243.409540
2058.8841	  240.163907
2059.3073	  243.499386
2059.7305	  249.642690
2060.1537	  240.254397
2060.5769	  243.779493
2061.0001	  250.045009
2061.4233	  241.163580
2061.8465	  241.648467
2062.2697	  243.792709
2062.6929	  251.351406
2063.1161	  245.739908
2063.5393	  247.983188
2063.9625	  241.433479
2064.3858	  246.934589
2064.8090	  248.913002
2065.2322	  245.035528
2065.6554	  241.848912
2066.0786	  253.149951
2066.5018	  243.886977
2066.9250	  257.225776
2067.3482	  252.062588
2067.7714	  245.496587
2068.1946	  250.085332
2068.6178	  253.738785
2069.0410	  249.161362
2069.4642	  245.347374
2069.8874	  247.036220
2070.3106	  248.401147
2070.7338	  246.841462
2071.1571	  250.968458
2071.5803	  244.839765
2072.0035	  251.280424
2072.4267	  258.247587
2072.8499	  255.949975
2073.2731	  255.483005
2073.6963	  252.376036
2074.1195	  259.313313
2074.5427	  245.533398
2074.9659	  245.714078
2075.3891	  254.566869
2075.8123	  253.010908
2076.2355	  252.068102
2076.6587	  249.896042
2077.0819	  245.211171
2077.5052	  256.227055
2077.9284	  246.444806
2078.3516	  216.695581
2078.7748	  210.418852
2079.1980	  220.335253
2079.6212	  217.613095
2080.0444	  213.898165
2080.4676	  211.018161
2080.8908	  212.491421
2081.3140	  215.861931
2081.7372	  211.035956
2082.1604	  214.505739
2082.5836	  215.789736
2083.0068	  209.629670
2083.4300	  212.560283
2083.8532	  208.990638
2084.2765	  218.364179
2084.6997	  216.341760
2085.1229	  211.798569
2085.5461	  207.125148
2085.9693	  206.641915
2086.3925	  209.443839
2086.8157	  209.280771
2087.2389	  213.992965
2087.6621	  205.503390
2088.0853	  216.092174
2088.5085	  210.757356
2088.9317	  216.263127
2089.3549	  255.201533
2089.7781	  254.781268
2090.2013	  253.160019
2090.6245	  250.189122
2091.0478	  253.176450
2091.4710	  249.084370
2091.8942	  247.218707
2092.3174	  246.094745
2092.7406	  253.022752
2093.1638	  251.226860
2093.5870	  253.740268
2094.0102	  252.675550
2094.4334	  260.757126
2094.8566	  252.735522
2095.2798	  253.979775
2095.7030	  252.637268
2096.1262	  247.343440
2096.5494	  259.230964
2096.9726	  252.745321
2097.3959	  250.189783
2097.8191	  248.781118
2098.2423	  259.297573
2098.6655	  254.239191
2099.0887	  252.913679
2099.5119	  252.363484
2099.9351	  249.772164
2100.3583	  238.816535
2100.7815	  224.185574
2101.2047	  238.551052
2101.6279	  233.401227
2102.0511	  235.811835
2102.4743	  234.622715
2102.8975	  232.326125
2103.3207	  237.629677
2103.7439	  230.506365
2104.1672	  234.234984
2104.5904	  239.251830
2105.0136	  238.048843
2105.4368	  239.899131
2105.8600	  235.654738
