5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,LATIN AMERICA,NEUQUEN,32.0,22.24,68000.0,ONSHORE,147.1516656,5000.0,1863.3,GAS DRIVE,2427.82,CRETACEOUS,656.17,0.4,13.5,33.0,2300.0,0.4,149.91,30.0
1P ,LATIN AMERICA,CHIAPAS-TABASCO,430.0,333.0,630952.0,ONSHORE,262.0,15223.0,7714.0,AQUIFER DRIVE,12467.0,CRETACEOUS/JURASSIC,60.0,0.4,4.0,30.0,11020.0,10.0,1370.0,38.0
1P ,MIDDLE EAST,ZAGROS,32.0,0.0,68000.0,ONSHORE,210.0,10298.0,5860.0,GAS DRIVE,10006.0,CRETACEOUS,353.35,0.65,20.0,25.0,12000.0,2.0,340.0,10.0
1P ,MIDDLE EAST,ZAGROS,27.0,0.0,68000.0,ONSHORE,219.0,12054.0,5660.0,GAS DRIVE,10663.0,CRETACEOUS,853.02,0.75,20.0,24.0,12100.0,27.0,330.0,10.0
1P ,LATIN AMERICA,CAMPECHE,119.0,120.0,511000.0,OFFSHORE,284.0,11844.0,5598.0,GAS DRIVE,9711.29,CRETACEOUS,305.0,0.4,9.0,28.0,5514.0,0.4,710.0,45.0
1P ,MIDDLE EAST,THE GULF,259.0,235.0,1000000.0,ONSHORE,217.0,5000.0,3395.0,AQUIFER DRIVE,5550.0,JURASSIC,220.0,0.4,21.0,37.0,19000.0,0.4,850.0,30.0
1P ,MIDDLE EAST,THE GULF,32.0,235.0,68000.0,ONSHORE,217.0,5000.0,3395.0,AQUIFER DRIVE,5880.0,JURASSIC,328.0,0.4,17.0,37.0,5700.0,0.4,850.0,30.0
1P ,MIDDLE EAST,ZAGROS,450.0,0.0,108200.0,ONSHORE,220.0,11095.5,5947.0,GAS DRIVE,10000.0,CRETACEOUS,560.0,0.64,14.0,29.0,11000.0,1.28,782.0,18.0
1P ,MIDDLE EAST,ZAGROS,450.0,0.0,108200.0,ONSHORE,245.0,11752.0,6381.0,GAS DRIVE,10600.0,CRETACEOUS,2400.0,0.37,9.0,25.8,20000.0,1.3,438.0,30.0
1P ,MIDDLE EAST,ZAGROS,32.0,556.0,68000.0,ONSHORE,185.0,5780.0,3180.0,AQUIFER DRIVE,6050.0,CRETACEOUS,540.0,0.61,1.3,30.7,975.0,0.4,250.0,30.0
