5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),255_Condensate yield (initial average) (BC/MMCFG),308_Recovery factor (ultimate gas) (%)
1P ,EUROPE,NORTH SEA CENTRAL,24.0,200.0,68910.0,OFFSHORE,280.0,10500.0,7252.0,GAS DRIVE,10072.0,PALEOGENE/CRETACEOUS,984.0,0.9,21.0,48.0,223.0,160.0,45.0
1P ,ASIA-PACIFIC,SUMATRA NORTH,102.0,30.0,519221.0,ONSHORE,351.0,10050.0,7115.0,GAS DRIVE,9461.0,NEOGENE,770.0,0.7,16.0,56.0,2640.0,50.4,94.0
1P ,FORMER SOVIET UNION,CASPIAN NORTH,164.0,0.0,331340.0,ONSHORE,218.0,12631.0,9079.0,AQUIFER DRIVE,12434.0,CARBONIFEROUS,500.0,0.23,9.0,43.0,243.0,71.0,40.0
1P ,MIDDLE EAST,THE GULF,20.0,0.0,3534.0,ONSHORE,261.0,10000.0,6367.0,GAS DRIVE,8500.0,PERMIAN,2100.0,0.42,11.0,0.0,3333.0,6.0,72.0
1P ,NORTH AMERICA,WESTERN CANADA,9.0,0.0,30840.0,ONSHORE,342.0,10230.0,5857.0,AQUIFER DRIVE,8775.0,DEVONIAN,250.0,0.3,2.7,0.0,243.0,0.2,17.0
1P ,NORTH AMERICA,DENVER,9.0,40.0,3534.0,ONSHORE,82.0,-2150.0,345.0,GAS DRIVE,-2142.0,CRETACEOUS,250.0,0.3,40.0,0.0,243.0,0.2,40.0
1P ,NORTH AMERICA,ANADARKO,49.0,320.0,8835.0,ONSHORE,253.0,12900.0,11200.0,GAS DRIVE,13300.0,CARBONIFEROUS,160.0,0.3,8.1,0.0,75.0,2.4,80.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,81.0,640.0,40810.0,ONSHORE,243.0,7835.0,4020.0,GAS DRIVE,7570.0,CRETACEOUS,250.0,0.54,16.3,60.0,280.8,66.37,75.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,5.0,60.0,4417.0,ONSHORE,325.0,14550.0,13109.0,GAS DRIVE,14210.0,JURASSIC,375.0,0.9,25.0,0.0,243.0,0.2,40.0
1P ,LATIN AMERICA,SABINAS,26.0,0.0,20840.0,ONSHORE,180.45896219779303,10007.0,4267.0,GAS DRIVE,4488.0,CRETACEOUS,1200.0,0.3,7.0,0.0,82.2,0.2,53.0
1P ,MIDDLE EAST,RUB AL KHALI,8.0,0.0,3534.0,OFFSHORE,227.0,8850.0,4375.0,GAS DRIVE,8550.0,JURASSIC,180.0,0.3,14.0,37.0,410.0,100.0,40.0
1P ,NORTH AMERICA,WESTERN CANADA,16.0,2200.0,65850.0,ONSHORE,216.0,8872.0,5319.0,GAS DRIVE,7874.0,DEVONIAN,300.0,0.43,10.0,0.0,367.0,154.0,84.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,470.0,640.0,93023.0,ONSHORE,209.0,6090.5,3265.0,GAS DRIVE,5900.0,CRETACEOUS,250.0,0.07,18.0,94.0,243.0,10.0,40.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,231.0,640.0,66997.0,ONSHORE,202.0,5814.0,3085.0,GAS DRIVE,5402.0,CRETACEOUS,140.0,0.12,17.0,42.0,243.0,0.2,40.0
1P ,LATIN AMERICA,CHIAPAS-TABASCO,25.0,247.0,31070.0,ONSHORE,214.0,6890.0,4239.0,AQUIFER DRIVE,6600.0,CRETACEOUS,760.0,0.3,6.0,57.0,299.5,41.0,78.8
2P ,NORTH AMERICA,SCOTIAN,4.0,0.0,3534.0,OFFSHORE,233.6770190421519,10007.0,5258.0,GAS DRIVE,10662.73,JURASSIC,393.7,0.41,13.0,0.0,166.7,3.28,69.0
1P ,NORTH AMERICA,WESTERN CANADA,9.0,1620.0,20266.7,ONSHORE,178.0,5410.0,3620.0,GAS DRIVE,4030.0,DEVONIAN,100.0,0.7,6.1,0.0,243.0,4.0,85.0
1P ,EUROPE,NORTH SEA CENTRAL,21.0,33.0,142172.0,OFFSHORE,266.0,10400.0,7200.0,GAS DRIVE,10100.0,PALEOGENE/CRETACEOUS,650.0,0.55,30.0,44.0,594.0,244.0,76.0
1P ,MIDDLE EAST,THE GULF,9.0,980.0,3534.0,ONSHORE,275.0,11000.0,7500.0,GAS DRIVE,10200.0,PERMIAN,250.0,0.3,17.0,47.5,243.0,0.2,40.0
