1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),236_Oil_impurities (average),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),320_Secondary recovery methods,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management),76_Pressure_Temp_depth (ft TVDSS)
25 DE MAYO-MEDANITO SE,QUINTUCO,1P ,ARGENTINA,LATIN AMERICA,NEUQUEN,-37.9935,-67.9567,OIL,2012.0,SECONDARY RECOVERY,DECLINE,,22.24,,ONSHORE,-1059.71,147.15166557249228,1863.3,GAS DRIVE,2111:LATERAL FACIES CHANGE,3487.53,2427.82,1.5,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATE/EVAPORITELATERAL FACIES CHANGE,656.17,,,CARBONATES,GRAINSTONE/RUDSTONE,OOLITE,,INTERCRYSTALLINE,13.5,,33.0,,2.67,0.0,149.91,,,,,,,,,,CONTINUOUS WATER INJECTION,,DRILLING/STIMULATION/ARTIFICIAL LIFT,INFILL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,ESP,,,
A.J.BERMUDEZ,UNNAMED,1P ,MEXICO,LATIN AMERICA,CHIAPAS-TABASCO,17.9833,-93.1,OIL,2008.0,SECONDARY RECOVERY,MATURE,430.00,333.0,630952.0,ONSHORE,-62.0,262.0,7714.0,AQUIFER DRIVE,112:TRANSPRESSIONAL ANTICLINE,12529.0,12467.0,12.0,3900.0,CRETACEOUS/JURASSIC,14:FORESLOPE-BASIN,LAYER-CAKE,BLOCK-BOUNDING FAULTNONE,,,,CARBONATES,BRECCIA,BRECCIA,TYPE II,VUGGY,4.0,87.0,30.0,10.0,0.0,3.5,1370.0,,1.8,4700.0,270000.0,20.0,11020.0,,38.0,,CONTINUOUS WATER INJECTION/GAS INJECTION,,DRILLING/STIMULATION/ARTIFICIAL LIFT/SAND CONTROL,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,GAS LIFT,SLOTTED LINER,,15223.0
AB TEYMUR,ILAM,1P ,IRAN,MIDDLE EAST,ZAGROS,31.2097,48.4957,OIL,2000.0,DEVELOPING,DEVELOPING,Area,0.0,,ONSHORE,-40.0,210.0,5860.0,GAS DRIVE,1112:FORELAND ANTICLINE,10046.0,10006.0,5.0,1434.0,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATENONE,353.35,0.65,70.0,CARBONATES,WACKESTONE/PACKSTONE,,TYPE III,MICROPOROSITY,,,25.0,2.0,0.0,0.0,340.0,,1.25,1670.0,,19.0,12000.0,,10.0,,,,STIMULATION,,ACIDIZATION,,,,,10298.0
AB TEYMUR,SARVAK 1,1P ,IRAN,MIDDLE EAST,ZAGROS,31.2097,48.4957,OIL,2000.0,DEVELOPING,DEVELOPING,27.00,0.0,,ONSHORE,-40.0,219.0,5660.0,GAS DRIVE,1112:FORELAND ANTICLINE,10703.0,10663.0,8.0,1237.0,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATENONE,853.02,0.75,190.0,CARBONATES,WACKESTONE/PACKSTONE,,TYPE III,MICROPOROSITY,,,24.0,27.0,0.0,0.0,330.0,,1.15,1650.0,,19.0,12100.0,,10.0,,,,STIMULATION,,ACIDIZATION,,,,,12054.0
ABADI,UPPER PLOVER,3P ,INDONESIA,ASIA-PACIFIC,BONAPARTE,-9.1238,130.5,GAS-CONDENSATE, ,DEVELOPING,,,0.0,,OFFSHORE,1968.5,229.3971716588885,5536.09,GAS DRIVE,1211:TILTED FAULT-BLOCK,10170.6,12139.11,2.0,,JURASSIC,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULTRESERVOIR BODY BOUNDARY,410.1,,,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,10.0,303.97,51.0,,0.0,0.0,,14.25,,,,,,,,,,,OTHER RESERVOIR MANAGEMENT,,,,,,SIDETRACKING,
ABKATUN,BRECCIA,1P ,MEXICO,LATIN AMERICA,CAMPECHE,19.21,-91.9833,OIL, ,SECONDARY RECOVERY,DECLINE,119.00,120.0,511000.0,OFFSHORE,131.23,284.0,5598.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9580.05,9711.29,15.0,2789.0,CRETACEOUS,14:FORESLOPE-BASIN,LAYER-CAKE,BLOCK-BOUNDING FAULTNON-FRACTURED ZONE,305.0,,,CARBONATES,BRECCIA,BRECCIA,TYPE II,VUGGY,9.0,3.1,28.0,,0.0,0.0,710.0,,1.53,2466.0,,,5514.0,,45.0,,CONTINUOUS WATER INJECTION,,DRILLING/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,GAS LIFT,,WATER PLUGGING,11844.0
ABQAIQ,ARAB D,1P ,SAUDI ARABIA,MIDDLE EAST,THE GULF,26.08,49.81,OIL, ,SECONDARY RECOVERY,DECLINE,259.00,235.0,1000000.0,ONSHORE,-500.0,217.0,3395.0,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,6050.0,5550.0,7.0,1550.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,EVAPORITENONE,220.0,,56.08,CARBONATES,PACKSTONE/GRAINSTONE,ALGAE/FORAMINIFERA,TYPE IV,INTERPARTICLE,21.0,410.0,37.0,0.4,0.0,3.7,850.0,,1.53,2545.0,,,19000.0,,,,CONTINUOUS WATER INJECTION/GAS INJECTION,,DRILLING/STIMULATION,HORIZONTAL WELL,ACIDIZATION,,,,,
ABQAIQ,HANIFA,1P ,SAUDI ARABIA,MIDDLE EAST,THE GULF,26.08,49.81,OIL,2006.0,SECONDARY RECOVERY,DECLINE,,235.0,,ONSHORE,-500.0,217.0,3395.0,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,6380.0,5880.0,7.0,950.0,JURASSIC,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATENONE,328.0,,,CARBONATES,MUDSTONE/WACKESTONE,ALGAE/FORAMINIFERA,TYPE III,MICROPOROSITY,17.0,1.0,37.0,0.4,0.0,3.7,850.0,,1.53,2545.0,,,5700.0,,,,CONTINUOUS WATER INJECTION,,DRILLING/STIMULATION/ARTIFICIAL LIFT,HORIZONTAL WELL,ACIDIZATION,,ROD PUMP/GAS LIFT,,,
ABU GHARADIG,ABU ROASH C,1P ,EGYPT,AFRICA,ABU GHARADIG,29.7422,28.4925,OIL,1998.0,PRIMARY RECOVERY,MATURE,20.00,140.0,,ONSHORE,-312.0,232.0,4500.0,GAS DRIVE,1211:TILTED FAULT-BLOCK,9660.0,9350.0,15.0,,CRETACEOUS,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULTLATERAL SHALE-OUT,240.0,0.1,,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,21.0,140.0,40.5,13.81,0.0,0.0,850.0,,1.5,2500.0,83750.0,21.0,166.0,,19.0,,,,ARTIFICIAL LIFT,,,,ROD PUMP,,,9350.0
ABU GHARADIG,ABU ROASH E,1P ,EGYPT,AFRICA,ABU GHARADIG,29.7422,28.4925,OIL, ,PRIMARY RECOVERY,MATURE,20.00,140.0,,ONSHORE,-312.0,250.0,4600.0,GAS DRIVE,1211:TILTED FAULT-BLOCK,9960.0,9650.0,15.0,,CRETACEOUS,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULTLATERAL SHALE-OUT,500.0,0.07,,SANDSTONE,,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,16.0,140.0,40.0,4.74,0.0,0.0,800.0,,1.5,2700.0,90000.0,25.0,214.0,,14.0,,,,ARTIFICIAL LIFT,,,,ROD PUMP,,,9650.0
