1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),236_Oil_impurities (average),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),320_Secondary recovery methods,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management),76_Pressure_Temp_depth (ft TVDSS)
ALBUSKJELL,TOR-EKOFISK,1P ,NORWAY,EUROPE,NORTH SEA CENTRAL,56.634,2.9973,GAS-CONDENSATE,1998.0,ABANDONED,,24.00,200.0,68910.0,OFFSHORE,230.0,280.0,7252.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9842.0,10072.0,8.0,1080.0,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,LABYRINTH,TIGHT CARBONATENON-FRACTURED ZONE,984.0,0.9,,CARBONATES,,COCCOLITH,TYPE III,MICROPOROSITY,21.0,1.0,48.0,,0.0,0.0,,160.0,,,,35.0,223.0,,,45.0,,,STIMULATION,,ACIDIZATION,,,,,10500.0
ARUN,PEUTU (ARUN LIMESTONE),1P ,INDONESIA,ASIA-PACIFIC,SUMATRA NORTH,5.0542,97.2583,GAS-CONDENSATE,2012.0,SECONDARY RECOVERY,DECLINE,102.00,30.0,519221.0,ONSHORE,-39.0,351.0,7115.0,GAS DRIVE,2121:ORGANIC BUILDUP,9500.0,9461.0,0.0,1050.0,NEOGENE,13:ORGANIC BUILDUP,LAYER-CAKE,TIGHT CARBONATELATERAL FACIES CHANGE,770.0,0.7,152.4,CARBONATES,BOUNDSTONE,ALGAE/CORAL,,MICROPOROSITY,16.0,13.5,56.0,,0.0,4.5200000000000005,,50.4,,,14000.0,10.7,2640.0,,,94.0,GAS RECYCLING,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION/ACID FRACTURING,,,,ACID WASH/COILED TUBING TREATMENT/SIDETRACKING,10050.0
ASTRAKHAN,PRIKAMA-SEVEROKEL TMA-KRASNAYA POLYANA,1P ,KAZAKHSTAN-RUSSIAN FEDERATION,FORMER SOVIET UNION,CASPIAN NORTH,46.7883,48.0831,GAS-CONDENSATE,2000.0,PRIMARY RECOVERY,SECONDARY PEAK OR PLATEAU,164.00,0.0,331340.0,ONSHORE,-300.0,218.0,9079.0,AQUIFER DRIVE,1161:FAULT-BLOCK COMPACTION ANTICLINE,12734.0,12434.0,0.2,928.0,CARBONIFEROUS,13:ORGANIC BUILDUP,JIGSAW-PUZZLE, LATERAL FACIES CHANGE,500.0,0.23,36.0,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE,TYPE II,INTERPARTICLE,9.0,2.0,43.0,,0.0,25.3,,71.0,,,93500.0,15.5,,,,,,,,,,,,,,12631.0
AWALI,KHUFF,1P ,BAHRAIN,MIDDLE EAST,THE GULF,26.0333,50.5333,GAS,1994.0,PRIMARY RECOVERY,MATURE,20.00,0.0,,ONSHORE,-443.0,261.0,6367.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,8943.0,8500.0,,2500.0,PERMIAN,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATE/EVAPORITELATERAL FACIES CHANGE,2100.0,0.42,135.64,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,11.0,25.0,0.0,,0.0,11.06,,6.0,,,,,3333.0,,,72.0,,,STIMULATION,,ACIDIZATION,,,,,10000.0
BEAVER RIVER,NAHANNI (MANETOE),1P ,CANADA,NORTH AMERICA,WESTERN CANADA,59.973,-124.2914,GAS,2012.0,TEMPORARILY SHUT-IN,PRIMARY REJUVENATING,9.00,0.0,30840.0,ONSHORE,-2600.0,342.0,5857.0,AQUIFER DRIVE,1112:FORELAND ANTICLINE,10375.0,8775.0,30.0,2950.0,DEVONIAN,11:LOW-ENERGY CARBONATE MUD,TANK LIKE,BLOCK-BOUNDING FAULTNONE,,,,CARBONATES,MUDSTONE/WACKESTONE,BRACHIOPOD/FORAMINIFERA,TYPE II,VUGGY,2.7,20.0,0.0,,0.0,0.5,,,,,30000.0,20.0,243.0,,,17.0,,,DRILLING/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,,,,,RE-COMPLETION,10230.0
BEECHER ISLAND,NIOBRARA,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,DENVER,39.8847,-102.1621,GAS,2012.0,PRIMARY RECOVERY,DECLINE,,40.0,,ONSHORE,-3550.0,82.0,345.0,GAS DRIVE,1173:SALT DISSOLUTION ANTICLINE,1408.0,-2142.0,1.8,200.0,CRETACEOUS,14:FORESLOPE-BASIN,LAYER-CAKE,BLOCK-BOUNDING FAULT,,,,CARBONATES,MUDSTONE,COCCOLITH/FORAMINIFERA/PELOID,TYPE III,MICROPOROSITY,40.0,5.0,0.0,,0.0,3.0,,,,,,50.0,,,,,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL,HYDRAULIC FRACTURING (SINGLE STAGE),,,,RE-COMPLETION,-2150.0
BERLIN,ATOKA DOLOMITE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,ANADARKO,35.4893,-99.4984,GAS,1988.0,PRIMARY RECOVERY,PRIMARY REJUVENATING,49.00,320.0,8835.0,ONSHORE,-2080.0,253.0,11200.0,GAS DRIVE,2112:LATERAL DEPOSITIONAL PINCH-OUT,15380.0,13300.0,2.0,1250.0,CARBONIFEROUS,14:FORESLOPE-BASIN,LAYER-CAKE,SHALELATERAL FACIES CHANGE,160.0,,7.62,CARBONATES,,,,INTERCRYSTALLINE,8.1,0.1,0.0,,0.0,0.5,,2.4,,,,45.0,75.0,,,80.0,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,,,SIDETRACKING,12900.0
BLACK LAKE,SLIGO (GAS CAP),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,31.9486,-92.932,GAS-CONDENSATE,2010.0,SECONDARY RECOVERY,MATURE,81.00,640.0,40810.0,ONSHORE,-220.0,243.0,4020.0,GAS DRIVE,2111:LATERAL FACIES CHANGE,7790.0,7570.0,1.5,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,TANK LIKE, LATERAL FACIES CHANGE,,0.54,15.48,CARBONATES,PACKSTONE/GRAINSTONE,ONCOLITE/OOLITE,,INTERPARTICLE,16.3,133.0,60.0,,0.0,2.0,,66.37,,,150000.0,30.1,280.8,,,75.0,GAS INJECTION/GAS RECYCLING,,STIMULATION,,ACIDIZATION,,,,,7835.0
BRANTON,COTTON VALLEY LIME,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,31.3593,-96.2189,GAS,2011.0,PRIMARY RECOVERY,MATURE,5.00,60.0,4417.0,ONSHORE,-300.0,325.0,13109.0,GAS DRIVE,2121:ORGANIC BUILDUP,14510.0,14210.0,25.0,350.0,JURASSIC,13:ORGANIC BUILDUP,LAYER-CAKE, LATERAL FACIES CHANGE,375.0,0.9,106.68,CARBONATES,BAFFLESTONE/BOUNDSTONE/FRAMESTONE,CORAL/SPONGE,TYPE III,MICROPOROSITY,25.0,5.0,0.0,,0.0,0.0,,0.2,,,,,,,,,,,STIMULATION/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,,,FLOWING RATE CONTROL/SIDETRACKING,14550.0
BUENA SUERTE-MONCLOVA,LA VIRGEN-PADILLA,1P ,MEXICO,LATIN AMERICA,SABINAS,27.0,-101.0,GAS,2003.0,PRIMARY RECOVERY,SECONDARY MATURE,26.00,0.0,20840.0,ONSHORE,-1706.0,180.45896219779303,4267.0,GAS DRIVE,1111:THRUST ANTICLINE,6194.0,4488.0,30.0,,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,BLOCK-BOUNDING FAULTNON-FRACTURED ZONE,1200.0,,,CARBONATES,MUDSTONE,,TYPE I,FRACTURE,7.0,,0.0,,0.0,2.0,,,,,,,82.2,,,53.0,,,,,,,,,,
