1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),236_Oil_impurities (average),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),320_Secondary recovery methods,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management),76_Pressure_Temp_depth (ft TVDSS)
ABU GHARADIG,ABU ROASH C,1P ,EGYPT,AFRICA,ABU GHARADIG,29.7422,28.4925,OIL,1998.0,PRIMARY RECOVERY,MATURE,20.00,140.0,,ONSHORE,-312.0,232.0,4500.0,GAS DRIVE,1211:TILTED FAULT-BLOCK,9660.0,9350.0,15.0,,CRETACEOUS,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULTLATERAL SHALE-OUT,240.0,0.1,,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,21.0,140.0,40.5,13.81,0.0,0.0,850.0,,1.5,2500.0,83750.0,21.0,166.0,,19.0,,,,ARTIFICIAL LIFT,,,,ROD PUMP,,,9350.0
ABU GHARADIG,ABU ROASH E,1P ,EGYPT,AFRICA,ABU GHARADIG,29.7422,28.4925,OIL, ,PRIMARY RECOVERY,MATURE,20.00,140.0,,ONSHORE,-312.0,250.0,4600.0,GAS DRIVE,1211:TILTED FAULT-BLOCK,9960.0,9650.0,15.0,,CRETACEOUS,24:COASTAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULTLATERAL SHALE-OUT,500.0,0.07,,SANDSTONE,,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,16.0,140.0,40.0,4.74,0.0,0.0,800.0,,1.5,2700.0,90000.0,25.0,214.0,,14.0,,,,ARTIFICIAL LIFT,,,,ROD PUMP,,,9650.0
AGBADA,D5.20X SAND,1P ,NIGERIA,AFRICA,NIGER DELTA,4.9326,6.9791,OIL, ,PRIMARY RECOVERY,DECLINE,17.00,89.0,4201.0,ONSHORE,-98.0,191.6086925633698,3122.0,AQUIFER DRIVE,1181:ROLLOVER ANTICLINE,7100.0,,,,NEOGENE,24:COASTAL,JIGSAW-PUZZLE/LAYER-CAKE,SHALENONE,110.0,,,SANDSTONE,,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,,,19.0,,0.0,0.0,1000.0,,,,,,160.0,55.0,55.0,,,,DRILLING/OTHER RESERVOIR MANAGEMENT,INFILL WELL,,,,,HIGH WATER-CUT WELL SHUT-IN,
AGBAMI,AKATA (13MY-18MY),1P ,NIGERIA,AFRICA,NIGER DELTA,3.4,6.5833,OIL, ,ENHANCED OIL RECOVERY,PEAK OR PLATEAU,,0.0,241930.0,OFFSHORE,4760.0,141.29953391604337,6600.0,AQUIFER DRIVE,1113:DELTA-TOE ANTICLINE,3012.0,7772.0,15.0,,NEOGENE,25:DEEP MARINE,LABYRINTH/LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALELATERAL SHALE-OUT/SEALING FAULT,,,,SANDSTONE,,,,PRIMARY INTERGRANULAR,18.0,270.0,46.0,0.26,0.0,0.0,1230.0,,,3500.0,,,2100.0,,47.62,,CONTINUOUS WATER INJECTION/GAS INJECTION/GAS RECYCLING,MISCIBLE,STIMULATION/WATER INJECTION OPTIMIZATION/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,,HYDRAULIC FRACTURING (SINGLE STAGE),WATER INJECTION ON A ZONAL BASIS,,GRAVEL PACK/SAND SCREEN/FRAC PACK,GAS INJECTION OPTIMIZATION/SAND CLEANING/SIDETRACKING/STEP-OUT DEVELOPMENT DRILLING,
AHWAZ,ASMARI,1P ,IRAN,MIDDLE EAST,ZAGROS,31.2095,48.949,OIL,2010.0,SECONDARY RECOVERY,SECONDARY PEAK OR PLATEAU,450.00,0.0,108200.0,ONSHORE,-80.0,190.0,4452.278384742951,AQUIFER DRIVE,1112:FORELAND ANTICLINE,7580.0,7500.0,20.0,1770.0,NEOGENE/PALEOGENE,24:COASTAL,LAYER-CAKE,SHALE/TIGHT CARBONATENONE,1200.0,0.36,131.07,SANDSTONE,MEDIUM-GRAINED SAND/COARSE-GRAINED SANDWACKESTONE/PACKSTONE,ALGAE/FORAMINIFERA,TYPE IV,VUGGY/PRIMARY INTERGRANULAR,19.0,385.0,32.6,0.58,5.0,0.0,950.0,,1.47,4226.0,,21.0,57300.0,,44.3,,GAS INJECTION,,ARTIFICIAL LIFT,,,,ESP/GAS LIFT,,,
AL NOOR,AL SHOMOU SILICILYTE (ARA),1P ,OMAN,MIDDLE EAST,SOUTH OMAN SALT,18.633,55.5,OIL,2009.0,ENHANCED OIL RECOVERY,DECLINE,24.00,62.0,,ONSHORE,-755.0,212.0,11600.0,GAS DRIVE,1172:SALT WITHDRAWAL ANTICLINE,12895.0,12140.0,10.0,1968.0,CAMBRIAN/PROTEROZOIC,25:DEEP MARINE,LAYER-CAKE,STRATIFICATIONLATERAL DIAGENETIC CHANGE,1230.0,0.68,,SANDSTONE,,,TYPE III,INTERCRYSTALLINE,17.0,0.01,48.0,,0.0,1.5,410.0,,2.0,4351.0,,,1321.0,,7.0,,CONTINUOUS WATER INJECTION,,DRILLING/STIMULATION,MULTI-LATERAL WELL,HYDRAULIC FRACTURING (SINGLE STAGE),,,,,
AL SHAHEEN,NAHR UMR,1P ,QATAR,MIDDLE EAST,THE GULF,26.5833,51.9167,OIL,2011.0,DEVELOPING,DEVELOPING,,0.0,300000.0,OFFSHORE,200.0,137.4598916709441,1637.277450504429,GAS DRIVE,2111:LATERAL FACIES CHANGE,2700.0,2900.0,0.1,200.0,CRETACEOUS,24:COASTAL,LAYER-CAKE,SHALENONE,20.0,,,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,30.0,1500.0,27.0,,0.0,0.0,300.0,,,,,,17000.0,,25.0,,CONTINUOUS WATER INJECTION,,DRILLING,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,,,,,,
ALBA,ALBA (NAUCHLAN),1P ,UNITED KINGDOM,EUROPE,NORTH SEA CENTRAL,58.0692,1.0784,OIL,2012.0,SECONDARY RECOVERY,DECLINE,,0.0,90886.0,OFFSHORE,460.0,172.0,2850.0,GAS DRIVE,2241:CHANNEL-FILL,5642.0,6102.0,1.5,361.0,PALEOGENE,25:DEEP MARINE,TANK LIKE, LATERAL FACIES CHANGE,328.0,0.8,,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,35.0,3000.0,19.5,7.0,1.6,0.0,246.0,,1.14,2330.0,35156.0,12.0,1000.0,,44.0,,CONTINUOUS WATER INJECTION,,DRILLING/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/MULTI-LATERAL WELL/EXTENDED REACH WELL,SCALE INHIBITOR TREATMENT,,ESP,GRAVEL PACK/EXPANDABLE SAND SCREEN,SAND CLEANING/WATER CONING CONTROL,6300.0
ALBACORA,CARAPEBUS,1P ,BRAZIL,LATIN AMERICA,CAMPOS,-22.137,-39.9899,OIL,2009.0,SECONDARY RECOVERY,DECLINE,66.00,0.0,158957.0,OFFSHORE,1150.0,191.01797837181604,4147.704513169603,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,7052.0,8202.0,1.0,476.0,PALEOGENE,25:DEEP MARINE,LAYER-CAKE,SHALELATERAL SHALE-OUT/SEALING FAULT,,,,SANDSTONE,MEDIUM-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,26.0,1000.0,27.0,26.5,0.2,0.6,600.0,,,,,20.0,1930.0,,35.0,,CONTINUOUS WATER INJECTION,,,,,,ESP/GAS LIFT,GRAVEL PACK,COILED TUBING TREATMENT/WAX REMOVAL,
ALBACORA,NAMORADO,1P ,BRAZIL,LATIN AMERICA,CAMPOS,-22.137,-39.9899,OIL,1997.0,SECONDARY RECOVERY,DECLINE,,0.0,9911.0,OFFSHORE,1150.0,218.47388173340732,4863.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9283.0,10433.0,3.0,262.0,CRETACEOUS,25:DEEP MARINE,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALELATERAL SHALE-OUT/SEALING FAULT,390.0,0.25,29.87,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,17.0,40.0,28.0,26.4,0.7,1.0,365.0,,,2403.0,,31.0,497.0,,21.0,,CONTINUOUS WATER INJECTION,,DRILLING/ARTIFICIAL LIFT/SAND CONTROL/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,,,ESP/GAS LIFT,GRAVEL PACK,COILED TUBING TREATMENT/WAX REMOVAL,
