1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),236_Oil_impurities (average),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),320_Secondary recovery methods,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management),76_Pressure_Temp_depth (ft TVDSS)
ABADI,UPPER PLOVER,3P ,INDONESIA,ASIA-PACIFIC,BONAPARTE,-9.1238,130.5,GAS-CONDENSATE, ,DEVELOPING,,,0.0,,OFFSHORE,1968.5,229.3971716588885,5536.09,GAS DRIVE,1211:TILTED FAULT-BLOCK,10170.6,12139.11,2.0,,JURASSIC,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULTRESERVOIR BODY BOUNDARY,410.1,,,SANDSTONE,FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,10.0,303.97,51.0,,0.0,0.0,,14.25,,,,,,,,,,,OTHER RESERVOIR MANAGEMENT,,,,,,SIDETRACKING,
ABU GHARADIG,BAHARIYA,1P ,EGYPT,AFRICA,ABU GHARADIG,29.7422,28.4925,GAS-CONDENSATE, ,PRIMARY RECOVERY,MATURE,9.00,55.0,16667.0,ONSHORE,-312.0,260.0,5000.0,GAS DRIVE,1211:TILTED FAULT-BLOCK,10280.0,9971.0,10.0,1630.0,CRETACEOUS,21:FLUVIAL,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULTLATERAL SHALE-OUT,745.0,0.23,43.89,SANDSTONE,VERY FINE-GRAINED SAND/FINE-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,10.5,8.0,0.0,,0.0,0.0,,50.0,,,,29.0,256.0,,,84.0,,,,,,,,,,10700.0
ABU MADI-EL QARA,ABU MADI (LEVEL II),1P ,EGYPT,AFRICA,NILE DELTA,31.4382,31.3616,GAS,2000.0,PRIMARY RECOVERY,DECLINE,,600.0,,ONSHORE,0.0,225.0,4873.0,GAS DRIVE,1161:FAULT-BLOCK COMPACTION ANTICLINE,9840.0,9840.0,2.5,472.0,NEOGENE,24:COASTAL,JIGSAW-PUZZLE,PALEO-HIGH OR INTRUSIVE MASSLATERAL SHALE-OUT,115.0,0.6,20.12,SANDSTONE,MEDIUM-GRAINED SAND,QUARTZ ARENITE,,PRIMARY INTERGRANULAR,22.0,200.0,0.0,,0.0,0.2,,7.0,,,15015.0,40.0,70.0,,,75.0,,,DRILLING/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,,,,,HIGH WATER-CUT WELL SHUT-IN/WATER PLUGGING,10300.0
ABU MADI-EL QARA,ABU MADI (LEVEL III),1P ,EGYPT,AFRICA,NILE DELTA,31.4382,31.3616,GAS, ,PRIMARY RECOVERY,DECLINE,,600.0,84200.0,ONSHORE,0.0,239.0,5134.0,GAS DRIVE,1161:FAULT-BLOCK COMPACTION ANTICLINE,10500.0,10500.0,2.5,538.0,NEOGENE,21:FLUVIAL,JIGSAW-PUZZLE,PALEO-HIGH OR INTRUSIVE MASSLATERAL SHALE-OUT,511.81,0.8,125.0,SANDSTONE,MEDIUM-GRAINED SAND,SUBLITHARENITE,,PRIMARY INTERGRANULAR,20.0,300.0,0.0,,0.0,0.2,,4.0,,,15015.0,40.0,700.0,,,78.0,,,DRILLING/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,,,,,HIGH WATER-CUT WELL SHUT-IN/WATER PLUGGING,11000.0
AGUARAGUE,HUAMAMPAMPA,1P ,ARGENTINA,LATIN AMERICA,TARIJA,-22.6272,-63.8762,GAS-CONDENSATE,2000.0,ENHANCED OIL RECOVERY,SECONDARY DECLINE,13.00,1364.02,23489.0,ONSHORE,-2198.16,289.0,6890.0,GAS DRIVE,1111:THRUST ANTICLINE,12368.77,10170.6,,2296.59,DEVONIAN,24:COASTAL,LAYER-CAKE,SHALENONE,1312.34,0.7,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,QUARTZ ARENITE,TYPE II/TYPE III,,5.22,4.1,50.0,1.81,0.0,0.0,,30.0,,,39000.0,30.0,328.73,,,39.3,,,ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,,,GAS LIFT,,SIDETRACKING/STEP-OUT DEVELOPMENT DRILLING/WATER DRAINAGE ASSISTED GAS PRODUCTION,12470.0
AGUAYTIA,CUSHABATAY,1P ,PERU,LATIN AMERICA,UCAYALI,-8.4286,-75.2732,GAS-CONDENSATE,2006.0,SECONDARY RECOVERY,PEAK OR PLATEAU,9.00,420.0,16136.0,ONSHORE,-980.0,204.53056550360773,3730.0,AQUIFER DRIVE,1111:THRUST ANTICLINE,8150.0,7170.0,8.0,468.0,CRETACEOUS,21:FLUVIAL,LAYER-CAKE, LATERAL SHALE-OUT,699.0,0.75,,SANDSTONE,MEDIUM-GRAINED SAND,QUARTZ ARENITE,,,17.0,500.0,0.0,,0.0,5.11,,65.0,,,,35.0,105.0,,,70.0,GAS RECYCLING,,,,,,,,,
ALRAR,F3,1P ,ALGERIA,AFRICA,ILLIZI (GHADAMES),28.7,9.75,GAS-CONDENSATE,2003.0,SECONDARY RECOVERY,DECLINE,80.00,2220.0,,ONSHORE,-2300.0,266.0,3328.0,GAS DRIVE,2112:LATERAL DEPOSITIONAL PINCH-OUT,8022.0,5725.0,0.5,700.0,DEVONIAN,24:COASTAL,LAYER-CAKE, LATERAL FACIES CHANGE/LATERAL SHALE-OUT,122.0,0.8,18.29,SANDSTONE,MEDIUM-GRAINED SAND,,,PRIMARY INTERGRANULAR,11.0,54.0,0.0,0.36,0.0,6.3,1113.0,50.0,1.75,,,21.0,1958.0,,2.5,51.0,GAS RECYCLING,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,ACIDIZATION,,,,GAS CONING CONTROL/WATER CONING CONTROL,6391.0
ALWYN NORTH,LUNDE,1P ,UNITED KINGDOM,EUROPE,NORTH SEA NORTHERN,60.7833,1.7333,GAS-CONDENSATE,2001.0,PRIMARY RECOVERY,MATURE,19.00,250.0,,OFFSHORE,413.0,266.0,7977.0,GAS DRIVE,2212:PALEOSTRUCTURAL SUBCROP,11201.0,11614.0,11.0,2600.0,TRIASSIC,21:FLUVIAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALENONE,2789.0,0.13,,SANDSTONE,FINE-GRAINED SAND/MEDIUM-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,15.0,6.0,47.0,,0.0,0.0,2886.0,,,,,,550.0,,27.0,27.0,,,DRILLING/STIMULATION,HORIZONTAL WELL,HYDRAULIC FRACTURING (SINGLE STAGE),,,,,
ALWYN NORTH,STATFJORD,1P ,UNITED KINGDOM,EUROPE,NORTH SEA NORTHERN,60.7833,1.7333,GAS-CONDENSATE,2006.0,PRIMARY RECOVERY,MATURE,12.00,160.0,48676.0,OFFSHORE,413.0,248.0,7194.0,GAS DRIVE,2212:PALEOSTRUCTURAL SUBCROP,10545.0,10958.0,11.0,787.0,JURASSIC/TRIASSIC,21:FLUVIAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALENONE,869.0,0.65,,SANDSTONE,MEDIUM-GRAINED SAND,ARKOSE,,PRIMARY INTERGRANULAR,13.5,330.0,47.0,,0.0,0.0,,45.0,,,50000.0,20.0,295.0,,,79.0,,,,,,,,,,10600.0
AMHERSTIA-IMMORTELLE,UNNAMED,1P ,TRINIDAD AND TOBAGO,LATIN AMERICA,EASTERN VENEZUELA,10.0475,-60.4525,GAS,2005.0,PRIMARY RECOVERY,DECLINE,18.00,0.0,,OFFSHORE,235.0,173.0,4159.0,AQUIFER DRIVE,1211:TILTED FAULT-BLOCK,4465.0,4700.0,24.0,,NEOGENE,24:COASTAL,LAYER-CAKE,BLOCK-BOUNDING FAULT/SHALENONE,,0.63,,SANDSTONE,FINE-GRAINED SAND,,,PRIMARY INTERGRANULAR,26.0,170.0,0.0,,0.0,0.0,530.0,14.0,,,,20.0,633.0,,13.0,62.0,,,,,,,,,,9347.0
