,Feature,Value
5,210_Permeability (air average) (mD),14.684317586496439
6,218_API gravity (average) (deg. API),11.213393735986939
7,225_Viscosity (oil average) (cp),11.103094555109466
3,176_Net/gross ratio (average),9.01374962760004
9,293_Original in-place oil equivalent (MMBOE),6.551529233691164
4,204_Porosity (matrix average) (%),6.318022959532682
0,52_Well spacing (average) (ac),5.3920521696406984
8,252_GOR (initial average) (SCF/STB),5.1200931614675795
2,77_Pressure (original) (psi),3.7442394828543732
1,75_Temperature (original) (deg. F),3.5938510668118235
10,EORIOR,3.5315234086953744
147,161_Reservoir architecture (main)_JIGSAW-PUZZLE,2.5465361305447036
144,153_Depositional system (main)_24COASTAL,2.1839099456084106
118,82_Drive mechanism (main)_GAS DRIVE,1.9972837139777504
116,82_Drive mechanism (main)_AQUIFER DRIVE,1.6151817668923154
151,161_Reservoir architecture (main)_LAYER-CAKE,1.3704051611099979
113,72_Onshore or offshore_OFFSHORE,1.1429847833061535
114,72_Onshore or offshore_ONSHORE,1.0516879164269435
142,153_Depositional system (main)_22DESERT,0.8308195830781366
123,149_Reservoir period_CRETACEOUS,0.604894346118702
13,10_Region_EUROPE,0.5408984167041085
121,149_Reservoir period_CARBONIFEROUS,0.4955180692573948
128,149_Reservoir period_DEVONIAN,0.4786043924572772
11,10_Region_AFRICA,0.3955696027542769
135,149_Reservoir period_PALEOGENE,0.3881631115045176
73,11_Basin name_NEUQUEN,0.35587816172109377
12,10_Region_ASIA-PACIFIC,0.3353963058899209
15,10_Region_LATIN AMERICA,0.23509036419038679
17,10_Region_NORTH AMERICA,0.2203794805947969
145,153_Depositional system (main)_25DEEP MARINE,0.2181136780859828
131,149_Reservoir period_NEOGENE,0.197303117043297
14,10_Region_FORMER SOVIET UNION,0.19411937789321268
141,153_Depositional system (main)_21FLUVIAL,0.1894036889183694
137,149_Reservoir period_PERMIAN,0.18424207270761825
143,153_Depositional system (main)_23LACUSTRINE,0.16679413100419238
109,11_Basin name_VOLGA-URAL,0.1646725100283582
111,11_Basin name_WESTERN CANADA,0.12517629660903684
129,149_Reservoir period_JURASSIC,0.12212305256870547
50,11_Basin name_GULF OF MEXICO NORTHERN ONSHORE,0.115111776072343
41,11_Basin name_EASTERN VENEZUELA,0.11130874786742186
150,161_Reservoir architecture (main)_LABYRINTH,0.1027920895542966
54,11_Basin name_JEANNE D ARC,0.0983811219196151
87,11_Basin name_POWDER RIVER,0.0913491981849186
55,11_Basin name_JIANGHAN,0.08924275770955484
76,11_Basin name_NORTH SEA CENTRAL,0.07286243689281363
94,11_Basin name_SIBERIAN WESTERN,0.0645327043303087
77,11_Basin name_NORTH SEA NORTHERN,0.06324726582529522
153,161_Reservoir architecture (main)_TANK LIKE,0.05552164714226751
149,161_Reservoir architecture (main)_JIGSAW-PUZZLE/LAYER-CAKE,0.05383087806117191
63,11_Basin name_MARACAIBO,0.045166841498080215
134,149_Reservoir period_ORDOVICIAN/CAMBRIAN,0.04283368460876757
72,11_Basin name_NATUNA WEST,0.037913120847633236
47,11_Basin name_GIPPSLAND,0.027220696812117362
124,149_Reservoir period_CRETACEOUS/JURASSIC,0.026788856139606812
115,72_Onshore or offshore_ONSHORE-OFFSHORE,0.022350131867355336
96,11_Basin name_SONGLIAO,0.02123811826223716
84,11_Basin name_PERMIAN,0.021079939367998513
62,11_Basin name_MALAY,0.019339132541584047
23,11_Basin name_ASSAM,0.017868325725098708
27,11_Basin name_BOHAI,0.015298039345670046
67,11_Basin name_MESOPOTAMIAN,0.014478863933312613
83,11_Basin name_PERI-ADRIATIC,0.01251713595426298
68,11_Basin name_MID-NORWAY SHELF,0.010684099630534898
130,149_Reservoir period_JURASSIC/TRIASSIC,0.010558634934909597
