,Feature,Value
5,210_Permeability (air average) (mD),0.19759610234993755
7,225_Viscosity (oil average) (cp),0.16179355110831647
3,176_Net/gross ratio (average),0.09967475295529958
6,218_API gravity (average) (deg. API),0.07898512074349506
9,293_Original in-place oil equivalent (MMBOE),0.07469646639288051
4,204_Porosity (matrix average) (%),0.06684135658338111
2,77_Pressure (original) (psi),0.03354211035104938
8,252_GOR (initial average) (SCF/STB),0.029935993232927834
1,75_Temperature (original) (deg. F),0.029530129016509192
0,52_Well spacing (average) (ac),0.027072540322793447
10,EORIOR,0.02270208267320484
73,11_Basin name_NEUQUEN,0.021654243671468766
109,11_Basin name_VOLGA-URAL,0.015486535661287857
116,82_Drive mechanism (main)_AQUIFER DRIVE,0.01425105757970294
142,153_Depositional system (main)_22DESERT,0.013212175694834134
147,161_Reservoir architecture (main)_JIGSAW-PUZZLE,0.011727493020341505
54,11_Basin name_JEANNE D ARC,0.00964976044551826
11,10_Region_AFRICA,0.007675354004952359
151,161_Reservoir architecture (main)_LAYER-CAKE,0.00690724306044897
128,149_Reservoir period_DEVONIAN,0.006444219736480686
55,11_Basin name_JIANGHAN,0.005731234380423942
96,11_Basin name_SONGLIAO,0.005634511851030768
121,149_Reservoir period_CARBONIFEROUS,0.005118990675223913
135,149_Reservoir period_PALEOGENE,0.004889608286100895
50,11_Basin name_GULF OF MEXICO NORTHERN ONSHORE,0.0046119039167283075
12,10_Region_ASIA-PACIFIC,0.004561168767475902
47,11_Basin name_GIPPSLAND,0.004188417000390273
129,149_Reservoir period_JURASSIC,0.003716947660552924
137,149_Reservoir period_PERMIAN,0.0036069749583723734
76,11_Basin name_NORTH SEA CENTRAL,0.003486564432309036
123,149_Reservoir period_CRETACEOUS,0.003060757203224584
83,11_Basin name_PERI-ADRIATIC,0.0026072886463470177
72,11_Basin name_NATUNA WEST,0.0022588841444846418
144,153_Depositional system (main)_24COASTAL,0.0019123248574852419
68,11_Basin name_MID-NORWAY SHELF,0.0018374940723193793
40,11_Basin name_DOUGLAS CREEK ARCH,0.001809466272597592
15,10_Region_LATIN AMERICA,0.0013208674575225581
141,153_Depositional system (main)_21FLUVIAL,0.0012903250430126429
63,11_Basin name_MARACAIBO,0.0012179301240967848
149,161_Reservoir architecture (main)_JIGSAW-PUZZLE/LAYER-CAKE,0.001111602644520325
78,11_Basin name_NORTH SLOPE,0.000908162183413261
44,11_Basin name_FAEROE-SHETLAND,0.0008889259523851495
30,11_Basin name_CAMPOS,0.0008202192092360367
23,11_Basin name_ASSAM,0.000629643545159684
