,Feature,Value
5,210_Permeability (air average) (mD),12.359783967202114
7,225_Viscosity (oil average) (cp),10.930904485241703
3,176_Net/gross ratio (average),9.950097185297397
6,218_API gravity (average) (deg. API),9.742212329253954
9,293_Original in-place oil equivalent (MMBOE),7.192394232616626
4,204_Porosity (matrix average) (%),5.85971470685278
8,252_GOR (initial average) (SCF/STB),5.457837067451639
2,77_Pressure (original) (psi),4.698776354063796
0,52_Well spacing (average) (ac),4.551090281982047
10,EORIOR,3.9545822515381706
1,75_Temperature (original) (deg. F),3.7781647832074685
132,161_Reservoir architecture (main)_JIGSAW-PUZZLE,2.5713001449627497
102,72_Onshore or offshore_ONSHORE,1.7533525036364221
136,161_Reservoir architecture (main)_LAYER-CAKE,1.6190416261239948
106,82_Drive mechanism (main)_GAS DRIVE,1.512515025553302
111,149_Reservoir period_CRETACEOUS,1.4575662387085924
104,82_Drive mechanism (main)_AQUIFER DRIVE,1.1251214058100036
101,72_Onshore or offshore_OFFSHORE,0.9827536935772656
63,11_Basin name_NORTH SEA CENTRAL,0.9756845881191799
15,10_Region_LATIN AMERICA,0.8119045402605414
129,153_Depositional system (main)_24COASTAL,0.7013987692652399
17,10_Region_NORTH AMERICA,0.6550098090429035
127,153_Depositional system (main)_22DESERT,0.5689974942467818
13,10_Region_EUROPE,0.5651477009344721
37,11_Basin name_EASTERN VENEZUELA,0.49502852303389766
109,149_Reservoir period_CARBONIFEROUS,0.4775530023653344
61,11_Basin name_NEUQUEN,0.3896246205254069
44,11_Basin name_GULF OF MEXICO NORTHERN ONSHORE,0.34143402043597987
121,149_Reservoir period_PALEOGENE,0.2704230708665419
137,161_Reservoir architecture (main)_TANK LIKE,0.2670459021163472
11,10_Region_AFRICA,0.2595439320702997
117,149_Reservoir period_NEOGENE,0.25686213261092183
126,153_Depositional system (main)_21FLUVIAL,0.24845234318112344
12,10_Region_ASIA-PACIFIC,0.23453003661843377
73,11_Basin name_POWDER RIVER,0.22527491466972543
79,11_Basin name_SAN JOAQUIN,0.21671615946625367
135,161_Reservoir architecture (main)_LABYRINTH,0.20574505138070553
16,10_Region_MIDDLE EAST,0.18559184093132222
130,153_Depositional system (main)_25DEEP MARINE,0.1821666494455865
115,149_Reservoir period_JURASSIC,0.17849212882571086
107,82_Drive mechanism (main)_GRAVITY DRAINAGE,0.1761351854276894
14,10_Region_FORMER SOVIET UNION,0.16396512173324598
83,11_Basin name_SONGLIAO,0.12894955220844104
47,11_Basin name_JIANGHAN,0.12315423413795366
96,11_Basin name_VOLGA-URAL,0.11386359277353786
120,149_Reservoir period_ORDOVICIAN/CAMBRIAN,0.09575837398010402
78,11_Basin name_SABAH,0.09068622207163836
128,153_Depositional system (main)_23LACUSTRINE,0.06970467307116625
81,11_Basin name_SIBERIAN WESTERN,0.061950803457115754
46,11_Basin name_JEANNE D ARC,0.060519199165199156
