,Feature,Value
0,52_Well spacing (average) (ac),0.008074179
105,11_Basin name_TIMAN-PECHORA,0.008074179
98,11_Basin name_SUMATRA CENTRAL,0.008074179
99,11_Basin name_SUMATRA NORTH,0.008074179
100,11_Basin name_SUMATRA SOUTH,0.008074179
101,11_Basin name_SUNDA,0.008074179
102,11_Basin name_TALARA,0.008074179
103,11_Basin name_TARAKAN,0.008074179
104,11_Basin name_THE GULF,0.008074179
106,11_Basin name_TURPAN,0.008074179
115,72_Onshore or offshore_ONSHORE-OFFSHORE,0.008074179
107,11_Basin name_USTYURT NORTH,0.008074179
108,11_Basin name_VIENNA,0.008074179
109,11_Basin name_VOLGA-URAL,0.008074179
110,11_Basin name_WESSEX,0.008074179
111,11_Basin name_WESTERN CANADA,0.008074179
112,11_Basin name_ZAGROS,0.008074179
113,72_Onshore or offshore_OFFSHORE,0.008074179
97,11_Basin name_SOUTH OMAN SALT,0.008074179
96,11_Basin name_SONGLIAO,0.008074179
95,11_Basin name_SIRT,0.008074179
94,11_Basin name_SIBERIAN WESTERN,0.008074179
79,11_Basin name_ORIENTE,0.008074179
80,11_Basin name_OUED MYA-GHADAMES,0.008074179
81,11_Basin name_PANNONIAN,0.008074179
82,11_Basin name_PARIS,0.008074179
83,11_Basin name_PERI-ADRIATIC,0.008074179
84,11_Basin name_PERMIAN,0.008074179
85,11_Basin name_PHITSANULOK,0.008074179
86,11_Basin name_PICEANCE,0.008074179
87,11_Basin name_POWDER RIVER,0.008074179
88,11_Basin name_PUTUMAYO,0.008074179
89,11_Basin name_RAZZAK-ALAMEIN,0.008074179
90,11_Basin name_RECONCAVO,0.008074179
91,11_Basin name_SABAH,0.008074179
92,11_Basin name_SAN JOAQUIN,0.008074179
93,11_Basin name_SARAWAK,0.008074179
114,72_Onshore or offshore_ONSHORE,0.008074179
116,82_Drive mechanism (main)_AQUIFER DRIVE,0.008074179
1,75_Temperature (original) (deg. F),0.008074179
144,153_Depositional system (main)_24COASTAL,0.008074179
137,149_Reservoir period_PERMIAN,0.008074179
138,149_Reservoir period_PERMIAN/CARBONIFEROUS,0.008074179
139,149_Reservoir period_TRIASSIC,0.008074179
140,149_Reservoir period_TRIASSIC/CARBONIFEROUS,0.008074179
141,153_Depositional system (main)_21FLUVIAL,0.008074179
142,153_Depositional system (main)_22DESERT,0.008074179
143,153_Depositional system (main)_23LACUSTRINE,0.008074179
145,153_Depositional system (main)_25DEEP MARINE,0.008074179
117,82_Drive mechanism (main)_COMPACTION,0.008074179
146,153_Depositional system (main)_26GLACIOGENIC,0.008074179
147,161_Reservoir architecture (main)_JIGSAW-PUZZLE,0.008074179
148,161_Reservoir architecture (main)_JIGSAW-PUZZLE/LABYRINTH,0.008074179
149,161_Reservoir architecture (main)_JIGSAW-PUZZLE/LAYER-CAKE,0.008074179
150,161_Reservoir architecture (main)_LABYRINTH,0.008074179
151,161_Reservoir architecture (main)_LAYER-CAKE,0.008074179
152,161_Reservoir architecture (main)_LAYER-CAKE/TANK LIKE,0.008074179
136,149_Reservoir period_PALEOGENE/CRETACEOUS,0.008074179
135,149_Reservoir period_PALEOGENE,0.008074179
