,Feature,Value
0,52_Well spacing (average) (ac),0.002517839
105,11_Basin name_TIMAN-PECHORA,0.002517839
98,11_Basin name_SUMATRA CENTRAL,0.002517839
99,11_Basin name_SUMATRA NORTH,0.002517839
100,11_Basin name_SUMATRA SOUTH,0.002517839
101,11_Basin name_SUNDA,0.002517839
102,11_Basin name_TALARA,0.002517839
103,11_Basin name_TARAKAN,0.002517839
104,11_Basin name_THE GULF,0.002517839
106,11_Basin name_TURPAN,0.002517839
115,72_Onshore or offshore_ONSHORE-OFFSHORE,0.002517839
107,11_Basin name_USTYURT NORTH,0.002517839
108,11_Basin name_VIENNA,0.002517839
109,11_Basin name_VOLGA-URAL,0.002517839
110,11_Basin name_WESSEX,0.002517839
111,11_Basin name_WESTERN CANADA,0.002517839
112,11_Basin name_ZAGROS,0.002517839
113,72_Onshore or offshore_OFFSHORE,0.002517839
97,11_Basin name_SOUTH OMAN SALT,0.002517839
96,11_Basin name_SONGLIAO,0.002517839
95,11_Basin name_SIRT,0.002517839
94,11_Basin name_SIBERIAN WESTERN,0.002517839
79,11_Basin name_ORIENTE,0.002517839
80,11_Basin name_OUED MYA-GHADAMES,0.002517839
81,11_Basin name_PANNONIAN,0.002517839
82,11_Basin name_PARIS,0.002517839
83,11_Basin name_PERI-ADRIATIC,0.002517839
84,11_Basin name_PERMIAN,0.002517839
85,11_Basin name_PHITSANULOK,0.002517839
86,11_Basin name_PICEANCE,0.002517839
87,11_Basin name_POWDER RIVER,0.002517839
88,11_Basin name_PUTUMAYO,0.002517839
89,11_Basin name_RAZZAK-ALAMEIN,0.002517839
90,11_Basin name_RECONCAVO,0.002517839
91,11_Basin name_SABAH,0.002517839
92,11_Basin name_SAN JOAQUIN,0.002517839
93,11_Basin name_SARAWAK,0.002517839
114,72_Onshore or offshore_ONSHORE,0.002517839
116,82_Drive mechanism (main)_AQUIFER DRIVE,0.002517839
1,75_Temperature (original) (deg. F),0.002517839
144,153_Depositional system (main)_24COASTAL,0.002517839
137,149_Reservoir period_PERMIAN,0.002517839
138,149_Reservoir period_PERMIAN/CARBONIFEROUS,0.002517839
139,149_Reservoir period_TRIASSIC,0.002517839
140,149_Reservoir period_TRIASSIC/CARBONIFEROUS,0.002517839
141,153_Depositional system (main)_21FLUVIAL,0.002517839
142,153_Depositional system (main)_22DESERT,0.002517839
143,153_Depositional system (main)_23LACUSTRINE,0.002517839
145,153_Depositional system (main)_25DEEP MARINE,0.002517839
117,82_Drive mechanism (main)_COMPACTION,0.002517839
