,Feature,Value
5,210_Permeability (air average) (mD),0.18312135852851313
7,225_Viscosity (oil average) (cp),0.14387375540537672
3,176_Net/gross ratio (average),0.09881428336996301
6,218_API gravity (average) (deg. API),0.09427178237706466
9,293_Original in-place oil equivalent (MMBOE),0.0665081830835475
4,204_Porosity (matrix average) (%),0.051883480226098316
2,77_Pressure (original) (psi),0.041429723472370165
8,252_GOR (initial average) (SCF/STB),0.04033726197551329
1,75_Temperature (original) (deg. F),0.03771981572310434
10,EORIOR,0.027643197021475198
0,52_Well spacing (average) (ac),0.02667473842809647
147,161_Reservoir architecture (main)_JIGSAW-PUZZLE,0.014792801962678232
142,153_Depositional system (main)_22DESERT,0.010279391179266779
144,153_Depositional system (main)_24COASTAL,0.00920686835811963
117,82_Drive mechanism (main)_AQUIFER DRIVE,0.008590903366187142
54,11_Basin name_JEANNE D ARC,0.008309724236298426
109,11_Basin name_VOLGA-URAL,0.00795828236562897
111,11_Basin name_WESTERN CANADA,0.006238985413136588
124,149_Reservoir period_CRETACEOUS,0.0060284756831249335
15,10_Region_LATIN AMERICA,0.005681546934356946
145,153_Depositional system (main)_25DEEP MARINE,0.005678391179747535
151,161_Reservoir architecture (main)_LAYER-CAKE,0.005412813069598582
73,11_Basin name_NEUQUEN,0.005276872345767744
17,10_Region_NORTH AMERICA,0.0050872225315305416
136,149_Reservoir period_PALEOGENE,0.005020943306348942
122,149_Reservoir period_CARBONIFEROUS,0.004913131255065948
130,149_Reservoir period_JURASSIC,0.004797401111412646
12,10_Region_ASIA-PACIFIC,0.004332821846493888
150,161_Reservoir architecture (main)_LABYRINTH,0.003821076994466357
119,82_Drive mechanism (main)_GAS DRIVE,0.00341865576971327
132,149_Reservoir period_NEOGENE,0.0031497984999030197
76,11_Basin name_NORTH SEA CENTRAL,0.003045832786322617
114,72_Onshore or offshore_OFFSHORE,0.0029681611429570815
115,72_Onshore or offshore_ONSHORE,0.002668435701172351
138,149_Reservoir period_PERMIAN,0.002597927109641544
141,153_Depositional system (main)_21FLUVIAL,0.0024325436793908766
16,10_Region_MIDDLE EAST,0.002118353248762288
14,10_Region_FORMER SOVIET UNION,0.00210075204090334
55,11_Basin name_JIANGHAN,0.0020733229386162622
41,11_Basin name_EASTERN VENEZUELA,0.0019699277349384033
129,149_Reservoir period_DEVONIAN,0.0019194127127736618
11,10_Region_AFRICA,0.0018384979704154012
135,149_Reservoir period_ORDOVICIAN/CAMBRIAN,0.001696409369470389
143,153_Depositional system (main)_23LACUSTRINE,0.001671676184209388
96,11_Basin name_SONGLIAO,0.0013977496419032682
13,10_Region_EUROPE,0.0013595074649479103
131,149_Reservoir period_JURASSIC/TRIASSIC,0.00125232576301932
72,11_Basin name_NATUNA WEST,0.0012220315526285089
94,11_Basin name_SIBERIAN WESTERN,0.0011213643695588802
68,11_Basin name_MID-NORWAY SHELF,0.001115812754384242
87,11_Basin name_POWDER RIVER,0.001086750429239801
47,11_Basin name_GIPPSLAND,0.0010257700302822468
50,11_Basin name_GULF OF MEXICO NORTHERN ONSHORE,0.0009474616993956926
30,11_Basin name_CAMPOS,0.0009209331828427362
63,11_Basin name_MARACAIBO,0.0009159229888346308
18,11_Basin name_ABU GHARADIG,0.0008830903587767312
77,11_Basin name_NORTH SEA NORTHERN,0.0008612466312455445
133,149_Reservoir period_NEOGENE/PALEOGENE,0.0008437299784065359
84,11_Basin name_PERMIAN,0.0008103397099031302
23,11_Basin name_ASSAM,0.0007631537581391235
27,11_Basin name_BOHAI,0.0007297897274150885
59,11_Basin name_LLANOS,0.000695551150513631
51,11_Basin name_GULF OF SUEZ,0.0006541725658956005
139,149_Reservoir period_PERMIAN/CARBONIFEROUS,0.0006310104025798144
78,11_Basin name_NORTH SLOPE,0.0006251781382779594
29,11_Basin name_CAMBAY,0.0005627975417124792
58,11_Basin name_KUTAI,0.00045699980991082106
153,161_Reservoir architecture (main)_TANK LIKE,0.00044430626872227734
48,11_Basin name_GREATER GREEN RIVER,0.0004215022426291016
44,11_Basin name_FAEROE-SHETLAND,0.00041437481671944534
140,149_Reservoir period_TRIASSIC,0.00040546794610502143
67,11_Basin name_MESOPOTAMIAN,0.0003920993805178474
42,11_Basin name_EROMANGA,0.0003919894897937788
85,11_Basin name_PHITSANULOK,0.00035103602459054536
104,11_Basin name_THE GULF,0.0003387759089437728
65,11_Basin name_MEKONG (CUU LONG),0.000335990862125813
34,11_Basin name_CENTRAL OMAN UPLIFT,0.00028017813527417073
95,11_Basin name_SIRT,0.00027128071424021167
91,11_Basin name_SABAH,0.0002698929062319615
149,161_Reservoir architecture (main)_JIGSAW-PUZZLE/LAYER-CAKE,0.0002685766141864188
66,11_Basin name_MELUT,0.00026156954618223113
39,11_Basin name_DENVER,0.00021355433570789006
49,11_Basin name_GULF OF MEXICO NORTHERN OFFSHORE,0.00021352344976031002
107,11_Basin name_USTYURT NORTH,0.00021302165735099097
116,72_Onshore or offshore_ONSHORE-OFFSHORE,0.00020123053723426602
