iter	RMSE
0	14.56682784
1	13.39315369
2	12.57525604
3	11.86852074
4	11.4052772
5	10.75058745
6	10.37093614
7	9.857543641
8	9.46216283
9	9.19463693
10	8.951701741
11	8.80746996
12	8.627977455
13	8.35706206
14	8.223015937
15	7.855519635
16	7.572165522
17	7.263727502
18	7.151941443
19	7.034369537
20	6.975556642
21	6.888622259
22	6.812474881
23	6.756944485
24	6.707649919
25	6.583772788
26	6.318028629
27	6.109989928
28	6.015314436
29	5.975352487
30	5.939652771
31	5.623618654
32	5.435200607
33	5.233723878
34	5.200152287
35	5.167483251
36	4.908265308
37	4.881624157
38	4.805672411
39	4.753268869
40	4.732334011
41	4.699883991
42	4.661845101
43	4.602474159
44	4.408232663
45	4.317068326
46	4.26036567
47	4.244218008
48	4.15601754
49	4.127882209
50	4.090567261
51	3.950536843
52	3.934423469
53	3.919869946
54	3.806718259
55	3.696755499
56	3.677552128
57	3.664033573
58	3.651987947
59	3.57293956
60	3.439052312
61	3.296711375
62	3.25848328
63	3.247502075
64	3.237340795
65	3.170060258
66	3.138693968
67	3.128990646
68	3.06205106
69	2.994559688
70	2.920151777
71	2.901829157
72	2.89278099
73	2.884328511
74	2.859146446
75	2.849868782
76	2.841576431
77	2.726795055
78	2.704246922
79	2.688951615
80	2.622380767
81	2.569927686
82	2.507831545
83	2.463548636
84	2.41266293
85	2.355975933
86	2.309501388
87	2.270219751
88	2.264501191
89	2.229695425
90	2.181697428
91	2.129061733
92	2.122866158
93	2.078566489
94	1.972866379
95	1.950846184
96	1.919608438
97	1.850861659
98	1.834327481
99	1.829304964
76395
