5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),72_Onshore or offshore,75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),293_Original in-place oil equivalent (MMBOE),307_Recovery factor (ultimate oil) (%)
1P ,AFRICA,ABU GHARADIG,20.0,140.0,ONSHORE,232.0,4500.0,GAS DRIVE,CRETACEOUS,240.0,0.1,21.0,40.5,13.81,850.0,166.0,19.0
1P ,AFRICA,ABU GHARADIG,20.0,140.0,ONSHORE,250.0,4600.0,GAS DRIVE,CRETACEOUS,500.0,0.07,16.0,40.0,4.74,800.0,214.0,14.0
1P ,AFRICA,NIGER DELTA,17.0,89.0,ONSHORE,191.6086925633698,3122.0,AQUIFER DRIVE,NEOGENE,110.0,0.6,20.0,19.0,0.7,1000.0,160.0,55.0
1P ,AFRICA,NIGER DELTA,22.0,0.0,OFFSHORE,141.29953391604337,6600.0,AQUIFER DRIVE,NEOGENE,200.0,0.6,18.0,46.0,0.26,1230.0,2100.0,47.62
1P ,MIDDLE EAST,ZAGROS,450.0,0.0,ONSHORE,190.0,4452.278384742951,AQUIFER DRIVE,NEOGENE/PALEOGENE,1200.0,0.36,19.0,32.6,0.58,950.0,57300.0,44.3
1P ,MIDDLE EAST,SOUTH OMAN SALT,24.0,62.0,ONSHORE,212.0,11600.0,GAS DRIVE,CAMBRIAN/PROTEROZOIC,1230.0,0.68,17.0,48.0,0.7,410.0,1321.0,7.0
1P ,MIDDLE EAST,THE GULF,22.0,0.0,OFFSHORE,137.4598916709441,1637.277450504429,GAS DRIVE,CRETACEOUS,20.0,0.6,30.0,27.0,0.7,300.0,17000.0,25.0
1P ,EUROPE,NORTH SEA CENTRAL,22.0,0.0,OFFSHORE,172.0,2850.0,GAS DRIVE,PALEOGENE,328.0,0.8,35.0,19.5,7.0,246.0,1000.0,44.0
1P ,LATIN AMERICA,CAMPOS,66.0,0.0,OFFSHORE,191.01797837181607,4147.704513169603,GAS DRIVE,PALEOGENE,200.0,0.6,26.0,27.0,26.5,600.0,1930.0,35.0
1P ,LATIN AMERICA,CAMPOS,22.0,0.0,OFFSHORE,218.47388173340732,4863.0,GAS DRIVE,CRETACEOUS,390.0,0.25,17.0,28.0,26.4,365.0,497.0,21.0
1P ,EUROPE,PANNONIAN,22.0,20.0,ONSHORE,250.0,3656.0,GAS DRIVE,NEOGENE,230.0,0.47,18.0,29.8,0.84,544.0,57.5,40.5
1P ,EUROPE,PANNONIAN,340.0,140.0,ONSHORE,208.0,2828.0,GAS DRIVE,NEOGENE,1300.0,0.6,25.0,41.0,0.7,482.0,1592.0,41.95
1P ,NORTH AMERICA,NORTH SLOPE,51.0,135.0,ONSHORE,160.0,3215.0,GAS DRIVE,JURASSIC,50.0,0.95,20.0,39.0,0.45,769.0,1000.0,45.0
1P ,NORTH AMERICA,UINTA,22.0,160.0,ONSHORE,200.0,4000.0,GAS DRIVE,PALEOGENE,8000.0,0.6,5.0,40.0,0.7,1000.0,3200.0,12.0
1P ,EUROPE,NORTH SEA NORTHERN,17.0,120.0,OFFSHORE,234.0,6527.0,GAS DRIVE,JURASSIC,900.0,0.86,18.0,87.0,0.29,1400.0,600.0,48.3
1P ,AFRICA,SIRT,22.0,0.0,ONSHORE,223.0519167179488,4675.0,AQUIFER DRIVE,CRETACEOUS/TRIASSIC/PALEOZOIC,200.0,0.1,14.0,36.0,0.7,444.0,5000.0,23.0
1P ,FORMER SOVIET UNION,AZOV-KUBAN,1200.0,8.0,ONSHORE,130.0,2292.0,AQUIFER DRIVE,NEOGENE,230.0,0.85,25.0,29.0,5.0,340.0,1910.0,57.0
1P ,EUROPE,NORTH SEA CENTRAL,18.0,180.0,OFFSHORE,230.0,3698.0,AQUIFER DRIVE,PALEOGENE,541.0,0.91,20.0,40.0,0.29,808.0,364.33,55.6
1P ,AFRICA,GABON NORTH,56.0,66.0,OFFSHORE,195.079138438748,4119.0,AQUIFER DRIVE,CRETACEOUS,820.0,0.25,19.0,30.5,0.65,722.0,1500.0,23.0
1P ,EUROPE,NORTH SEA CENTRAL,3.0,185.0,OFFSHORE,230.0,6735.0,AQUIFER DRIVE,JURASSIC,100.0,0.9,18.0,40.0,0.58,290.0,23.1,72.0
1P ,ASIA-PACIFIC,CAMBAY,144.0,61.78,ONSHORE,170.6,1713.91,AQUIFER DRIVE,PALEOGENE,29.53,0.84,23.0,45.38,0.32,842.19,1000.0,61.0
1P ,ASIA-PACIFIC,CAMBAY,144.0,74.13,ONSHORE,168.8,1675.48,AQUIFER DRIVE,PALEOGENE,16.4,0.86,22.0,45.38,0.36,842.19,1000.0,55.0
1P ,ASIA-PACIFIC,ORDOS,3344.0,15.0,ONSHORE,111.0,1200.0,GAS DRIVE,TRIASSIC,2900.0,0.25,12.3,35.0,2.0,318.0,2528.0,25.0
1P ,LATIN AMERICA,LLANOS,25.0,60.0,ONSHORE,120.0,5992.453076221815,AQUIFER DRIVE,CRETACEOUS,1010.0,0.67,12.0,25.0,11.0,128.0,298.0,36.0
1P ,EUROPE,NORTH SEA CENTRAL,14.0,0.0,OFFSHORE,245.0,3700.0,AQUIFER DRIVE,PALEOGENE,330.0,0.5,24.0,40.0,0.4,490.0,334.0,51.0
1P ,ASIA-PACIFIC,JAVA NORTHWEST,78.0,200.0,OFFSHORE,185.0,1275.0,AQUIFER DRIVE,NEOGENE,1197.0,0.22,26.0,37.0,3.9,380.0,1000.0,44.0
1P ,EUROPE,NORTH SEA CENTRAL,8.0,0.0,OFFSHORE,209.33011830998183,5270.0,AQUIFER DRIVE,PERMIAN,60.0,0.6,22.0,37.0,0.75,300.0,35.0,52.3
1P ,FORMER SOVIET UNION,VOLGA-URAL,7445.0,25.0,ONSHORE,73.0,2045.0,AQUIFER DRIVE,CARBONIFEROUS,180.0,0.6,22.0,28.0,33.0,70.0,9300.0,36.0
1P ,AFRICA,SIRT,32.0,62.0,ONSHORE,284.0,5540.0,AQUIFER DRIVE,CAMBRIAN,200.0,0.6,12.0,38.0,0.7,127.0,1000.0,50.0
1P ,EUROPE,MID-NORWAY SHELF,14.0,0.0,OFFSHORE,284.0,5873.0,GAS DRIVE,JURASSIC,1450.0,0.6,13.0,41.0,2.0,2190.0,1124.0,36.5
1P ,NORTH AMERICA,WESTERN CANADA,22.0,1.4,ONSHORE,45.0,70.0,AQUIFER DRIVE,CRETACEOUS,220.0,0.4,35.0,8.0,200000.0,500.0,932000.0,44.0
1P ,ASIA-PACIFIC,KUTAI,152.0,30.0,OFFSHORE,176.0,3340.0,AQUIFER DRIVE,NEOGENE,4350.0,0.6,27.0,40.0,0.4,500.0,2233.0,39.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,20.0,240.0,OFFSHORE,209.0,12874.0,AQUIFER DRIVE,NEOGENE,200.0,0.75,30.0,36.5,0.5,2820.0,317.9,47.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,22.0,240.0,OFFSHORE,209.0,12874.0,AQUIFER DRIVE,NEOGENE,200.0,0.75,30.0,36.0,0.5,1947.0,188.6,46.0
1P ,EUROPE,NORTH SEA CENTRAL,24.0,0.0,OFFSHORE,215.0,4067.0,AQUIFER DRIVE,PERMIAN,980.0,0.85,19.0,38.0,1.07,190.0,795.0,19.0
2P ,LATIN AMERICA,EASTERN VENEZUELA,600.0,61.0,ONSHORE,140.0,1220.0,GAS DRIVE,NEOGENE/PALEOGENE,1100.0,0.45,30.0,9.0,2500.0,45.0,87000.0,20.0
1P ,EUROPE,CANTABRIAN,22.0,54.36,ONSHORE,136.53283958657445,1593.8237578043909,GAS DRIVE,CRETACEOUS/JURASSIC,1804.46,0.6,18.0,37.0,0.7,1000.0,104.98,20.0
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,72.0,0.0,OFFSHORE,160.0,4945.0,AQUIFER DRIVE,NEOGENE,3149.61,0.5,20.0,35.0,1.5,600.0,13000.0,41.5
1P ,ASIA-PACIFIC,MEKONG (CUU LONG),22.0,0.0,OFFSHORE,266.0,4905.678125380549,GAS DRIVE,PALEOGENE,1800.0,0.2,15.0,46.0,0.7,954.0,941.0,45.0
1P ,LATIN AMERICA,MARACAIBO,65.0,90.0,ONSHORE-OFFSHORE,250.0,4130.0,GRAVITY DRAINAGE,NEOGENE,530.0,0.8,23.0,29.3,0.53,260.0,2033.0,58.0
1P ,LATIN AMERICA,MARACAIBO,700.0,14.0,ONSHORE-OFFSHORE,148.35118457771608,2700.0,AQUIFER DRIVE,NEOGENE,1000.0,0.6,29.0,24.0,2.5,450.0,2200.0,41.4
1P ,LATIN AMERICA,MARACAIBO,3316.0,13.0,ONSHORE-OFFSHORE,120.0,300.0,COMPACTION,NEOGENE,500.0,0.6,33.0,15.0,50.0,500.0,18000.0,26.0
1P ,LATIN AMERICA,MARACAIBO,22.0,90.0,ONSHORE-OFFSHORE,221.4520657824908,5574.240847262198,GAS DRIVE,PALEOGENE,200.0,0.6,18.0,32.0,0.7,500.0,1600.0,42.0
1P ,AFRICA,ABU GHARADIG,4.0,0.0,ONSHORE,228.0,4253.0,GAS DRIVE,CRETACEOUS,115.0,0.23,16.5,32.1,0.2,500.0,5.0,20.0
1P ,AFRICA,ABU GHARADIG,4.0,0.0,ONSHORE,264.0,5310.0,GAS DRIVE,CRETACEOUS,115.0,0.4,12.0,39.5,0.18,500.0,38.0,24.0
1P ,AFRICA,ABU GHARADIG,3.0,0.0,ONSHORE,262.0,5329.0,AQUIFER DRIVE,CRETACEOUS,274.0,0.75,14.0,37.0,0.18,500.0,190.0,46.0
1P ,AFRICA,ABU GHARADIG,3.0,360.0,ONSHORE,228.0,4732.0,GAS DRIVE,CRETACEOUS,39.0,0.77,22.0,42.0,3.3,852.0,13.0,31.0
1P ,AFRICA,GULF OF SUEZ,22.0,60.0,OFFSHORE,162.0,2630.0,GAS DRIVE,NEOGENE,285.0,0.55,24.0,27.0,0.7,317.0,386.0,40.9
1P ,AFRICA,GULF OF SUEZ,22.0,60.0,OFFSHORE,174.0,3034.0,GAS DRIVE,NEOGENE,1000.0,0.55,16.5,28.0,0.7,613.0,365.5,31.3
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,93.0,36.0,OFFSHORE,200.0,6700.0,GAS DRIVE,NEOGENE,3340.0,0.6,16.5,34.0,2.0,500.0,248.0,25.4
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,217.0,46.0,ONSHORE,135.0,340.0,GAS DRIVE,NEOGENE,120.0,0.6,32.0,30.0,10.0,18.3,650.0,30.8
1P ,LATIN AMERICA,UPPER MAGDALENA,19.0,230.0,ONSHORE,205.0,4400.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.5,8.0,34.0,1.24,500.0,68.6,32.0
1P ,EUROPE,NORTH SEA NORTHERN,35.0,0.0,OFFSHORE,171.0,2465.0,AQUIFER DRIVE,PALEOGENE,200.0,0.85,33.0,22.0,3.5,300.0,945.0,48.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,6.0,1280.0,OFFSHORE,190.0,13324.0,AQUIFER DRIVE,NEOGENE,100.0,0.8,27.0,38.5,0.24,500.0,1000.0,44.0
1P ,EUROPE,NORTH SEA CENTRAL,15.0,180.0,OFFSHORE,207.0,3145.0,AQUIFER DRIVE,PALEOGENE,700.0,0.87,25.0,39.9,0.7,366.0,197.0,59.4
1P ,ASIA-PACIFIC,CAMBAY,113.0,22.0,ONSHORE,158.0,1508.0,AQUIFER DRIVE,PALEOGENE,275.0,0.43,27.0,15.5,150.0,50.0,146.0,39.0
1P ,ASIA-PACIFIC,SARAWAK,105.0,0.0,OFFSHORE,133.52179706058587,1452.6872253084605,AQUIFER DRIVE,NEOGENE,200.0,0.7,20.0,43.0,6.0,160.0,1200.0,29.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,400.0,50.0,ONSHORE,137.0,1220.0,AQUIFER DRIVE,PALEOGENE,130.0,0.85,32.0,9.8,684.0,96.0,4022.0,19.0
1P ,ASIA-PACIFIC,SARAWAK,54.0,40.0,OFFSHORE,182.0,3175.0,GAS DRIVE,NEOGENE,375.0,0.5,20.0,40.0,0.24,1228.0,264.0,31.0
1P ,ASIA-PACIFIC,GIPPSLAND,6.0,80.0,OFFSHORE,157.8887574621774,1693.0,AQUIFER DRIVE,PALEOGENE,98.0,0.85,27.0,0.0,0.74,20.0,1000.0,44.0
1P ,LATIN AMERICA,CUYO,22.0,0.0,ONSHORE,212.0,4481.67,AQUIFER DRIVE,TRIASSIC,393.7,0.62,20.0,27.49,8.5,126.89,424.79,19.4
1P ,ASIA-PACIFIC,CARNARVON,471.0,30.0,ONSHORE,150.0,995.0,GAS DRIVE,CRETACEOUS,110.0,0.63,27.0,37.7,1.76,225.0,1250.0,27.4
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,22.0,18.6,OFFSHORE,140.33962335476855,1772.259052678981,AQUIFER DRIVE,NEOGENE,16000.0,0.48,29.0,0.0,1.5,450.0,1000.0,44.0
1P ,ASIA-PACIFIC,KUTAI,82.0,0.0,OFFSHORE,275.0,4380.0,AQUIFER DRIVE,NEOGENE,200.0,0.2,25.0,41.0,0.45,400.0,617.0,42.0
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,140.0,16.0,ONSHORE,191.0,871.0,AQUIFER DRIVE,NEOGENE/PALEOGENE,825.0,0.8,24.0,36.0,4.1,110.0,1179.0,48.0
1P ,AFRICA,GULF OF SUEZ,122.0,60.0,OFFSHORE,202.0,4235.0,AQUIFER DRIVE,NEOGENE,1300.0,0.48,18.0,27.5,1.3,415.0,3770.0,46.0
1P ,ASIA-PACIFIC,NATUNA WEST,22.0,300.0,OFFSHORE,196.0,1860.0,AQUIFER DRIVE,NEOGENE,200.0,0.65,27.0,47.0,5.64,354.0,324.0,60.0
1P ,ASIA-PACIFIC,NATUNA WEST,26.0,120.0,OFFSHORE,208.0,2034.0,AQUIFER DRIVE,PALEOGENE,180.0,0.68,24.0,47.0,5.64,320.0,259.0,60.0
1P ,NORTH AMERICA,POWDER RIVER,415.0,20.0,ONSHORE,110.0,2560.2285764842723,GAS DRIVE,CRETACEOUS,40.0,0.6,24.0,37.0,1.9,250.0,243.0,56.0
2C ,AFRICA,MORONDAVA,22.0,0.0,ONSHORE,104.2322183960465,79.7974254134433,AQUIFER DRIVE,TRIASSIC,900.0,0.6,19.5,11.0,2300.0,500.0,10000.0,10.0
