Year,Make,Model,Category,Price
2021,Acura,ILX,Sedan,26100.0
2021,Acura,RDX,SUV,38400.0
2021,Acura,TLX,Sedan,37500.0
2021,Alfa Romeo,Giulia,Sedan,40350.0
2021,Alfa Romeo,Stelvio,SUV,42350.0
2021,Audi,A6 allroad,Wagon,65900.0
2021,Audi,A7,Sedan,69200.0
2021,Audi,Q3,SUV,34000.0
2021,Audi,Q5,SUV,43300.0
2021,Audi,Q8,SUV,68200.0
2021,Audi,S5,"Convertible,Sedan,Coupe",52500.0
2021,BMW,3 Series,Sedan,41250.0
2021,BMW,X1,SUV,35400.0
2021,BMW,X3,SUV,43000.0
2021,BMW,X5,SUV,59400.0
2021,Buick,Enclave,SUV,40300.0
2021,Buick,Encore,SUV,23200.0
2021,Buick,Encore GX,SUV,24200.0
2021,Buick,Envision,SUV,31800.0
2021,Cadillac,CT4,Sedan,33395.0
2021,Cadillac,CT5,Sedan,36995.0
2021,Cadillac,XT4,SUV,35795.0
2021,Cadillac,XT5,SUV,43995.0
2021,Cadillac,XT6,SUV,48045.0
2021,Chevrolet,Blazer,SUV,28800.0
2021,Chevrolet,Bolt EV,Hatchback,36500.0
2021,Chevrolet,Camaro,Coupe,25000.0
2021,Chevrolet,Colorado Extended Cab,Pickup,25200.0
2021,Chevrolet,Colorado Crew Cab,Pickup,27100.0
2021,Chevrolet,Corvette,"Convertible,Coupe",59900.0
2021,Chevrolet,Express 3500 Cargo,Van/Minivan,39895.0
2021,Chevrolet,Equinox,SUV,23800.0
2021,Chevrolet,Malibu,Sedan,22270.0
2021,Chevrolet,Silverado 1500 Crew Cab,Pickup,33200.0
2021,Chevrolet,Silverado 2500 HD Crew Cab,Pickup,34900.0
2021,Chevrolet,Silverado 2500 HD Double Cab,Pickup,37700.0
2021,Chevrolet,Silverado 2500 HD Regular Cab,Pickup,35300.0
2021,Chevrolet,Spark,Hatchback,13600.0
2021,Chevrolet,Suburban,SUV,52300.0
2021,Chevrolet,Tahoe,SUV,49600.0
2021,Chevrolet,Trailblazer,SUV,19000.0
2021,Chevrolet,Traverse,SUV,29800.0
2021,Chevrolet,Trax,SUV,21400.0
2021,Chrysler,300,Sedan,31370.0
2021,Chrysler,Pacifica,Van/Minivan,35820.0
2021,Chrysler,Voyager,Van/Minivan,27860.0
2021,Dodge,Challenger,Coupe,28870.0
2021,Dodge,Durango,SUV,32570.0
2021,Dodge,Charger,Sedan,30570.0
2021,FIAT,500X,SUV,25815.0
2021,Ford,Bronco Sport,SUV,26820.0
2021,Ford,EcoSport,SUV,20395.0
2021,Ford,Edge,SUV,32750.0
2021,Ford,Escape,SUV,25555.0
2021,Ford,Expedition,SUV,49025.0
2021,Ford,Expedition MAX,SUV,54810.0
2021,Ford,Explorer,SUV,32675.0
2021,Ford,F150 SuperCrew Cab,Pickup,37000.0
2021,Ford,F250 Super Duty Crew Cab,Pickup,53200.0
2021,Ford,Mustang,"Coupe,Convertible",27155.0
2021,Ford,Ranger SuperCrew,Pickup,27470.0
2021,Ford,Transit Connect Cargo Van,Van/Minivan,24655.0
2021,Genesis,G70,Sedan,36000.0
2021,Genesis,G80,Sedan,47700.0
2021,Genesis,GV80,SUV,48900.0
2021,GMC,Acadia,SUV,29800.0
2021,GMC,Canyon Crew Cab,Pickup,28700.0
2021,GMC,Canyon Extended Cab,Pickup,26800.0
2021,GMC,Sierra 1500 Crew Cab,Pickup,29700.0
2021,GMC,Sierra 2500 HD Crew Cab,Pickup,40600.0
2021,GMC,Sierra 3500 HD Crew Cab,Pickup,41800.0
2021,GMC,Terrain,SUV,25000.0
2021,GMC,Yukon,SUV,51000.0
2021,GMC,Yukon XL,SUV,53700.0
2021,Honda,Accord,Sedan,24970.0
2021,Honda,Accord Hybrid,Sedan,26570.0
2021,Honda,Civic,"Hatchback,Sedan",21250.0
2021,Honda,Civic Type R,Hatchback,37895.0
2021,Honda,CR-V,SUV,25350.0
2021,Honda,CR-V Hybrid,SUV,30560.0
2021,Honda,HR-V,SUV,21220.0
2021,Honda,Insight,Sedan,23130.0
2021,Honda,Odyssey,Van/Minivan,31790.0
2021,Honda,Passport,SUV,32790.0
2021,Honda,Ridgeline,Pickup,36490.0
2021,Honda,Pilot,SUV,32550.0
2021,Hyundai,Accent,Sedan,15395.0
2021,Hyundai,Elantra,Sedan,19650.0
2021,Hyundai,Ioniq Electric,Hatchback,33245.0
2021,Hyundai,Ioniq Hybrid,Hatchback,23400.0
2021,Hyundai,Ioniq Plug-in Hybrid,Hatchback,26700.0
2021,Hyundai,Kona Electric,SUV,37390.0
2021,Hyundai,Kona,SUV,20500.0
2021,Hyundai,Palisade,SUV,32675.0
2021,Hyundai,Santa Fe,SUV,27000.0
2021,Hyundai,Sonata,Sedan,23950.0
2021,Hyundai,Sonata Hybrid,Sedan,27750.0
2021,Hyundai,Veloster,Coupe,18900.0
2021,Hyundai,Venue,SUV,18750.0
2021,Hyundai,Tucson,SUV,23700.0
2021,INFINITI,Q50,Sedan,36700.0
2021,INFINITI,QX50,SUV,38050.0
2021,Jaguar,E-PACE,SUV,40995.0
2021,INFINITI,QX80,SUV,69150.0
2021,Jaguar,I-PACE,SUV,69850.0
2021,Jeep,Cherokee,SUV,27210.0
2021,Jeep,Compass,SUV,24495.0
2021,Jeep,Gladiator,Pickup,34040.0
2021,Jeep,Grand Cherokee,SUV,33120.0
2021,Jeep,Grand Cherokee L,SUV,36995.0
2021,Jeep,Wrangler,SUV,27900.0
2021,Jeep,Renegade,SUV,22850.0
2021,Jeep,Wrangler Unlimited,SUV,31975.0
2021,Kia,Forte,Sedan,17890.0
2021,Kia,K5,Sedan,23590.0
2021,Kia,Rio,"Hatchback,Sedan",16050.0
2021,Kia,Sorento,SUV,29390.0
2021,Kia,Seltos,SUV,21990.0
2021,Kia,Soul,Wagon,17590.0
2021,Kia,Sportage,SUV,24090.0
2021,Kia,Stinger,Sedan,33090.0
2021,Kia,Telluride,SUV,32190.0
2021,Land Rover,Discovery,SUV,53900.0
2021,Kia,Sedona,Van/Minivan,30400.0
2021,Land Rover,Range Rover Sport,SUV,69500.0
2021,Land Rover,Range Rover Velar,SUV,56900.0
2021,Lexus,ES,Sedan,40000.0
2021,Lexus,GX,SUV,53450.0
2021,Lexus,IS,Sedan,39050.0
2021,Lexus,NX,SUV,37610.0
2021,Lexus,RC,Coupe,42220.0
2021,Lexus,RX,SUV,45220.0
2021,Lexus,UX,SUV,33000.0
2021,Lincoln,Aviator,SUV,51570.0
2021,Lincoln,Corsair,SUV,36105.0
2021,Lincoln,Nautilus,SUV,42500.0
2021,MAZDA,CX-3,SUV,20790.0
2021,MAZDA,CX-30,SUV,22050.0
2021,MAZDA,CX-5,SUV,25370.0
2021,MAZDA,CX-9,SUV,34160.0
