Year,Make,Price,Category
2020,Audi,,SUV
2020,Chevrolet,,Sedan
2020,Cadillac,,SUV
2020,Chevrolet,,Coupe
2020,Acura,,Sedan
2020,Chevrolet,,Pickup
2020,BMW,,Sedan
2020,Chrysler,,Van
2020,Chevrolet,,Pickup
2020,BMW,,SUV
2020,Acura,,Sedan
2020,Chevrolet,,Pickup
2020,BMW,,Sedan
2020,Ford,,Sedan
2020,Buick,,SUV
2020,Audi,,SUV
2020,Audi,,Coupe
2020,Chevrolet,,SUV
2020,Acura,,SUV
2020,INFINITI,,SUV
2020,Buick,,SUV
2020,GMC,,Pickup
2020,Honda,,Sedan
2020,Cadillac,,SUV
2020,Cadillac,,SUV
2020,Cadillac,,SUV
2020,Buick,,SUV
2020,Audi,,SUV
2020,Hyundai,,SUV
2020,Ford,,SUV
2020,Ford,,SUV
2020,Ford,,Coupe
2020,Hyundai,,Sedan
2020,Ford,,SUV
2020,Chevrolet,,Convertible
2020,Hyundai,,SUV
2020,Chevrolet,,SUV
2020,GMC,,Pickup
2020,Jeep,,Pickup
2020,BMW,,SUV
2020,Cadillac,,Sedan
2020,Audi,,Sedan
2020,Chevrolet,,SUV
2020,Ford,,Pickup
2020,Chevrolet,,SUV
2020,Honda,,Hatchback
2020,Jeep,,SUV
2020,Cadillac,,SUV
2020,Chrysler,,Van
2020,Honda,,Sedan
2020,GMC,,SUV
2020,Chevrolet,,Hatchback
2020,GMC,,Pickup
2020,Hyundai,,SUV
2020,Hyundai,,Coupe
2020,Chevrolet,,Pickup
2020,Genesis,,Sedan
2020,Cadillac,,Sedan
2020,Honda,,Van
2020,Hyundai,,Hatchback
2020,Acura,,SUV
2020,GMC,,SUV
2020,Ford,,Pickup
2020,Ford,,SUV
2020,Hyundai,,SUV
2020,INFINITI,,SUV
2020,Dodge,,SUV
2020,GMC,,SUV
2020,Hyundai,,SUV
2020,Honda,,Pickup
2020,Jeep,,SUV
2020,Chevrolet,,Hatchback
2020,Ford,,SUV
2020,Hyundai,,Sedan
2020,Honda,,SUV
2020,Dodge,,Sedan
2020,Honda,,Sedan
2020,INFINITI,,SUV
2020,Hyundai,,SUV
2020,Honda,,SUV
2020,Jeep,,SUV
2020,Chevrolet,,SUV
2020,GMC,,SUV
2020,Chevrolet,,Sedan
2020,Honda,,SUV
2020,BMW,,SUV
2020,INFINITI,,Coupe
2020,Ford,,Pickup
2020,Chevrolet,,SUV
2020,Hyundai,,Hatchback
2020,Jaguar,,SUV
2020,Hyundai,,SUV
2020,Ford,,SUV
2020,Honda,,SUV
2020,Jaguar,,SUV
2020,INFINITI,,Sedan
2020,Genesis,,Sedan
