EmpID,BusinessUnit,Education,FieldOfStudy,Gender,Age,ProximityToHome,Travel,JobGrade,JobRole,MaritalStatus,MonthlyPay,PreviousEmployers,SalaryIncrement,PerformanceRating,WorkingExperience,TrainingAttended,WorkLifeBalance,WithCompany,CurrentRole,LastPromoted,CurrentManager,SatisfactionCompany,SatisfactionRole,SatisfactionCoworkers,LeftCompany
1000,Product Development,1,Sciences,Male,39,1,Regular,5,Section Manager,Divorced,19197,1,7,3,21,3,3,21,8,1,6,2,3,3,No
1001,Product Development,4,Sciences,Male,41,9,Rare,1,Technical Support,Divorced,2289,1,13,4,5,2,3,5,3,0,4,3,1,2,No
1002,Business Development,4,Marketing,Male,31,16,Rare,3,Account Manager,Married,8161,2,6,3,10,2,3,1,0,0,0,1,3,1,Yes
1003,Business Development,4,Marketing,Female,34,4,None,2,Account Manager,Married,6538,9,8,3,6,3,3,3,2,1,2,3,3,1,No
1004,Business Development,4,Sciences,Male,43,2,Regular,2,Account Manager,Married,5675,1,13,4,7,5,3,7,7,7,7,1,4,3,No
1005,Product Development,3,Sciences,Female,45,2,Rare,1,Product Research ,Single,2274,1,7,3,1,3,3,1,0,0,0,2,3,4,No
1006,Business Development,3,Sciences,Male,28,7,Regular,2,Account Manager,Single,4898,0,7,3,5,5,3,4,2,1,3,3,1,4,No
1007,Business Development,4,Engineering,Male,30,29,Rare,3,Account Manager,Married,9250,3,5,3,9,3,3,4,2,1,3,3,2,2,No
1008,Business Development,3,Business Tech,Male,35,10,Rare,3,Account Manager,Married,10306,9,10,3,15,3,3,13,12,6,0,4,1,3,Yes
1009,HR,2,Business Tech,Male,28,8,Rare,1,HR,Divorced,4936,1,6,3,6,6,3,5,1,0,4,2,4,4,No
1010,HR,2,Business Tech,Male,46,5,Rare,2,HR,Divorced,5021,8,15,4,16,2,3,4,2,0,2,2,2,4,No
1011,Product Development,3,Sciences,Male,28,1,Rare,1,Product Research ,Divorced,1563,1,7,3,1,2,1,1,0,0,0,1,3,4,No
1012,Product Development,4,Engineering,Female,27,16,Rare,1,Technical Support,Married,2811,9,7,3,4,2,3,2,2,2,2,3,2,2,No
1013,Product Development,2,Business Tech,Female,31,7,Rare,2,Manufacturing Head,Married,4306,1,5,3,13,5,1,13,10,3,12,2,1,2,No
1014,Product Development,3,Other,Female,32,13,Regular,1,Technical Support,Married,2743,1,13,4,2,2,3,2,2,2,2,3,2,3,No
1015,Business Development,3,Engineering,Female,38,10,None,2,Account Manager,Single,5666,1,6,3,6,1,3,5,3,1,3,3,4,2,No
1016,Product Development,1,Business Tech,Male,39,10,Rare,4,Section Manager,Married,17068,1,7,3,21,3,3,21,9,11,10,3,1,4,No
1017,Product Development,1,Engineering,Female,31,24,Regular,2,Manufacturing Head,Single,5238,2,13,4,9,3,2,5,4,1,4,4,4,4,No
1018,Product Development,3,Business Tech,Female,20,11,Rare,1,Product Research ,Single,2600,1,8,3,1,2,3,1,0,0,0,4,1,1,Yes
1019,Business Development,4,Business Tech,Female,50,1,Rare,5,Section Manager,Divorced,19517,3,3,1,32,3,2,7,0,0,6,4,4,3,No
1020,Product Development,1,Sciences,Male,23,20,Rare,2,Technical Support,Single,2272,0,7,3,5,2,3,4,3,1,2,1,3,2,No
1021,Business Development,3,Marketing,Male,31,7,Rare,2,Account Manager,Divorced,7547,4,5,3,13,3,3,7,7,1,7,4,4,4,No
1022,Business Development,3,Business Tech,Female,27,11,Rare,1,Account Executive,Married,2534,8,7,3,5,4,3,1,0,0,0,3,4,2,No
1023,Business Development,1,Marketing,Male,48,2,Rare,2,Account Manager,Married,8120,3,5,3,12,3,3,2,2,2,2,2,2,4,No
1024,Product Development,3,Sciences,Female,40,16,Rare,3,Manufacturing Head,Single,7945,6,8,3,18,2,2,4,2,3,3,3,4,4,No
1025,Business Development,4,Sciences,Female,45,2,None,2,Account Manager,Married,5154,4,15,4,10,3,4,8,7,5,7,3,3,2,No
1026,Product Development,4,Sciences,Male,32,24,Regular,2,Technical Support,Married,5309,1,8,3,10,2,3,10,8,4,7,1,4,4,No
1027,Product Development,2,Business Tech,Male,35,11,None,3,Product Executive,Married,9884,2,6,3,10,3,3,4,0,2,3,3,1,3,No
1028,Product Development,2,Sciences,Male,34,1,Rare,1,Product Research ,Married,3622,1,6,3,6,3,3,6,5,1,3,2,4,4,No
1029,Product Development,4,Sciences,Male,56,1,None,2,Product Executive,Divorced,6306,1,14,4,13,2,2,13,12,1,9,3,3,1,No
1030,Product Development,1,Business Tech,Male,25,2,Rare,1,Product Research ,Single,3424,7,6,3,6,3,2,4,3,0,1,1,1,3,No
1031,Business Development,4,Business Tech,Male,37,1,Regular,2,Account Manager,Divorced,9525,1,7,3,6,2,2,6,3,1,3,3,4,3,No
1032,Business Development,3,Sciences,Female,59,3,Rare,2,Account Manager,Single,5171,5,10,3,13,2,3,6,1,0,5,3,4,4,No
1033,Product Development,2,Sciences,Male,29,24,Regular,1,Product Research ,Single,2439,1,15,4,1,3,2,1,0,1,0,4,4,2,Yes
1034,Business Development,3,Engineering,Male,31,7,Rare,2,Account Manager,Married,6929,4,4,3,10,3,2,8,7,7,7,2,4,2,No
1035,Product Development,1,Sciences,Female,38,17,Rare,3,Product Executive,Married,8823,0,11,3,20,4,2,19,9,1,9,3,3,1,No
1036,Business Development,3,Marketing,Female,54,3,Rare,2,Account Manager,Married,5940,2,7,3,16,4,3,6,2,0,5,4,1,4,No
