Year,Make,Price,Category
2021,0,26100,0
2021,0,38400,1
2021,0,37500,0
2021,1,40350,0
2021,1,42350,1
2021,2,65900,2
2021,2,69200,0
2021,2,34000,1
2021,2,43300,1
2021,2,68200,1
2021,2,52500,3
2021,2,74400,0
2021,3,41250,0
2021,3,35400,1
2021,3,43000,1
2021,3,59400,1
2021,3,74900,1
2021,4,40300,1
2021,4,23200,1
2021,4,24200,1
2021,4,31800,1
2021,5,33395,0
2021,5,36995,0
2021,5,76195,1
2021,5,79195,1
2021,5,35795,1
2021,5,43995,1
2021,5,48045,1
2021,6,28800,1
2021,6,36500,4
2021,6,25000,5
2021,6,25200,6
2021,6,27100,6
2021,6,59900,3
2021,6,39895,7
2021,6,23800,1
2021,6,22270,0
2021,6,33200,6
2021,6,34900,6
2021,6,37700,6
2021,6,35300,6
2021,6,80000,6
2021,6,13600,4
2021,6,52300,1
2021,6,49600,1
2021,6,19000,1
2021,6,29800,1
2021,6,21400,1
2021,7,31370,0
2021,7,35820,7
2021,7,27860,7
2021,8,28870,5
2021,8,32570,1
2021,8,30570,0
2021,9,25815,1
2021,10,26820,1
2021,10,20395,1
2021,10,32750,1
2021,10,25555,1
2021,10,49025,1
2021,10,54810,1
2021,10,32675,1
2021,10,37000,6
2021,10,53200,6
2021,10,27155,5
2021,10,27470,6
2021,10,24655,7
2021,11,36000,0
2021,11,47700,0
2021,11,72950,0
2021,11,48900,1
2021,12,29800,1
2021,12,28700,6
2021,12,26800,6
2021,12,29700,6
2021,12,40600,6
2021,12,41800,6
2021,12,25000,1
2021,12,51000,1
2021,12,53700,1
2021,13,24970,0
2021,13,26570,0
2021,13,21250,4
2021,13,37895,4
2021,13,25350,1
2021,13,30560,1
2021,13,21220,1
2021,13,23130,0
2021,13,31790,7
2021,13,32790,1
2021,13,36490,6
2021,13,32550,1
2021,14,15395,0
2021,14,19650,0
2021,14,33245,4
2021,14,23400,4
2021,14,26700,4
2021,14,37390,1
2021,14,20500,1
2021,14,32675,1
2021,14,27000,1
2021,14,23950,0
2021,14,27750,0
2021,14,18900,5
2021,14,18750,1
2021,14,23700,1
2021,15,36700,0
2021,15,38050,1
2021,16,40995,1
2021,15,69150,1
2021,16,69850,1
2021,17,27210,1
2021,17,24495,1
2021,17,34040,6
2021,17,33120,1
2021,17,36995,1
2021,17,27900,1
2021,17,22850,1
2021,17,31975,1
2021,18,17890,0
2021,18,23590,0
2021,18,16050,4
2021,18,29390,1
2021,18,21990,1
2021,18,17590,2
2021,18,24090,1
2021,18,33090,0
2021,18,32190,1
2021,19,53900,1
2021,18,30400,7
2021,19,92000,1
2021,19,69500,1
2021,19,56900,1
2021,20,40000,0
2021,20,53450,1
2021,20,39050,0
2021,20,93050,5
2021,20,76000,0
2021,20,86830,1
2021,20,37610,1
2021,20,42220,5
2021,20,45220,1
2021,20,33000,1
2021,21,51570,1
2021,21,36105,1
2021,21,42500,1
2021,21,76750,1
2021,21,85715,1
2021,22,20790,1
2021,22,22050,1
2021,22,25370,1
2021,22,34160,1
2021,22,24475,0
2021,22,20650,4
2021,22,26830,3
2021,22,33045,3
2021,23,41600,5
2021,23,33650,0
2021,23,36230,1
2021,23,131750,1
2021,23,38050,1
2021,23,54750,1
2021,23,43200,1
2021,24,20995,1
2021,23,160000,1
2021,25,24450,0
2021,25,27190,6
2021,25,28300,6
2021,25,19550,1
2021,25,31670,4
2021,25,37090,0
2021,25,32810,1
2021,25,36330,7
2021,25,25850,1
2021,25,19460,0
2021,25,45430,6
2021,25,14980,0
2021,26,59900,4
2021,27,62000,3
2021,27,59900,5
2021,27,67500,1
2021,27,97300,3
2021,27,99200,5
2021,27,52100,1
2021,27,79900,0
2021,27,87200,0
2021,27,76500,1
2021,28,38575,6
2021,28,35645,6
2021,28,32385,7
2021,28,25065,7
2021,28,47875,6
2021,29,77500,1
2021,30,22245,1
2021,29,75000,6
2021,28,31540,7
2021,30,32295,1
2021,30,18795,2
2021,30,24795,1
2021,30,22895,0
2021,30,26795,1
2021,31,69420,0
2021,31,79990,1
2021,32,36765,1
2021,32,36125,0
2021,32,37100,0
2021,32,25045,0
2021,32,27270,0
2021,32,21595,1
2021,32,20025,0
2021,32,20715,4
2021,32,23600,0
2021,32,43090,5
2021,32,35085,1
2021,32,38735,1
2021,32,85665,1
2021,32,24525,4
2021,32,28220,4
2021,32,26250,1
2021,32,28500,1
2021,32,38250,1
2021,32,50400,1
2021,32,34460,7
2021,32,26400,6
2021,32,27230,6
2021,32,38320,6
2021,32,34025,6
2021,32,32570,1
2021,33,31545,1
2021,33,30855,1
2021,33,18995,0
2021,33,23195,4
2021,33,23995,0
2021,34,60050,0
2021,34,51800,2
2021,34,40950,2
2021,33,25245,1
2021,34,33700,1
2021,34,41700,1
2021,34,49000,1
