Month,Outage Capacity (MW),Remaining Capacity (MW)
1/1/2003,954,8085
1/2/2003,1818,7221
1/3/2003,2004,7035
1/4/2003,1364,7676
1/5/2003,1377,7663
1/6/2003,1526,7513
1/7/2003,1851,7189
1/8/2003,1694,7345
1/9/2003,1226,7813
1/10/2003,1707,7333
1/11/2003,2147,6893
1/12/2003,1479,7561
1/1/2004,829,8210
1/2/2004,1311,8088
1/3/2004,1675,7724
1/4/2004,1418,7981
1/5/2004,1387,8013
1/6/2004,2094,7665
1/7/2004,1356,8403
1/8/2004,1954,7805
1/9/2004,2114,7645
1/10/2004,2909,6850
1/11/2004,2462,7298
1/12/2004,2542,7218
1/1/2005,2442,7322
1/2/2005,2084,8046
1/3/2005,2435,7695
1/4/2005,2254,7876
1/5/2005,2035,8463
1/6/2005,2107,8391
1/7/2005,1690,8822
1/8/2005,1348,9165
1/9/2005,1750,8762
1/10/2005,1852,8556
1/11/2005,1530,8877
1/12/2005,1507,8901
1/1/2006,1863,8545
1/2/2006,1619,8788
1/3/2006,1407,9000
1/4/2006,2158,8250
1/5/2006,1926,8481
1/6/2006,2089,8319
1/7/2006,2050,8358
1/8/2006,2435,7972
1/9/2006,1662,8745
1/10/2006,1782,8625
1/11/2006,1458,9449
1/12/2006,1787,9120
1/1/2007,1982,8925
1/2/2007,2245,8663
1/3/2007,2462,8446
1/4/2007,1853,9055
1/5/2007,1853,9055
1/6/2007,1590,9317
1/7/2007,1039,9868
1/8/2007,2214,8693
1/9/2007,1415,9492
1/10/2007,2155,8752
1/11/2007,2110,8797
1/12/2007,1724,8933
1/1/2008,1350,9307
1/2/2008,1437,9221
1/3/2008,1960,8697
1/4/2008,1289,9368
1/5/2008,1603,9055
1/6/2008,1158,9499
1/7/2008,1131,9526
1/8/2008,1681,8976
1/9/2008,1218,9440
1/10/2008,1687,8971
1/11/2008,1965,8692
1/12/2008,1947,8711
1/1/2009,2195,8462
1/2/2009,2146,8261
1/3/2009,1541,8866
1/4/2009,1813,8594
1/5/2009,1605,8802
1/6/2009,1758,8649
1/7/2009,1858,8549
1/8/2009,1579,8828
1/9/2009,2157,8250
1/10/2009,1508,8908
1/11/2009,1975,8546
1/12/2009,1260,8511
1/1/2010,1275,8496
1/2/2010,1395,8376
1/3/2010,1531,8240
1/4/2010,1037,8734
1/5/2010,1416,8355
1/6/2010,1409,8362
1/7/2010,1694,8817
1/8/2010,1653,8858
1/9/2010,998,9513
1/10/2010,1593,8918
1/11/2010,1505,9006
1/12/2010,2133,8378
1/1/2011,2296,8110
1/2/2011,1355,9051
1/3/2011,1570,8836
1/4/2011,2107,8359
1/5/2011,1313,9153
1/6/2011,1018,9448
1/7/2011,1486,8980
1/8/2011,1796,8670
1/9/2011,1688,8528
1/10/2011,1608,8608
1/11/2011,1544,8672
1/12/2011,1500,8716
1/1/2012,1845,8371
1/2/2012,1329,8887
1/3/2012,2156,8060
1/4/2012,2017,8199
1/5/2012,1770,8446
1/6/2012,2691,7525
1/7/2012,2082,8134
1/8/2012,1592,9486
1/9/2012,1256,9822
1/10/2012,1235,9243
1/11/2012,1414,9064
1/12/2012,1763,8715
1/1/2013,1533,8945
1/2/2013,1781,8697
1/3/2013,1826,9062
1/4/2013,1480,9628
1/5/2013,1507,9601
1/6/2013,1563,9545
1/7/2013,1483,10135.5
1/8/2013,1160,10458.5
1/9/2013,1243,10375.5
1/10/2013,1243,10375.5
1/11/2013,1507,10111.5
1/12/2013,1671,9947.5
1/1/2014,1474,10544.5
1/2/2014,1093,11325.5
1/3/2014,1376,11042.5
1/4/2014,1782,11042.4
1/5/2014,1455,11406.2
1/6/2014,1472,11284.2
1/7/2014,1670,11086.2
1/8/2014,1782,10974.2
1/9/2014,1781,10975.2
1/10/2014,1747,11413
