Year,Total Population Growth (Per Cent)
1950,4.4
1951,4.5
1952,5.5
1953,5.7
1954,4.7
1955,4.6
1956,5.1
1957,5.4
1958,5
1959,4.5
1960,3.7
1961,3.4
1962,2.8
1963,2.6
1964,2.6
1965,2.5
1966,2.5
1967,2.2
1968,1.7
1969,1.5
1970,2.8
1971,1.9
1972,1.9
1973,1.9
1974,1.7
1975,1.5
1976,1.4
1977,1.4
1978,1.2
1979,1.3
1980,1.5
1981,4.9
1982,4.5
1983,1.3
1984,1.9
1985,0.1
1986,-0.1
1987,1.5
1988,2.6
1989,3
1990,2.3
1991,2.9
1992,3
1993,2.6
1994,3.2
1995,3.1
1996,4.1
1997,3.4
1998,3.5
1999,0.8
2000,1.7
2001,2.7
2002,0.9
2003,0.2
2004,1.3
2005,2.4
2006,3.2
2007,4.3
2008,5.5
2009,3.1
2010,1.8
2011,2.1
2012,2.5
2013,1.6
2014,1.3
2015,1.2
2016,1.3
2017,0.1
2018,0.5
2019,1.2
2020,-0.3
2021,-4.1
2022,3.4
