Date,Average Monthly Household Electricity Consumption (kWh)
Jan-05,418.1
Feb-05,408.3
Mar-05,446.9
Apr-05,496.2
May-05,496.8
Jun-05,519.7
Jul-05,497.7
Aug-05,489.3
Sep-05,477.7
Oct-05,480.8
Nov-05,479.7
Dec-05,441.6
Jan-06,430.5
Feb-06,418.2
Mar-06,433.6
Apr-06,472.2
May-06,481.2
Jun-06,491.1
Jul-06,472.6
Aug-06,500.8
Sep-06,498.7
Oct-06,483.3
Nov-06,491.2
Dec-06,454.1
Jan-07,434
Feb-07,407.2
Mar-07,413.5
Apr-07,467.1
May-07,495.8
Jun-07,507.8
Jul-07,513.8
Aug-07,505.8
Sep-07,467.8
Oct-07,468.2
Nov-07,497.9
Dec-07,444.9
Jan-08,424
Feb-08,429
Mar-08,406.8
Apr-08,444.3
May-08,491
Jun-08,516.3
Jul-08,473.8
Aug-08,459.1
Sep-08,466.8
Oct-08,467.9
Nov-08,481
Dec-08,433
Jan-09,426.7
Feb-09,412.5
Mar-09,412
Apr-09,455.3
May-09,496.1
Jun-09,541.9
Jul-09,529.2
Aug-09,507.1
Sep-09,492.5
Oct-09,492.5
Nov-09,497.5
Dec-09,455.9
Jan-10,433.4
Feb-10,446.1
Mar-10,482.1
Apr-10,513.5
May-10,505.4
Jun-10,531.5
Jul-10,502.4
Aug-10,471.9
Sep-10,472
Oct-10,486.9
Nov-10,509.6
Dec-10,466.3
Jan-11,436.2
Feb-11,404.1
Mar-11,404
Apr-11,454.5
May-11,490.1
Jun-11,521
Jul-11,505.5
Aug-11,508.6
Sep-11,501.4
Oct-11,479.3
Nov-11,463.8
Dec-11,431.9
Jan-12,431.1
Feb-12,430.9
Mar-12,432.2
Apr-12,459.1
May-12,472.5
Jun-12,514
Jul-12,502.9
Aug-12,493.9
Sep-12,483.2
Oct-12,471.1
Nov-12,478
Dec-12,440.3
Jan-13,430.2
Feb-13,418.9
Mar-13,417.4
Apr-13,473.9
May-13,508.1
Jun-13,525.1
Jul-13,508.6
Aug-13,513
Sep-13,465.9
Oct-13,459
Nov-13,471.1
Dec-13,436.8
Jan-14,420.2
Feb-14,402.5
Mar-14,400
Apr-14,462.4
May-14,494.6
Jun-14,516.2
Jul-14,506.6
Aug-14,510
Sep-14,474.7
Oct-14,463.5
Nov-14,486.8
Dec-14,453
Jan-15,414.7
Feb-15,390.6
Mar-15,403.3
Apr-15,463.7
May-15,476.3
Jun-15,491
Jul-15,500.4
Aug-15,507.9
Sep-15,491.8
Oct-15,494.2
Nov-15,506.8
Dec-15,476.6
Jan-16,436
Feb-16,443.2
Mar-16,444.8
Apr-16,490.5
May-16,520.7
Jun-16,531.7
Jul-16,480.7
Aug-16,483.8
Sep-16,484.1
Oct-16,483.9
Nov-16,478.9
Dec-16,425.6
Jan-17,419.5
Feb-17,423.9
Mar-17,390.4
Apr-17,426.6
May-17,453.6
Jun-17,501.7
Jul-17,507.5
Aug-17,453.7
Sep-17,442.8
Oct-17,447.4
Nov-17,446.5
Dec-17,416.4
Jan-18,398
Feb-18,371
Mar-18,378.5
Apr-18,430
May-18,447.2
Jun-18,473.4
Jul-18,443.4
Aug-18,432.8
Sep-18,441.9
Oct-18,441.4
Nov-18,422
Dec-18,382
Jan-19,399.7
Feb-19,406.7
Mar-19,393.5
Apr-19,425.3
May-19,448.4
Jun-19,448.1
Jul-19,431.9
Aug-19,447.4
Sep-19,464.4
Oct-19,449.7
Nov-19,433.4
Dec-19,399
Jan-20,383.1
Feb-20,405.5
Mar-20,419.7
Apr-20,452.2
May-20,450.3
Jun-20,590.4
Jul-20,600.5
Aug-20,483.3
Sep-20,459.2
Oct-20,443.9
Nov-20,454.6
Dec-20,444.8
Jan-21,417.6
Feb-21,397.9
Mar-21,399
Apr-21,449.4
May-21,477.4
Jun-21,522.2
Jul-21,501.7
Aug-21,509.5
Sep-21,468.5
Oct-21,455.4
Nov-21,451.6
Dec-21,453.5
