Year,Make,Model,Category
2000,Ford,E350,Family
2001,Chevy,"Venture ""Extended Edition""",Sedan
2002,Chevy,"Venture ""Extended Edition, Very Large""",Sports
2003,Jeep,Grand Cherokee,Unknown
2004,Toyota,Wish,SUV
2005,Honda,Jaxx,SUV
2006,Nissan,Skyline,SUV
2007,Ford,Mustang,Sedan
2008,Range Rover,Pathfinder,SUV
2009,Volvo,X6,Sedan
2010,BMW,i3,SUV
2011,Mercedes Benz,C cLass,SUV
2012,Subaru,BRZ,Sedan
2013,Audi,R8,Sedan
2014,Mercedes Benz,G50,SUV
2015,Ford,F450,TeasportTransport
2016,Ferrai,Spider,Sports
2017,American ,Chopper,Personal
2018,Kawasaki,Ninja,Luxury
2019,Daihatsu,Super,Sedan
2020,Tesla,Model S,Sedan
