Year,Make,Model,Category,Price
2000,Ford,E350,Family,31489.58629
2001,Chevy,"Venture ""Extended Edition""",Sedan,54967.44775
2002,Chevy,"Venture ""Extended Edition, Very Large""",Sports,
2003,Jeep,Grand Cherokee,Unknown,50508.90589
2004,Toyota,Wish,SUV,
2005,Honda,Jaxx,SUV,29106.68264
2006,Nissan,Skyline,SUV,47948.16762
2007,Ford,Mustang,Sedan,39035.06934
2008,Range Rover,Pathfinder,SUV,17960.83823
2009,Volvo,X6,Sedan,
2010,BMW,i3,SUV,51615.34449
2011,Mercedes Benz,C cLass,SUV,7522.392529
2012,Subaru,BRZ,Sedan,21631.66624
2013,Audi,R8,Sedan,38356.58875
2014,Mercedes Benz,G50,SUV,65594.42391
2015,Ford,F450,TeasportTransport,2899.589514
2016,Ferrai,Spider,Sports,69035.94765
2017,American ,Chopper,Personal,79667.59612
2018,Kawasaki,Ninja,Luxury,94841.27483
2019,Daihatsu,Super,Sedan,99393.88083
2020,Tesla,Model S,Sedan,14426.69663
