Year,Make,Model,Price
2000,Ford,E350,31489.58629
2001,Chevy,"Venture ""Extended Edition""",54967.44775
2002,Chevy,"Venture ""Extended Edition",
2003,Jeep,Grand Cherokee,50508.90589
2004,Toyota,Wish,
2005,Honda,Jaxx,29106.68264
2006,Nissan,Skyline,47948.16762
2007,Ford,Mustang,39035.06934
2008,Range,Rover Pathfinder,17960.83823
2009,Volvo,X6,
2010,BMW,i3,51615.34449
2011,Mercedes Benz,C CLass,7522.392529
2012,Subaru,BRZ,21631.66624
2013,Audi,R8,38356.58875
2014,Mercedes Benz,G50,65594.42391
2015,Ford,F450,2899.589514
2016,Ferrai,Spider,69035.94765
2017,American,Chopper,79667.59612
2018,Kawasaki,Ninja,94841.27483
2019,Daihatsu,Super,99393.88083
2020,Tesla,Model S,14426.69663
