Month,Coarse wool Price,Copra Price,Cotton Price,Fine wool Price,Hard log Price,Hard sawnwood Price,Hide Price,Plywood Price,Rubber Price,Softlog Price,Soft sawnwood Price,Wood pulp Price
1990-04-01,482.34,236.0,1.83,1071.63,161.2,549.91,100.0,312.36,0.84,120.66,218.76,829.29
1990-05-01,447.26,234.0,1.89,1057.18,172.86,491.88,99.46,350.12,0.85,124.28,213.0,842.51
1990-06-01,440.99,216.0,1.99,898.24,181.67,495.39,97.9,373.94,0.85,129.45,200.0,831.35
1990-07-01,418.44,205.0,2.01,895.83,187.96,485.86,96.75,378.48,0.86,124.23,210.05,798.83
1990-08-01,418.44,198.0,1.79,951.22,186.13,487.52,91.89,364.6,0.88,129.7,208.3,818.74
1990-09-01,412.18,196.0,1.79,936.77,185.33,487.75,87.66,384.92,0.9,129.78,199.59,811.62
1990-10-01,394.64,198.0,1.79,901.85,189.76,505.24,84.59,409.31,0.9,121.31,206.98,807.46
1990-11-01,334.5,236.0,1.82,888.61,179.02,511.33,82.86,375.74,0.9,130.5,206.64,773.37
1990-12-01,328.24,237.0,1.85,870.55,171.13,499.2,84.85,363.16,0.88,119.35,198.22,741.29
1991-01-01,319.47,233.0,1.85,887.41,169.19,497.05,81.64,362.26,0.87,126.14,186.94,721.85
1991-02-01,323.23,226.0,1.87,596.02,176.93,492.56,75.9,371.7,0.85,126.77,220.67,706.81
1991-03-01,328.24,236.0,1.86,586.39,162.57,491.12,76.6,364.43,0.83,122.87,211.42,655.35
1991-04-01,365.82,224.0,1.83,596.02,175.59,495.44,86.45,368.34,0.82,126.26,209.34,616.52
1991-05-01,371.88,226.0,1.82,721.0,174.04,509.75,88.72,365.84,0.82,123.5,211.31,611.53
1991-06-01,340.6,245.0,1.78,777.51,200.15,480.3,86.7,361.26,0.84,121.46,228.71,588.47
1991-07-01,337.48,303.0,1.7,723.48,207.82,480.3,83.91,365.92,0.82,126.27,218.17,581.43
1991-08-01,337.22,299.0,1.62,680.64,210.57,553.48,77.52,363.6,0.82,125.48,212.42,572.43
1991-09-01,313.96,296.0,1.55,613.45,210.68,582.79,74.05,375.24,0.81,129.06,228.87,561.8
1991-10-01,308.39,353.0,1.5,558.18,214.44,573.05,75.36,386.32,0.83,123.25,218.33,499.91
