_id,rh_extremes_minimum,month
459,44,2020-03
458,45,2020-02
457,43,2020-01
456,47,2019-12
455,45,2019-11
454,38,2019-10
453,37,2019-09
452,35,2019-08
451,45,2019-07
450,47,2019-06
449,52,2019-05
448,48,2019-04
447,40,2019-03
446,46,2019-02
445,47,2019-01
444,47,2018-12
443,53,2018-11
442,33,2018-10
441,48,2018-09
440,39,2018-08
439,50,2018-07
438,51,2018-06
437,43,2018-05
436,39,2018-04
435,49,2018-03
434,49,2018-02
433,44,2018-01
432,51,2017-12
431,60,2017-11
430,45,2017-10
429,55,2017-09
428,54,2017-08
427,57,2017-07
426,51,2017-06
425,57,2017-05
424,50,2017-04
423,52,2017-03
422,59,2017-02
421,44,2017-01
420,34,2016-12
419,46,2016-11
418,38,2016-10
417,33,2016-09
416,41,2016-08
415,48,2016-07
414,45,2016-06
413,48,2016-05
412,46,2016-04
411,47,2016-03
410,55,2016-02
409,55,2016-01
408,49,2015-12
407,47,2015-11
406,35,2015-10
405,40,2015-09
404,40,2015-08
403,51,2015-07
402,42,2015-06
401,46,2015-05
400,48,2015-04
399,47,2015-03
398,49,2015-02
397,49,2015-01
396,51,2014-12
395,53,2014-11
394,40,2014-10
393,37,2014-09
392,53,2014-08
391,53,2014-07
390,45,2014-06
389,48,2014-05
388,44,2014-04
387,38,2014-03
386,43,2014-02
385,49,2014-01
384,45,2013-12
383,51,2013-11
382,42,2013-10
381,48,2013-09
380,50,2013-08
379,43,2013-07
378,36,2013-06
377,45,2013-05
376,46,2013-04
375,48,2013-03
374,54,2013-02
373,42,2013-01
372,61,2012-12
371,51,2012-11
370,51,2012-10
369,49,2012-09
368,54,2012-08
367,48,2012-07
366,49,2012-06
365,52,2012-05
364,54,2012-04
363,58,2012-03
362,55,2012-02
361,59,2012-01
360,57,2011-12
359,55,2011-11
358,55,2011-10
357,51,2011-09
356,52,2011-08
355,59,2011-07
354,56,2011-06
353,46,2011-05
352,55,2011-04
351,47,2011-03
350,41,2011-02
349,57,2011-01
348,54,2010-12
347,52,2010-11
346,43,2010-10
345,50,2010-09
344,50,2010-08
343,48,2010-07
342,55,2010-06
341,50,2010-05
340,55,2010-04
339,46,2010-03
338,47,2010-02
337,50,2010-01
336,61,2009-12
335,51,2009-11
334,49,2009-10
333,53,2009-09
332,51,2009-08
331,56,2009-07
330,53,2009-06
329,52,2009-05
328,48,2009-04
327,54,2009-03
326,42,2009-02
325,50,2009-01
324,52,2008-12
323,58,2008-11
322,58,2008-10
321,52,2008-09
320,55,2008-08
319,52,2008-07
318,54,2008-06
317,47,2008-05
316,56,2008-04
315,61,2008-03
314,49,2008-02
313,55,2008-01
312,49,2007-12
311,55,2007-11
310,49,2007-10
309,53,2007-09
308,58,2007-08
307,57,2007-07
306,50,2007-06
305,60,2007-05
304,50,2007-04
303,47,2007-03
302,51,2007-02
301,55,2007-01
300,54,2006-12
299,59,2006-11
298,44,2006-10
297,49,2006-09
296,52,2006-08
295,58,2006-07
294,59,2006-06
293,52,2006-05
292,53,2006-04
291,48,2006-03
290,58,2006-02
289,56,2006-01
288,55,2005-12
287,56,2005-11
286,57,2005-10
285,53,2005-09
284,54,2005-08
283,53,2005-07
282,50,2005-06
281,47,2005-05
280,42,2005-04
279,47,2005-03
278,45,2005-02
277,49,2005-01
276,58,2004-12
275,56,2004-11
274,43,2004-10
273,50,2004-09
272,47,2004-08
271,56,2004-07
270,49,2004-06
269,51,2004-05
268,46,2004-04
267,56,2004-03
266,51,2004-02
265,57,2004-01
264,60,2003-12
263,56,2003-11
262,54,2003-10
261,46,2003-09
260,48,2003-08
259,54,2003-07
258,36,2003-06
257,45,2003-05
256,48,2003-04
255,54,2003-03
254,55,2003-02
253,56,2003-01
252,56,2002-12
251,56,2002-11
250,42,2002-10
249,49,2002-09
248,50,2002-08
247,56,2002-07
246,56,2002-06
245,52,2002-05
244,50,2002-04
243,40,2002-03
242,53,2002-02
241,49,2002-01
240,55,2001-12
239,54,2001-11
238,47,2001-10
237,54,2001-09
236,50,2001-08
235,50,2001-07
234,49,2001-06
233,57,2001-05
232,50,2001-04
231,50,2001-03
230,58,2001-02
229,49,2001-01
228,60,2000-12
227,47,2000-11
226,51,2000-10
225,48,2000-09
224,46,2000-08
223,56,2000-07
222,53,2000-06
221,49,2000-05
220,54,2000-04
219,44,2000-03
218,58,2000-02
217,60,2000-01
216,56,1999-12
215,47,1999-11
214,53,1999-10
213,50,1999-09
212,51,1999-08
211,56,1999-07
210,54,1999-06
209,52,1999-05
208,46,1999-04
207,56,1999-03
206,58,1999-02
205,60,1999-01
204,55,1998-12
203,49,1998-11
202,48,1998-10
201,47,1998-09
200,56,1998-08
199,51,1998-07
198,50,1998-06
197,53,1998-05
196,53,1998-04
195,47,1998-03
194,50,1998-02
193,53,1998-01
192,50,1997-12
191,50,1997-11
190,49,1997-10
189,43,1997-09
188,52,1997-08
187,47,1997-07
186,49,1997-06
185,49,1997-05
184,46,1997-04
183,44,1997-03
182,52,1997-02
181,48,1997-01
180,55,1996-12
179,43,1996-11
178,52,1996-10
177,52,1996-09
176,50,1996-08
175,52,1996-07
174,56,1996-06
173,55,1996-05
172,56,1996-04
171,50,1996-03
170,52,1996-02
169,54,1996-01
168,58,1995-12
167,51,1995-11
166,45,1995-10
165,51,1995-09
164,58,1995-08
163,58,1995-07
162,51,1995-06
161,54,1995-05
160,53,1995-04
159,54,1995-03
158,60,1995-02
157,59,1995-01
156,58,1994-12
155,58,1994-11
154,43,1994-10
153,37,1994-09
152,52,1994-08
151,53,1994-07
150,55,1994-06
149,52,1994-05
148,54,1994-04
147,55,1994-03
146,53,1994-02
145,50,1994-01
144,57,1993-12
143,57,1993-11
142,51,1993-10
141,45,1993-09
140,51,1993-08
139,52,1993-07
138,50,1993-06
