temp_mean_daily_max,_id,month
32.9,459,2020-03
31.7,458,2020-02
31.7,457,2020-01
30.1,456,2019-12
32.3,455,2019-11
32.7,454,2019-10
33,453,2019-09
32.7,452,2019-08
32.1,451,2019-07
31.3,450,2019-06
32.7,449,2019-05
32.7,448,2019-04
33.5,447,2019-03
32.8,446,2019-02
31.7,445,2019-01
31.6,444,2018-12
31,443,2018-11
31.9,442,2018-10
31.2,441,2018-09
31.7,440,2018-08
31.3,439,2018-07
31.3,438,2018-06
32.4,437,2018-05
33.2,436,2018-04
32.4,435,2018-03
31.2,434,2018-02
29.8,433,2018-01
30.8,432,2017-12
30.8,431,2017-11
31.6,430,2017-10
31.2,429,2017-09
31,428,2017-08
31,427,2017-07
31.6,426,2017-06
31.4,425,2017-05
31.8,424,2017-04
31.1,423,2017-03
30.7,422,2017-02
30.7,421,2017-01
31.6,420,2016-12
30.7,419,2016-11
32.1,418,2016-10
32,417,2016-09
31.8,416,2016-08
31.7,415,2016-07
31.6,414,2016-06
33,413,2016-05
33.4,412,2016-04
33.1,411,2016-03
31.1,410,2016-02
31.8,409,2016-01
31.5,408,2015-12
32.1,407,2015-11
32.2,406,2015-10
31.7,405,2015-09
31.2,404,2015-08
31.9,403,2015-07
32,402,2015-06
32.2,401,2015-05
33.2,400,2015-04
32.5,399,2015-03
31.3,398,2015-02
30.7,397,2015-01
30.6,396,2014-12
31.6,395,2014-11
32.1,394,2014-10
31.8,393,2014-09
30.4,392,2014-08
31.6,391,2014-07
32.1,390,2014-06
32.1,389,2014-05
32.4,388,2014-04
32.8,387,2014-03
31.9,386,2014-02
29.6,385,2014-01
30.2,384,2013-12
31.3,383,2013-11
31.4,382,2013-10
30.6,381,2013-09
31,380,2013-08
31.1,379,2013-07
32.6,378,2013-06
31.8,377,2013-05
32.1,376,2013-04
32.4,375,2013-03
30.1,374,2013-02
30.8,373,2013-01
30.6,372,2012-12
31.4,371,2012-11
31.7,370,2012-10
31.3,369,2012-09
31,368,2012-08
30.8,367,2012-07
31.6,366,2012-06
31.7,365,2012-05
31.4,364,2012-04
31.1,363,2012-03
31.1,362,2012-02
30.6,361,2012-01
29.9,360,2011-12
31.1,359,2011-11
31,358,2011-10
30.9,357,2011-09
31,356,2011-08
31.9,355,2011-07
31.3,354,2011-06
32.4,353,2011-05
31.9,352,2011-04
31.3,351,2011-03
31.7,350,2011-02
29.7,349,2011-01
30.8,348,2010-12
31.6,347,2010-11
31.7,346,2010-10
31.8,345,2010-09
31.2,344,2010-08
30.9,343,2010-07
31.4,342,2010-06
33.2,341,2010-05
32.8,340,2010-04
33.1,339,2010-03
33.5,338,2010-02
31.2,337,2010-01
30.7,336,2009-12
31.5,335,2009-11
32.1,334,2009-10
31.7,333,2009-09
31.7,332,2009-08
31.7,331,2009-07
32.6,330,2009-06
32.2,329,2009-05
32.3,328,2009-04
31.4,327,2009-03
32.3,326,2009-02
30.7,325,2009-01
30.5,324,2008-12
31.2,323,2008-11
31.4,322,2008-10
31.1,321,2008-09
30.9,320,2008-08
30.8,319,2008-07
31.4,318,2008-06
32.2,317,2008-05
31.9,316,2008-04
30.1,315,2008-03
30.9,314,2008-02
30.7,313,2008-01
30.1,312,2007-12
30.8,311,2007-11
31.6,310,2007-10
31,309,2007-09
30.9,308,2007-08
30.6,307,2007-07
32.1,306,2007-06
31.6,305,2007-05
32,304,2007-04
31.5,303,2007-03
31.5,302,2007-02
29.8,301,2007-01
30,300,2006-12
31.4,299,2006-11
32.2,298,2006-10
31.4,297,2006-09
31.5,296,2006-08
31.5,295,2006-07
31,294,2006-06
32,293,2006-05
32.1,292,2006-04
33.1,291,2006-03
31.5,290,2006-02
30,289,2006-01
31,288,2005-12
30.8,287,2005-11
31.3,286,2005-10
32,285,2005-09
31.5,284,2005-08
31.4,283,2005-07
32,282,2005-06
32.4,281,2005-05
33,280,2005-04
33.3,279,2005-03
33.4,278,2005-02
30.2,277,2005-01
30.1,276,2004-12
31.4,275,2004-11
31.6,274,2004-10
31.7,273,2004-09
31.7,272,2004-08
30.8,271,2004-07
32.4,270,2004-06
32.8,269,2004-05
33.3,268,2004-04
32.2,267,2004-03
32,266,2004-02
30.6,265,2004-01
29.9,264,2003-12
31,263,2003-11
31.1,262,2003-10
31.2,261,2003-09
31.8,260,2003-08
31.5,259,2003-07
32.7,258,2003-06
32.7,257,2003-05
32.1,256,2003-04
32.3,255,2003-03
30.8,254,2003-02
30.1,253,2003-01
31.3,252,2002-12
31.7,251,2002-11
33,250,2002-10
31.7,249,2002-09
31.9,248,2002-08
31.9,247,2002-07
32.1,246,2002-06
32.6,245,2002-05
33,244,2002-04
33,243,2002-03
31.3,242,2002-02
30.9,241,2002-01
30.7,240,2001-12
30.8,239,2001-11
31.4,238,2001-10
31.6,237,2001-09
31.1,236,2001-08
32.2,235,2001-07
31.4,234,2001-06
32.2,233,2001-05
31.8,232,2001-04
31.8,231,2001-03
30.9,230,2001-02
30.3,229,2001-01
31,228,2000-12
31.3,227,2000-11
31.8,226,2000-10
32.1,225,2000-09
30.7,224,2000-08
31.6,223,2000-07
31.1,222,2000-06
32.7,221,2000-05
31.9,220,2000-04
31.9,219,2000-03
31,218,2000-02
29.8,217,2000-01
30.6,216,1999-12
31.3,215,1999-11
31.1,214,1999-10
31.9,213,1999-09
31,212,1999-08
31.2,211,1999-07
31.8,210,1999-06
31.7,209,1999-05
