max_temperature,_id,month
34,459,2020-03
33.1,458,2020-02
32.8,457,2020-01
32.3,456,2019-12
34.4,455,2019-11
34.4,454,2019-10
34.3,453,2019-09
34,452,2019-08
33.4,451,2019-07
33,450,2019-06
34.7,449,2019-05
34.5,448,2019-04
34.8,447,2019-03
34.1,446,2019-02
33.4,445,2019-01
33.8,444,2018-12
33.4,443,2018-11
34.5,442,2018-10
33,441,2018-09
33.2,440,2018-08
33,439,2018-07
33.4,438,2018-06
34.2,437,2018-05
35,436,2018-04
34.2,435,2018-03
33.5,434,2018-02
33.2,433,2018-01
33.5,432,2017-12
32.5,431,2017-11
34.6,430,2017-10
32.4,429,2017-09
33,428,2017-08
32.4,427,2017-07
33,426,2017-06
32.8,425,2017-05
34.4,424,2017-04
33.3,423,2017-03
32.4,422,2017-02
33.7,421,2017-01
33.6,420,2016-12
32.6,419,2016-11
34.6,418,2016-10
34.4,417,2016-09
33.8,416,2016-08
33.4,415,2016-07
33.4,414,2016-06
34.6,413,2016-05
35,412,2016-04
34.1,411,2016-03
32.7,410,2016-02
32.8,409,2016-01
33.1,408,2015-12
33.6,407,2015-11
33.6,406,2015-10
33.2,405,2015-09
33.1,404,2015-08
32.7,403,2015-07
34.3,402,2015-06
34.2,401,2015-05
34.4,400,2015-04
34.4,399,2015-03
33.6,398,2015-02
32.4,397,2015-01
33.6,396,2014-12
33.4,395,2014-11
34.1,394,2014-10
33.2,393,2014-09
31.9,392,2014-08
33.2,391,2014-07
33.6,390,2014-06
33.8,389,2014-05
34.5,388,2014-04
34.4,387,2014-03
33.8,386,2014-02
31.8,385,2014-01
33.7,384,2013-12
32.9,383,2013-11
33.2,382,2013-10
32.9,381,2013-09
32.8,380,2013-08
33.5,379,2013-07
34.5,378,2013-06
33.9,377,2013-05
34.9,376,2013-04
33.8,375,2013-03
32.5,374,2013-02
35.2,373,2013-01
32.2,372,2012-12
32.8,371,2012-11
33.1,370,2012-10
32.7,369,2012-09
32.7,368,2012-08
32.1,367,2012-07
32.7,366,2012-06
33.7,365,2012-05
32.9,364,2012-04
33.2,363,2012-03
32.9,362,2012-02
32.5,361,2012-01
32.3,360,2011-12
32.5,359,2011-11
32.5,358,2011-10
32.4,357,2011-09
32.5,356,2011-08
32.9,355,2011-07
33.1,354,2011-06
35.3,353,2011-05
33.1,352,2011-04
33.5,351,2011-03
33.5,350,2011-02
32.4,349,2011-01
33.6,348,2010-12
33.1,347,2010-11
34.1,346,2010-10
33.2,345,2010-09
33.1,344,2010-08
33.4,343,2010-07
33.5,342,2010-06
35.2,341,2010-05
34.5,340,2010-04
35.5,339,2010-03
35.2,338,2010-02
32.3,337,2010-01
32.6,336,2009-12
34.1,335,2009-11
33.9,334,2009-10
33,333,2009-09
33.5,332,2009-08
33.1,331,2009-07
33.7,330,2009-06
33.6,329,2009-05
34.7,328,2009-04
33.2,327,2009-03
35,326,2009-02
32.6,325,2009-01
32.6,324,2008-12
33,323,2008-11
33.3,322,2008-10
32.9,321,2008-09
32.7,320,2008-08
32.7,319,2008-07
32.9,318,2008-06
34.1,317,2008-05
33.3,316,2008-04
32.7,315,2008-03
33.4,314,2008-02
33.5,313,2008-01
31.8,312,2007-12
33.5,311,2007-11
33.7,310,2007-10
32.6,309,2007-09
32.5,308,2007-08
33,307,2007-07
34,306,2007-06
33.4,305,2007-05
33.7,304,2007-04
33.5,303,2007-03
33.3,302,2007-02
32.7,301,2007-01
32.7,300,2006-12
33.2,299,2006-11
33.6,298,2006-10
32.8,297,2006-09
33.1,296,2006-08
33.1,295,2006-07
32.7,294,2006-06
33.8,293,2006-05
34.1,292,2006-04
34.6,291,2006-03
33.3,290,2006-02
32,289,2006-01
33.5,288,2005-12
33.6,287,2005-11
33,286,2005-10
33.1,285,2005-09
33.6,284,2005-08
33.9,283,2005-07
33.9,282,2005-06
35.4,281,2005-05
35.1,280,2005-04
35,279,2005-03
34.7,278,2005-02
32.4,277,2005-01
32.7,276,2004-12
32.5,275,2004-11
34.2,274,2004-10
33.1,273,2004-09
33.5,272,2004-08
32.9,271,2004-07
33.7,270,2004-06
34.3,269,2004-05
35.1,268,2004-04
33.7,267,2004-03
34,266,2004-02
32,265,2004-01
32.2,264,2003-12
33,263,2003-11
33,262,2003-10
32.9,261,2003-09
33.1,260,2003-08
32.8,259,2003-07
34.3,258,2003-06
34.3,257,2003-05
33.7,256,2003-04
33.5,255,2003-03
32.6,254,2003-02
32.4,253,2003-01
33,252,2002-12
34,251,2002-11
34.6,250,2002-10
33.2,249,2002-09
33.6,248,2002-08
33,247,2002-07
33.3,246,2002-06
34.1,245,2002-05
34.3,244,2002-04
34.8,243,2002-03
32.5,242,2002-02
33.5,241,2002-01
33.2,240,2001-12
33.2,239,2001-11
34,238,2001-10
33.1,237,2001-09
33.7,236,2001-08
33.7,235,2001-07
33.6,234,2001-06
33.5,233,2001-05
33.5,232,2001-04
33.7,231,2001-03
32.4,230,2001-02
32.8,229,2001-01
32.6,228,2000-12
34.2,227,2000-11
34.1,226,2000-10
34.3,225,2000-09
33.3,224,2000-08
33.1,223,2000-07
33.3,222,2000-06
34.2,221,2000-05
33.4,220,2000-04
34,219,2000-03
32.4,218,2000-02
31.8,217,2000-01
33,216,1999-12
33.4,215,1999-11
32.5,214,1999-10
33.9,213,1999-09
32.9,212,1999-08
32.9,211,1999-07
33.7,210,1999-06
34.2,209,1999-05
34.4,208,1999-04
33,207,1999-03
33,206,1999-02
32.8,205,1999-01
32.6,204,1998-12
34.1,203,1998-11
34.5,202,1998-10
33.1,201,1998-09
32.8,200,1998-08
33.6,199,1998-07
34.7,198,1998-06
34.8,197,1998-05
34.8,196,1998-04
36,195,1998-03
34.6,194,1998-02
33.6,193,1998-01
32.9,192,1997-12
33.7,191,1997-11
34.5,190,1997-10
33.8,189,1997-09
34,188,1997-08
34,187,1997-07
34.7,186,1997-06
35.1,185,1997-05
34.4,184,1997-04
34.2,183,1997-03
33.7,182,1997-02
33.3,181,1997-01
33,180,1996-12
33.6,179,1996-11
33.1,178,1996-10
33.2,177,1996-09
33.1,176,1996-08
33.3,175,1996-07
