_id,temp_mean_daily_min,month
209,25.9,2020-03
208,25.3,2020-02
207,25.2,2020-01
206,24.6,2019-12
205,25.4,2019-11
204,25.3,2019-10
203,26.6,2019-09
202,27.1,2019-08
201,26.9,2019-07
200,26.1,2019-06
199,26.5,2019-05
198,25.9,2019-04
197,25.6,2019-03
196,25.4,2019-02
195,25.6,2019-01
194,25.3,2018-12
193,24.6,2018-11
192,25.2,2018-10
191,25.3,2018-09
190,26.1,2018-08
189,26,2018-07
188,25.6,2018-06
187,26.2,2018-05
186,25.8,2018-04
185,25.4,2018-03
184,24.8,2018-02
183,24,2018-01
182,24.6,2017-12
181,24.6,2017-11
180,25.3,2017-10
179,25.4,2017-09
178,25.9,2017-08
177,26,2017-07
176,25.9,2017-06
175,25.9,2017-05
174,25,2017-04
173,24.9,2017-03
172,24.7,2017-02
171,24.7,2017-01
170,24.7,2016-12
169,24.9,2016-11
168,25.2,2016-10
167,25.1,2016-09
166,26.2,2016-08
165,25.8,2016-07
164,26.1,2016-06
163,26.5,2016-05
162,26.7,2016-04
161,26.6,2016-03
160,25.6,2016-02
159,26,2016-01
158,25,2015-12
157,25.5,2015-11
156,26.1,2015-10
155,26.5,2015-09
154,26,2015-08
153,26.7,2015-07
152,26.6,2015-06
151,26.4,2015-05
150,25.9,2015-04
149,25.5,2015-03
148,24.4,2015-02
147,24.6,2015-01
146,24.7,2014-12
145,24.8,2014-11
144,25.7,2014-10
143,25.7,2014-09
142,25.2,2014-08
141,25.8,2014-07
140,26.3,2014-06
139,25.8,2014-05
138,25.5,2014-04
137,25.1,2014-03
136,24.5,2014-02
135,24,2014-01
134,24.1,2013-12
133,24.5,2013-11
132,24.6,2013-10
131,24.8,2013-09
130,25.1,2013-08
129,25.2,2013-07
128,25.9,2013-06
127,25.6,2013-05
126,25.3,2013-04
125,25.6,2013-03
124,24.3,2013-02
123,24.6,2013-01
122,24.4,2012-12
121,24.7,2012-11
120,25.2,2012-10
119,25.3,2012-09
118,25.4,2012-08
117,25.3,2012-07
116,26.3,2012-06
115,24.8,2012-05
114,24.8,2012-04
113,24.4,2012-03
112,24.8,2012-02
111,24.3,2012-01
110,24.5,2011-12
109,24.6,2011-11
108,24.7,2011-10
107,25.1,2011-09
106,25.6,2011-08
105,25.5,2011-07
104,25.2,2011-06
103,25.2,2011-05
102,24.6,2011-04
101,23.9,2011-03
100,24.1,2011-02
99,23.5,2011-01
98,23.9,2010-12
97,24.2,2010-11
96,25.1,2010-10
95,24.9,2010-09
94,24.6,2010-08
93,24.6,2010-07
92,25.2,2010-06
91,25.9,2010-05
90,25,2010-04
89,25.1,2010-03
88,25.5,2010-02
87,24.4,2010-01
86,24.6,2009-12
85,24.8,2009-11
84,25.2,2009-10
83,25.5,2009-09
82,25.6,2009-08
81,25.3,2009-07
80,26.2,2009-06
79,25.3,2009-05
78,25.4,2009-04
77,24.1,2009-03
76,24.2,2009-02
75,24.2,2009-01
74,24.3,2008-12
73,24.5,2008-11
72,25,2008-10
71,24.6,2008-09
70,24.7,2008-08
69,25.1,2008-07
68,25.3,2008-06
67,26,2008-05
66,25.1,2008-04
65,24,2008-03
64,24,2008-02
63,24.3,2008-01
62,24.1,2007-12
61,24,2007-11
60,24.9,2007-10
59,25,2007-09
58,25,2007-08
57,25.1,2007-07
56,25.4,2007-06
55,25.3,2007-05
54,25.2,2007-04
53,24.6,2007-03
52,24.5,2007-02
51,24.2,2007-01
50,24.3,2006-12
49,24.5,2006-11
48,25.4,2006-10
47,25.4,2006-09
46,25.5,2006-08
45,25.7,2006-07
44,25.1,2006-06
43,25.4,2006-05
42,24.8,2006-04
41,25.2,2006-03
40,24.8,2006-02
39,24.1,2006-01
38,24.6,2005-12
37,24.4,2005-11
36,24.7,2005-10
35,25.2,2005-09
34,25.5,2005-08
33,25.2,2005-07
32,26.1,2005-06
31,25.2,2005-05
30,25.7,2005-04
29,25.4,2005-03
28,25.3,2005-02
27,23.9,2005-01
26,24.5,2004-12
25,24.6,2004-11
24,25,2004-10
23,25,2004-09
22,25.4,2004-08
21,24.5,2004-07
20,26.1,2004-06
19,26.4,2004-05
18,26.1,2004-04
17,24.7,2004-03
16,24.7,2004-02
15,24.2,2004-01
14,24.3,2003-12
13,24.7,2003-11
12,24.5,2003-10
11,24.8,2003-09
10,25.5,2003-08
9,25.1,2003-07
8,26,2003-06
7,26.5,2003-05
6,25.3,2003-04
5,25.2,2003-03
4,24.4,2003-02
3,24.4,2003-01
2,24.7,2002-12
1,24.5,2002-11
