temp_extremes_min,_id,month
24.1,459,2020-03
23.7,458,2020-02
23.8,457,2020-01
22.7,456,2019-12
22.9,455,2019-11
22.9,454,2019-10
22.9,453,2019-09
24.5,452,2019-08
23.9,451,2019-07
23.3,450,2019-06
22.8,449,2019-05
22.7,448,2019-04
22.3,447,2019-03
21.9,446,2019-02
23.5,445,2019-01
23.6,444,2018-12
22.4,443,2018-11
22.5,442,2018-10
21.4,441,2018-09
21.9,440,2018-08
21.9,439,2018-07
22.9,438,2018-06
23.6,437,2018-05
22.6,436,2018-04
23.6,435,2018-03
23.5,434,2018-02
21.3,433,2018-01
23.2,432,2017-12
23.1,431,2017-11
23.5,430,2017-10
22.3,429,2017-09
23.7,428,2017-08
23.5,427,2017-07
22.2,426,2017-06
23.6,425,2017-05
22.8,424,2017-04
22.9,423,2017-03
22.6,422,2017-02
21.8,421,2017-01
23,420,2016-12
22.7,419,2016-11
21.6,418,2016-10
22.6,417,2016-09
22.1,416,2016-08
22.5,415,2016-07
22.5,414,2016-06
23.9,413,2016-05
25.3,412,2016-04
25.4,411,2016-03
23.3,410,2016-02
22.9,409,2016-01
22.5,408,2015-12
23.7,407,2015-11
21.9,406,2015-10
23.1,405,2015-09
22.6,404,2015-08
22.1,403,2015-07
24.2,402,2015-06
24,401,2015-05
24,400,2015-04
23.4,399,2015-03
23.1,398,2015-02
23.3,397,2015-01
22.4,396,2014-12
22.2,395,2014-11
24,394,2014-10
22.4,393,2014-09
22,392,2014-08
21.1,391,2014-07
23,390,2014-06
23,389,2014-05
22.8,388,2014-04
23.6,387,2014-03
22.4,386,2014-02
22.4,385,2014-01
21.2,384,2013-12
22.9,383,2013-11
20.9,382,2013-10
21.9,381,2013-09
21.6,380,2013-08
22.9,379,2013-07
22.6,378,2013-06
22.9,377,2013-05
22.1,376,2013-04
23.9,375,2013-03
21.5,374,2013-02
21.6,373,2013-01
22.2,372,2012-12
23.4,371,2012-11
23.5,370,2012-10
22.5,369,2012-09
23.1,368,2012-08
22.9,367,2012-07
22.8,366,2012-06
22,365,2012-05
21.9,364,2012-04
21.1,363,2012-03
22.7,362,2012-02
21.5,361,2012-01
22.8,360,2011-12
22.8,359,2011-11
22.5,358,2011-10
21.5,357,2011-09
23.3,356,2011-08
22.2,355,2011-07
22.2,354,2011-06
23.4,353,2011-05
21.4,352,2011-04
21.9,351,2011-03
23.2,350,2011-02
21.6,349,2011-01
22.3,348,2010-12
21.7,347,2010-11
22.6,346,2010-10
22.6,345,2010-09
22,344,2010-08
22.4,343,2010-07
23,342,2010-06
22.9,341,2010-05
22.5,340,2010-04
22.8,339,2010-03
23.8,338,2010-02
21.8,337,2010-01
23.2,336,2009-12
23.5,335,2009-11
23.4,334,2009-10
23.1,333,2009-09
22.6,332,2009-08
22.1,331,2009-07
24,330,2009-06
21.8,329,2009-05
22.9,328,2009-04
22.3,327,2009-03
23.1,326,2009-02
23.2,325,2009-01
22.1,324,2008-12
22.5,323,2008-11
23.1,322,2008-10
22.1,321,2008-09
