_id,total_rainfall,month
459,108.8,2020-03
458,65,2020-02
457,88.4,2020-01
456,421.5,2019-12
455,137.4,2019-11
454,176.8,2019-10
453,22.8,2019-09
452,11.8,2019-08
451,12.2,2019-07
450,173.8,2019-06
449,69,2019-05
448,174.8,2019-04
447,72.2,2019-03
446,31.6,2019-02
445,63.6,2019-01
444,172.6,2018-12
443,169.6,2018-11
442,234.4,2018-10
441,144.4,2018-09
440,121.6,2018-08
439,143.2,2018-07
438,182.6,2018-06
437,132.2,2018-05
436,61.2,2018-04
435,44.6,2018-03
434,14.8,2018-02
433,287,2018-01
432,371.2,2017-12
431,268.6,2017-11
430,120.8,2017-10
429,124.4,2017-09
428,84.2,2017-08
427,79.6,2017-07
426,106,2017-06
425,190,2017-05
424,208.6,2017-04
423,136.2,2017-03
422,158.4,2017-02
421,197.6,2017-01
420,292.6,2016-12
419,290.2,2016-11
418,181,2016-10
417,118.9,2016-09
416,139.2,2016-08
415,168.6,2016-07
414,162.8,2016-06
413,193.8,2016-05
412,89.8,2016-04
411,6.2,2016-03
410,186,2016-02
409,126.6,2016-01
408,302.3,2015-12
407,72.6,2015-11
406,87.2,2015-10
405,61.6,2015-09
404,185.8,2015-08
403,116.8,2015-07
402,95.8,2015-06
401,89,2015-05
400,73.2,2015-04
399,84.4,2015-03
398,18.8,2015-02
397,79.6,2015-01
396,245.6,2014-12
395,250.8,2014-11
394,120,2014-10
393,83.6,2014-09
392,241,2014-08
391,148.6,2014-07
390,71.4,2014-06
389,125.8,2014-05
388,110,2014-04
387,66,2014-03
386,0.2,2014-02
385,75.4,2014-01
384,348.2,2013-12
383,292.4,2013-11
382,285.4,2013-10
381,257,2013-09
380,165.6,2013-08
379,174.6,2013-07
378,111.4,2013-06
377,211.4,2013-05
376,159.4,2013-04
375,85.8,2013-03
374,395.2,2013-02
373,262,2013-01
372,363.4,2012-12
371,208.2,2012-11
370,122.2,2012-10
369,107.6,2012-09
368,119,2012-08
367,130.8,2012-07
366,53,2012-06
365,292,2012-05
364,260.6,2012-04
363,313.4,2012-03
362,83.6,2012-02
361,106.1,2012-01
360,284.6,2011-12
359,377.8,2011-11
358,216.8,2011-10
357,136.4,2011-09
356,81.4,2011-08
355,76.6,2011-07
354,213,2011-06
353,127,2011-05
352,217.8,2011-04
351,256.6,2011-03
350,23,2011-02
349,513.2,2011-01
348,181.4,2010-12
347,278.8,2010-11
346,166.2,2010-10
345,121.5,2010-09
344,158.4,2010-08
343,298.5,2010-07
342,240.5,2010-06
341,157.5,2010-05
340,158.5,2010-04
339,238,2010-03
338,6.3,2010-02
337,69.5,2010-01
336,189.8,2009-12
335,281.8,2009-11
334,133.4,2009-10
333,109.6,2009-09
332,177.8,2009-08
331,161,2009-07
330,21.8,2009-06
329,198.6,2009-05
328,183.7,2009-04
327,223.3,2009-03
326,201.8,2009-02
325,38.3,2009-01
324,244.2,2008-12
323,324.3,2008-11
322,159.5,2008-10
321,164.4,2008-09
320,327.3,2008-08
319,89.1,2008-07
318,118.3,2008-06
317,124.9,2008-05
316,87.2,2008-04
315,294.1,2008-03
314,129.2,2008-02
313,262.6,2008-01
312,468.6,2007-12
311,367.9,2007-11
310,237.2,2007-10
309,149,2007-09
308,190.7,2007-08
307,141.7,2007-07
306,139,2007-06
305,127.2,2007-05
304,240.2,2007-04
303,269.1,2007-03
302,105.5,2007-02
301,450.1,2007-01
300,765.9,2006-12
299,185.6,2006-11
298,102,2006-10
297,83.3,2006-09
296,127.3,2006-08
295,153.8,2006-07
294,236.8,2006-06
293,205.7,2006-05
292,239.8,2006-04
291,83.1,2006-03
290,115.5,2006-02
289,454.4,2006-01
288,166,2005-12
287,362.9,2005-11
286,314.5,2005-10
285,175.7,2005-09
284,58.5,2005-08
283,104,2005-07
282,82.3,2005-06
281,331.1,2005-05
280,81.7,2005-04
279,82.4,2005-03
278,8.4,2005-02
277,163.2,2005-01
276,139.8,2004-12
275,166.2,2004-11
274,125.6,2004-10
273,128.9,2004-09
272,185.2,2004-08
271,166.6,2004-07
270,127.2,2004-06
269,137.6,2004-05
268,57.1,2004-04
267,269.4,2004-03
266,31.9,2004-02
265,600.9,2004-01
264,273,2003-12
263,133.8,2003-11
262,351.4,2003-10
261,205.3,2003-09
260,193.6,2003-08
259,170.4,2003-07
258,50.3,2003-06
257,81.8,2003-05
256,159.9,2003-04
255,154.6,2003-03
254,172.9,2003-02
253,444.2,2003-01
252,255,2002-12
251,307.2,2002-11
250,10.8,2002-10
249,124.2,2002-09
248,54.2,2002-08
247,233.7,2002-07
246,83.1,2002-06
245,236.6,2002-05
244,116.5,2002-04
243,55.6,2002-03
242,50.8,2002-02
241,221.2,2002-01
240,609,2001-12
239,175.3,2001-11
238,252.2,2001-10
237,162,2001-09
236,158.3,2001-08
235,111.3,2001-07
234,137.1,2001-06
233,164.9,2001-05
232,203.3,2001-04
231,297.3,2001-03
230,86.6,2001-02
229,425.8,2001-01
228,236,2000-12
227,385.7,2000-11
226,120.9,2000-10
225,81.1,2000-09
224,113.5,2000-08
223,116.1,2000-07
222,157.5,2000-06
221,96.8,2000-05
220,311.6,2000-04
219,238.3,2000-03
218,237.8,2000-02
217,275.2,2000-01
216,340.5,1999-12
215,241.5,1999-11
214,205,1999-10
213,125.9,1999-09
212,204,1999-08
211,225.4,1999-07
210,103.4,1999-06
209,157.1,1999-05
208,88.5,1999-04
207,181.4,1999-03
206,67.4,1999-02
205,193.9,1999-01
204,463.4,1998-12
203,107.2,1998-11
202,222.7,1998-10
201,258.2,1998-09
200,195,1998-08
199,259.2,1998-07
198,198.8,1998-06
197,370.8,1998-05
196,187.7,1998-04
195,58.8,1998-03
194,32.5,1998-02
193,268.8,1998-01
192,351.9,1997-12
191,158.3,1997-11
190,78.4,1997-10
189,31.1,1997-09
188,86.6,1997-08
187,18.6,1997-07
186,78.9,1997-06
185,41.6,1997-05
184,118.4,1997-04
183,34.3,1997-03
182,105.4,1997-02
181,15.4,1997-01
180,185.5,1996-12
179,180.2,1996-11
178,300,1996-10
177,297,1996-09
176,258.4,1996-08
175,162.3,1996-07
174,265.8,1996-06
173,107.5,1996-05
172,178.2,1996-04
171,129.7,1996-03
170,180.2,1996-02
169,173.2,1996-01
168,302.5,1995-12
167,372.8,1995-11
166,101.1,1995-10
165,29.5,1995-09
164,211.6,1995-08
163,173.6,1995-07
162,63.7,1995-06
161,84.4,1995-05
160,242.3,1995-04
159,67.7,1995-03
158,334,1995-02
157,349.4,1995-01
156,425.4,1994-12
155,322.2,1994-11
154,84.7,1994-10
153,23.7,1994-09
152,45.1,1994-08
151,53.8,1994-07
150,184.7,1994-06
